network,x,y,coverage,radius,separation,separation_status,k_g0,method,free_rule,diff
insurance,MakeModel,ThisCarDam,0.5,2,2,measured,12,local_up_fast,2,0
insurance,SocioEcon,GoodStudent,0.5,1,1,measured,12,local_up_fast,1,0
insurance,VehicleYear,Accident,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,Airbag,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,Antilock,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,CarValue,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,Cushioning,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,ILiCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,MedCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,OtherCarCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,PropCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,RuggedAuto,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,Theft,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,ThisCarCost,0.5,2,2,measured,12,local_up_fast,2,0
insurance,VehicleYear,ThisCarDam,0.5,2,2,measured,12,local_up_fast,2,0
insurance,AntiTheft,PropCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,AntiTheft,Theft,0.25,2,2,measured,10,local_up_fast,2,0
insurance,AntiTheft,ThisCarCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,HomeBase,PropCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,HomeBase,Theft,0.25,2,2,measured,10,local_up_fast,2,0
insurance,HomeBase,ThisCarCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,Accident,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,Airbag,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,Antilock,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,CarValue,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,Cushioning,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,ILiCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,MedCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,OtherCarCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,PropCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,RuggedAuto,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,Theft,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,ThisCarCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,MakeModel,ThisCarDam,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,Accident,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,Airbag,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,Antilock,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,CarValue,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,Cushioning,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,ILiCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,MedCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,OtherCarCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,PropCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,RuggedAuto,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,Theft,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,ThisCarCost,0.25,2,2,measured,10,local_up_fast,2,0
insurance,VehicleYear,ThisCarDam,0.25,2,2,measured,10,local_up_fast,2,0
water,CKNI_12_15,CBODD_12_30,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,CKNI_12_15,CBODD_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,CKNI_12_15,CBODN_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,CKNI_12_15,CKND_12_30,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,CKNI_12_15,CKND_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,CKNI_12_15,CKNN_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,CKNI_12_15,CNOD_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,CKNI_12_30,CBODD_12_45,1.0,2,,no_z_member_in_component,6,local_up_fast,1,-1
water,CKNI_12_30,CKND_12_45,1.0,2,,no_z_member_in_component,6,local_up_fast,1,-1
water,C_NI_12_15,CBODD_12_30,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,C_NI_12_15,CBODD_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,C_NI_12_15,CBODN_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,C_NI_12_15,CNOD_12_45,1.0,1,,no_z_member_in_component,6,local_up_fast,1,0
water,C_NI_12_30,CBODD_12_45,1.0,2,,no_z_member_in_component,6,local_up_fast,1,-1
water,CKNI_12_15,CBODD_12_30,0.5,1,,no_z_member_in_component,3,local_up_fast,1,0
water,CKNI_12_15,CBODD_12_45,0.5,1,,no_z_member_in_component,3,local_up_fast,1,0
water,CKNI_12_15,CBODN_12_45,0.5,1,,no_z_member_in_component,3,local_up_fast,1,0
water,CKNI_12_15,CKND_12_30,0.5,1,,no_z_member_in_component,3,local_up_fast,1,0
water,CKNI_12_15,CKND_12_45,0.5,1,,no_z_member_in_component,3,local_up_fast,1,0
water,CKNI_12_15,CKNN_12_45,0.5,1,,no_z_member_in_component,3,local_up_fast,1,0
water,CKNI_12_15,CNOD_12_45,0.5,1,,no_z_member_in_component,3,local_up_fast,1,0
water,CKNI_12_30,CBODD_12_45,0.5,2,,no_z_member_in_component,3,local_up_fast,1,-1
water,CKNI_12_30,CKND_12_45,0.5,2,,no_z_member_in_component,3,local_up_fast,1,-1
Sebastiani_2005,ANXA2.7,ANXA2.5,1.0,1,,no_z_member_in_component,7,local_up_fast,1,0
Sebastiani_2005,EDNI1.6,EDNI1.7,1.0,1,,no_z_member_in_component,7,local_up_fast,1,0
Sebastiani_2005,TGFBR3.2,TGFBR3.9,1.0,1,,no_z_member_in_component,7,local_up_fast,1,0
Sebastiani_2005,TGFBR3.8,TGFBR3.2,1.0,1,,no_z_member_in_component,7,local_up_fast,1,0
Sebastiani_2005,TGFBR3.8,TGFBR3.9,1.0,1,,no_z_member_in_component,7,local_up_fast,1,0
Sebastiani_2005,ANXA2.7,ANXA2.5,0.5,1,,no_z_member_in_component,4,local_up_fast,1,0
Sebastiani_2005,EDNI1.6,EDNI1.7,0.5,1,,no_z_member_in_component,4,local_up_fast,1,0
Sebastiani_2005,TGFBR3.8,TGFBR3.2,0.5,1,,no_z_member_in_component,4,local_up_fast,1,0
Sebastiani_2005,TGFBR3.8,TGFBR3.9,0.5,1,,no_z_member_in_component,4,local_up_fast,1,0
Sebastiani_2005,ANXA2.7,ANXA2.5,0.25,1,,no_z_member_in_component,2,local_up_fast,1,0
Sebastiani_2005,EDNI1.6,EDNI1.7,0.25,1,,no_z_member_in_component,2,local_up_fast,1,0
magic-niab,G1276,YR.FIELD,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G1294,FT,1.0,1,,no_z_member_in_component,10,local_up_fast,1,0
magic-niab,G1294,YLD,1.0,1,,no_z_member_in_component,10,local_up_fast,1,0
magic-niab,G1294,YR.FIELD,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G1373,YR.FIELD,1.0,1,,no_z_member_in_component,10,local_up_fast,1,0
magic-niab,G1896,FUS,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G1896,HT,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G1896,YLD,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G2208,MIL,1.0,2,2,measured,10,local_up_fast,2,0
magic-niab,G2208,YLD,1.0,2,2,measured,10,local_up_fast,2,0
magic-niab,G2208,YR.FIELD,1.0,2,1,measured,10,local_up_fast,1,-1
magic-niab,G2208,YR.GLASS,1.0,2,2,measured,10,local_up_fast,2,0
magic-niab,G257,FT,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G257,G1800,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G257,MIL,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G257,YLD,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G257,YR.FIELD,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G257,YR.GLASS,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G2835,FT,1.0,1,2,measured,10,local_up_fast,2,1
magic-niab,G2835,YLD,1.0,1,2,measured,10,local_up_fast,2,1
magic-niab,G2835,YR.FIELD,1.0,1,1,measured,10,local_up_fast,1,0
magic-niab,G1276,YR.FIELD,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G1294,FT,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
magic-niab,G1294,YLD,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
magic-niab,G1294,YR.FIELD,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G2208,MIL,0.5,2,2,measured,6,local_up_fast,2,0
magic-niab,G2208,YLD,0.5,2,2,measured,6,local_up_fast,2,0
magic-niab,G2208,YR.FIELD,0.5,2,1,measured,6,local_up_fast,1,-1
magic-niab,G2208,YR.GLASS,0.5,2,2,measured,6,local_up_fast,2,0
magic-niab,G257,FT,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G257,G1800,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G257,MIL,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G257,YLD,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G257,YR.FIELD,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G257,YR.GLASS,0.5,1,1,measured,6,local_up_fast,1,0
magic-niab,G1294,FT,0.25,1,,no_z_member_in_component,3,local_up_fast,1,0
magic-niab,G1294,YLD,0.25,1,,no_z_member_in_component,3,local_up_fast,1,0
magic-niab,G1294,YR.FIELD,0.25,1,1,measured,3,local_up_fast,1,0
magic-niab,G2208,MIL,0.25,2,2,measured,3,local_up_fast,2,0
magic-niab,G2208,YLD,0.25,2,2,measured,3,local_up_fast,2,0
magic-niab,G2208,YR.FIELD,0.25,2,1,measured,3,local_up_fast,1,-1
magic-niab,G2208,YR.GLASS,0.25,2,2,measured,3,local_up_fast,2,0
magic-niab,G257,FT,0.25,1,1,measured,3,local_up_fast,1,0
magic-niab,G257,G1800,0.25,1,1,measured,3,local_up_fast,1,0
magic-niab,G257,MIL,0.25,1,1,measured,3,local_up_fast,1,0
magic-niab,G257,YLD,0.25,1,1,measured,3,local_up_fast,1,0
magic-niab,G257,YR.FIELD,0.25,1,1,measured,3,local_up_fast,1,0
magic-niab,G257,YR.GLASS,0.25,1,1,measured,3,local_up_fast,1,0
ecoli70,asnA,aceB,1.0,1,,no_z_member_in_component,25,local_up_fast,1,0
ecoli70,asnA,icdA,1.0,1,,no_z_member_in_component,25,local_up_fast,1,0
ecoli70,fixC,b1583,1.0,1,,no_z_member_in_component,25,local_up_fast,1,0
ecoli70,fixC,dnaG,1.0,1,,no_z_member_in_component,25,local_up_fast,1,0
ecoli70,fixC,tnaA,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,fixC,ycgX,1.0,1,,no_z_member_in_component,25,local_up_fast,1,0
ecoli70,pspB,nmpC,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,pspB,pspA,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,b1583,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,ftsJ,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,lacY,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,lacZ,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,mopB,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,nuoM,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,yaeM,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,sucA,yfaD,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,yedE,ftsJ,1.0,1,,no_z_member_in_component,25,local_up_fast,1,0
ecoli70,yedE,mopB,1.0,1,,no_z_member_in_component,25,local_up_fast,1,0
ecoli70,yedE,nmpC,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,yedE,pspA,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,yedE,pspB,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,yfiA,hupB,1.0,1,1,measured,25,local_up_fast,1,0
ecoli70,asnA,aceB,0.5,1,,no_z_member_in_component,13,local_up_fast,1,0
ecoli70,asnA,icdA,0.5,1,,no_z_member_in_component,13,local_up_fast,1,0
ecoli70,sucA,b1583,0.5,1,1,measured,13,local_up_fast,1,0
ecoli70,sucA,ftsJ,0.5,1,1,measured,13,local_up_fast,1,0
ecoli70,sucA,lacY,0.5,1,1,measured,13,local_up_fast,1,0
ecoli70,sucA,lacZ,0.5,1,1,measured,13,local_up_fast,1,0
ecoli70,sucA,mopB,0.5,1,1,measured,13,local_up_fast,1,0
ecoli70,sucA,nuoM,0.5,1,1,measured,13,local_up_fast,1,0
ecoli70,sucA,yaeM,0.5,1,1,measured,13,local_up_fast,1,0
ecoli70,sucA,yfaD,0.5,1,1,measured,13,local_up_fast,1,0
barley,dg25,aks_m2,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,aks_vgt,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,keraks,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,ksort,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,protein,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,s2225,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,s2528,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,slt22,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,spndx,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,tkv,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dg25,udb,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dgv5980,aks_vgt,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,bgbyg,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,ksort,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,protein,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,s2225,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,s2528,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,slt22,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,spndx,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,dgv5980,udb,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,frspdag,aks_m2,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,aks_vgt,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,keraks,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,ksort,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,protein,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,s2225,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,s2528,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,slt22,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,spndx,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,tkv,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,frspdag,udb,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,jordinf,aks_m2,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,aks_vgt,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,keraks,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,ksort,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,protein,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,s2225,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,s2528,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,slt22,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,spndx,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,tkv,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,jordinf,udb,1.0,2,,no_z_member_in_component,9,local_up_fast,1,-1
barley,nedbarea,aks_m2,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,aks_vgt,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,jordn,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,keraks,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,ksort,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,mod_nmin,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,ngodn,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,ngodnn,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,ngodnt,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,ngtilg,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,nprot,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,ntilg,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,protein,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,s2225,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,s2528,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,slt22,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,spndx,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,tkv,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,nedbarea,udb,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,aks_m2,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,aks_vgt,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,keraks,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,ksort,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,protein,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,s2225,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,s2528,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,slt22,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,spndx,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,tkv,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,rokap,udb,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,sorttkv,ksort,1.0,1,2,measured,9,local_up_fast,2,1
barley,sorttkv,protein,1.0,1,2,measured,9,local_up_fast,2,1
barley,sorttkv,s2225,1.0,1,2,measured,9,local_up_fast,2,1
barley,sorttkv,s2528,1.0,1,2,measured,9,local_up_fast,2,1
barley,sorttkv,slt22,1.0,1,2,measured,9,local_up_fast,2,1
barley,sorttkv,spndx,1.0,1,2,measured,9,local_up_fast,2,1
barley,srtprot,protein,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,srtsize,ksort,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,srtsize,protein,1.0,1,2,measured,9,local_up_fast,2,1
barley,srtsize,s2225,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,srtsize,s2528,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,srtsize,slt22,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,srtsize,spndx,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
barley,dgv5980,aks_vgt,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,bgbyg,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,ksort,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,protein,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,s2225,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,s2528,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,slt22,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,spndx,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,dgv5980,udb,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,frspdag,aks_m2,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,aks_vgt,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,keraks,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,ksort,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,protein,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,s2225,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,s2528,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,slt22,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,spndx,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,tkv,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,frspdag,udb,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,jordinf,aks_m2,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,aks_vgt,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,keraks,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,ksort,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,protein,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,s2225,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,s2528,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,slt22,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,spndx,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,tkv,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,jordinf,udb,0.5,2,,no_z_member_in_component,6,local_up_fast,1,-1
barley,nedbarea,aks_m2,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,aks_vgt,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,jordn,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,keraks,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,ksort,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,mod_nmin,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,ngodn,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,ngodnn,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,ngodnt,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,ngtilg,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,nprot,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,ntilg,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,protein,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,s2225,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,s2528,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,slt22,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,spndx,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,tkv,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,nedbarea,udb,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,aks_m2,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,aks_vgt,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,keraks,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,ksort,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,protein,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,s2225,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,s2528,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,slt22,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,spndx,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,tkv,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,rokap,udb,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,srtprot,protein,0.5,1,,no_z_member_in_component,6,local_up_fast,1,0
barley,dgv5980,aks_vgt,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,bgbyg,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,ksort,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,protein,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,s2225,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,s2528,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,slt22,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,spndx,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,dgv5980,udb,0.25,2,,no_z_member_in_component,4,local_up_fast,1,-1
barley,frspdag,aks_m2,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,aks_vgt,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,keraks,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,ksort,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,protein,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,s2225,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,s2528,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,slt22,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
barley,frspdag,spndx,0.25,1,,no_z_member_in_component,4,local_up_fast,1,0
