network,x,y,coverage,radius,separation,separation_status,k_g0,method,free_rule,diff
Kampen_2014,PER,DET,0.25,4,1,measured,8,e1_ladder,1,-3
Shrier_2008,ConnectiveTissueDisorder,Injury,1.0,1,1,measured,3,local_up_fast,1,0
Shrier_2008,ConnectiveTissueDisorder,IntraGameProprioception,1.0,1,1,measured,3,local_up_fast,1,0
Shrier_2008,ConnectiveTissueDisorder,NeuromuscularFatigue,1.0,1,1,measured,3,local_up_fast,1,0
Shrier_2008,TeamMotivation,Injury,1.0,1,,no_z_member_in_component,3,local_up_fast,1,0
Shrier_2008,TeamMotivation,IntraGameProprioception,1.0,1,,no_z_member_in_component,3,local_up_fast,1,0
Shrier_2008,TeamMotivation,WarmUpExercises,1.0,1,,no_z_member_in_component,3,local_up_fast,1,0
Shrier_2008,TissueWeakness,Injury,1.0,2,,no_z_member_in_component,3,local_up_fast,1,-1
Shrier_2008,TeamMotivation,Injury,0.5,1,,no_z_member_in_component,1,local_up_fast,1,0
Shrier_2008,TeamMotivation,IntraGameProprioception,0.5,1,,no_z_member_in_component,1,local_up_fast,1,0
Shrier_2008,TeamMotivation,WarmUpExercises,0.5,1,,no_z_member_in_component,1,local_up_fast,1,0
Polzer_2012,Alcohol,Diabetes,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Hypertension,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Lipids,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Mortality,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Obesity,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Periodontitis,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Smoking,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Sport,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,ToothLoss,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Caries,Mortality,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Caries,ToothLoss,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Diabetes,Hypertension,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Diabetes,Lipids,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Diabetes,Mortality,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Diabetes,Periodontitis,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Diabetes,ToothLoss,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Hypertension,Mortality,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Obesity,Diabetes,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Obesity,Hypertension,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Obesity,Lipids,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Obesity,Mortality,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Obesity,Periodontitis,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Obesity,ToothLoss,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Alcohol,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Caries,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Diabetes,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Hypertension,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Lipids,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Mortality,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Obesity,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Periodontitis,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Smoking,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,Sport,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Psychosocial,ToothLoss,1.0,1,,no_z_member_in_component,9,local_up_fast,1,0
Polzer_2012,Smoking,Diabetes,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Smoking,Hypertension,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Smoking,Lipids,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Smoking,Mortality,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Smoking,Obesity,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Smoking,Periodontitis,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Smoking,Sport,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Smoking,ToothLoss,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Sport,Diabetes,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Sport,Hypertension,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Sport,Lipids,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Sport,Mortality,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Sport,Obesity,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Sport,Periodontitis,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Sport,ToothLoss,1.0,2,1,measured,9,local_up_fast,1,-1
Polzer_2012,Diabetes,Lipids,0.5,1,1,measured,4,local_up_fast,1,0
Polzer_2012,Diabetes,Periodontitis,0.5,1,1,measured,4,local_up_fast,1,0
Polzer_2012,Diabetes,ToothLoss,0.5,1,1,measured,4,local_up_fast,1,0
Polzer_2012,Sport,Diabetes,0.5,2,1,measured,4,local_up_fast,1,-1
Polzer_2012,Sport,Hypertension,0.5,2,1,measured,4,local_up_fast,1,-1
Polzer_2012,Sport,Lipids,0.5,2,1,measured,4,local_up_fast,1,-1
Polzer_2012,Sport,Mortality,0.5,2,1,measured,4,local_up_fast,1,-1
Polzer_2012,Sport,Obesity,0.5,2,1,measured,4,local_up_fast,1,-1
Polzer_2012,Sport,Periodontitis,0.5,2,1,measured,4,local_up_fast,1,-1
Polzer_2012,Sport,ToothLoss,0.5,2,1,measured,4,local_up_fast,1,-1
Polzer_2012,Sport,Diabetes,0.25,2,1,measured,3,local_up_fast,1,-1
Polzer_2012,Sport,Hypertension,0.25,2,1,measured,3,local_up_fast,1,-1
Polzer_2012,Sport,Lipids,0.25,2,1,measured,3,local_up_fast,1,-1
Polzer_2012,Sport,Mortality,0.25,2,1,measured,3,local_up_fast,1,-1
Polzer_2012,Sport,Obesity,0.25,2,1,measured,3,local_up_fast,1,-1
Polzer_2012,Sport,Periodontitis,0.25,2,1,measured,3,local_up_fast,1,-1
Polzer_2012,Sport,ToothLoss,0.25,2,1,measured,3,local_up_fast,1,-1
paths,1,D,1.0,14,6,measured,14,e1_ladder,6,-8
paths,1,E,1.0,14,6,measured,14,e1_ladder,6,-8
paths,10,D,1.0,5,5,measured,14,e1_ladder,5,0
paths,11,D,1.0,4,4,measured,14,e1_ladder,4,0
paths,12,D,1.0,3,3,measured,14,local_up_fast,3,0
paths,13,D,1.0,2,2,measured,14,local_up_fast,2,0
paths,14,D,1.0,1,1,measured,14,local_up_fast,1,0
paths,2,D,1.0,13,5,measured,14,e1_ladder,5,-8
paths,2,E,1.0,13,5,measured,14,e1_ladder,5,-8
paths,3,D,1.0,12,4,measured,14,e1_ladder,4,-8
paths,3,E,1.0,12,4,measured,14,e1_ladder,4,-8
paths,4,D,1.0,11,3,measured,14,e1_ladder,3,-8
paths,4,E,1.0,11,3,measured,14,e1_ladder,3,-8
paths,5,D,1.0,10,2,measured,14,e1_ladder,2,-8
paths,5,E,1.0,10,2,measured,14,e1_ladder,2,-8
paths,6,D,1.0,9,1,measured,14,e1_ladder,1,-8
paths,6,E,1.0,9,1,measured,14,e1_ladder,1,-8
paths,7,D,1.0,8,1,measured,14,e1_ladder,1,-7
paths,8,D,1.0,7,7,measured,14,e1_ladder,7,0
paths,9,D,1.0,6,6,measured,14,e1_ladder,6,0
Acid_1996,x4,x10,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x11,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x12,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x13,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x15,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x17,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x18,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x5,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x7,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
Acid_1996,x4,x9,1.0,1,,no_z_member_in_component,1,local_up_fast,1,0
child,CardiacMixing,HypDistrib,1.0,2,2,measured,12,local_up_fast,2,0
child,CardiacMixing,HypoxiaInO2,1.0,2,2,measured,12,local_up_fast,2,0
child,CardiacMixing,LowerBodyO2,1.0,2,2,measured,12,local_up_fast,2,0
child,CardiacMixing,RUQO2,1.0,2,2,measured,12,local_up_fast,2,0
child,DuctFlow,HypDistrib,1.0,2,2,measured,12,local_up_fast,2,0
child,DuctFlow,LowerBodyO2,1.0,2,2,measured,12,local_up_fast,2,0
child,LungFlow,ChestXray,1.0,2,2,measured,12,local_up_fast,2,0
child,LungFlow,XrayReport,1.0,2,2,measured,12,local_up_fast,2,0
child,LungParench,ChestXray,1.0,2,2,measured,12,local_up_fast,2,0
child,LungParench,Grunting,1.0,2,2,measured,12,local_up_fast,2,0
child,LungParench,GruntingReport,1.0,2,2,measured,12,local_up_fast,2,0
child,LungParench,HypoxiaInO2,1.0,2,2,measured,12,local_up_fast,2,0
child,LungParench,LowerBodyO2,1.0,2,2,measured,12,local_up_fast,2,0
child,LungParench,RUQO2,1.0,2,2,measured,12,local_up_fast,2,0
child,LungParench,XrayReport,1.0,2,2,measured,12,local_up_fast,2,0
child,Sick,Age,1.0,1,1,measured,12,local_up_fast,1,0
child,Sick,Grunting,1.0,2,2,measured,12,local_up_fast,2,0
child,Sick,GruntingReport,1.0,2,2,measured,12,local_up_fast,2,0
child,CardiacMixing,HypDistrib,0.5,2,2,measured,11,local_up_fast,2,0
child,CardiacMixing,HypoxiaInO2,0.5,2,2,measured,11,local_up_fast,2,0
child,CardiacMixing,LowerBodyO2,0.5,2,2,measured,11,local_up_fast,2,0
child,CardiacMixing,RUQO2,0.5,2,2,measured,11,local_up_fast,2,0
child,DuctFlow,HypDistrib,0.5,2,2,measured,11,local_up_fast,2,0
child,DuctFlow,LowerBodyO2,0.5,2,2,measured,11,local_up_fast,2,0
child,LungFlow,ChestXray,0.5,2,2,measured,11,local_up_fast,2,0
child,LungFlow,XrayReport,0.5,2,2,measured,11,local_up_fast,2,0
child,LungParench,ChestXray,0.5,2,2,measured,11,local_up_fast,2,0
child,LungParench,Grunting,0.5,2,2,measured,11,local_up_fast,2,0
child,LungParench,GruntingReport,0.5,2,2,measured,11,local_up_fast,2,0
child,LungParench,HypoxiaInO2,0.5,2,2,measured,11,local_up_fast,2,0
child,LungParench,LowerBodyO2,0.5,2,2,measured,11,local_up_fast,2,0
child,LungParench,RUQO2,0.5,2,2,measured,11,local_up_fast,2,0
child,LungParench,XrayReport,0.5,2,2,measured,11,local_up_fast,2,0
child,Sick,Grunting,0.5,2,2,measured,11,local_up_fast,2,0
child,Sick,GruntingReport,0.5,2,2,measured,11,local_up_fast,2,0
insurance,AntiTheft,PropCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,AntiTheft,Theft,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,AntiTheft,ThisCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,Accident,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,DrivHist,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,DrivQuality,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,ILiCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,MedCost,1.0,3,1,measured,18,local_up_fast,1,-2
insurance,DrivingSkill,OtherCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,PropCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,ThisCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,DrivingSkill,ThisCarDam,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,HomeBase,PropCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,HomeBase,Theft,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,HomeBase,ThisCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,Accident,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,Airbag,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,Antilock,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,CarValue,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,Cushioning,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,ILiCost,1.0,3,2,measured,18,local_up_fast,2,-1
