network,x,y,hop_radius,n_asserted,k_g0,single_retractions_breaking_validity,single_retractions_inconsistent,claim_radius_is_one,phi_1
Polzer_2012,Obesity,Mortality,1,5,9,2,0,1,0.4
Polzer_2012,Obesity,Periodontitis,1,5,9,2,0,1,0.4
Polzer_2012,Obesity,ToothLoss,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Alcohol,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Caries,1,5,9,1,0,1,0.2
Polzer_2012,Psychosocial,Diabetes,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Hypertension,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Lipids,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Mortality,1,5,9,3,0,1,0.6
Polzer_2012,Psychosocial,Obesity,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Periodontitis,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Smoking,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,Sport,1,5,9,2,0,1,0.4
Polzer_2012,Psychosocial,ToothLoss,1,5,9,3,0,1,0.6
Polzer_2012,Smoking,Diabetes,1,5,9,2,0,1,0.4
Polzer_2012,Smoking,Hypertension,1,5,9,2,0,1,0.4
Polzer_2012,Smoking,Lipids,1,5,9,2,0,1,0.4
Polzer_2012,Smoking,Mortality,1,5,9,2,0,1,0.4
Polzer_2012,Smoking,Obesity,1,5,9,2,0,1,0.4
Polzer_2012,Smoking,Periodontitis,1,5,9,2,0,1,0.4
Polzer_2012,Smoking,Sport,2,5,9,2,0,1,0.4
Polzer_2012,Smoking,ToothLoss,1,5,9,2,0,1,0.4
Polzer_2012,Sport,Diabetes,2,5,9,1,0,1,0.2
Polzer_2012,Sport,Hypertension,2,5,9,1,0,1,0.2
Polzer_2012,Sport,Lipids,2,5,9,1,0,1,0.2
Polzer_2012,Sport,Mortality,2,5,9,1,0,1,0.2
Polzer_2012,Sport,Obesity,2,5,9,1,0,1,0.2
Polzer_2012,Sport,Periodontitis,2,5,9,1,0,1,0.2
Polzer_2012,Sport,ToothLoss,2,5,9,1,0,1,0.2
paths,1,D,14,1,14,1,0,1,1.0
paths,1,E,14,1,14,1,0,1,1.0
paths,10,D,5,1,14,1,0,1,1.0
paths,11,D,4,1,14,1,0,1,1.0
paths,12,D,3,1,14,1,0,1,1.0
paths,13,D,2,1,14,1,0,1,1.0
paths,14,D,1,1,14,1,0,1,1.0
paths,2,D,13,1,14,1,0,1,1.0
paths,2,E,13,1,14,1,0,1,1.0
paths,3,D,12,1,14,1,0,1,1.0
paths,3,E,12,1,14,1,0,1,1.0
paths,4,D,11,1,14,1,0,1,1.0
paths,4,E,11,1,14,1,0,1,1.0
paths,5,D,10,1,14,1,0,1,1.0
paths,5,E,10,1,14,1,0,1,1.0
paths,6,D,9,1,14,1,0,1,1.0
paths,6,E,9,1,14,1,0,1,1.0
paths,7,D,8,1,14,1,0,1,1.0
paths,8,D,7,1,14,1,0,1,1.0
paths,9,D,6,1,14,1,0,1,1.0
Acid_1996,x4,x10,1,1,1,1,0,1,1.0
Acid_1996,x4,x11,1,1,1,1,0,1,1.0
Acid_1996,x4,x12,1,1,1,1,0,1,1.0
Acid_1996,x4,x13,1,1,1,1,0,1,1.0
Acid_1996,x4,x15,1,1,1,1,0,1,1.0
Acid_1996,x4,x17,1,1,1,1,0,1,1.0
Acid_1996,x4,x18,1,1,1,1,0,1,1.0
Acid_1996,x4,x5,1,1,1,1,0,1,1.0
Acid_1996,x4,x7,1,1,1,1,0,1,1.0
Acid_1996,x4,x9,1,1,1,1,0,1,1.0
child,CardiacMixing,HypDistrib,2,2,12,1,0,1,0.5
child,CardiacMixing,HypoxiaInO2,2,2,12,1,0,1,0.5
child,CardiacMixing,LowerBodyO2,2,2,12,1,0,1,0.5
child,CardiacMixing,RUQO2,2,2,12,1,0,1,0.5
child,DuctFlow,HypDistrib,2,2,12,1,0,1,0.5
child,DuctFlow,LowerBodyO2,2,2,12,1,0,1,0.5
child,LungFlow,ChestXray,2,2,12,1,0,1,0.5
child,LungFlow,XrayReport,2,2,12,1,0,1,0.5
child,LungParench,ChestXray,2,2,12,1,0,1,0.5
child,LungParench,Grunting,2,2,12,1,0,1,0.5
child,LungParench,GruntingReport,2,2,12,1,0,1,0.5
child,LungParench,HypoxiaInO2,2,2,12,1,0,1,0.5
child,LungParench,LowerBodyO2,2,2,12,1,0,1,0.5
child,LungParench,RUQO2,2,2,12,1,0,1,0.5
child,LungParench,XrayReport,2,2,12,1,0,1,0.5
child,Sick,Age,1,2,12,2,0,1,1.0
child,Sick,Grunting,2,2,12,1,0,1,0.5
child,Sick,GruntingReport,2,2,12,1,0,1,0.5
insurance,AntiTheft,PropCost,3,3,18,1,0,1,0.3333333333333333
insurance,AntiTheft,Theft,3,3,18,1,0,1,0.3333333333333333
insurance,AntiTheft,ThisCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,Accident,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,DrivHist,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,DrivQuality,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,ILiCost,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,MedCost,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,OtherCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,PropCost,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,ThisCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,DrivingSkill,ThisCarDam,3,3,18,1,0,1,0.3333333333333333
insurance,HomeBase,PropCost,3,3,18,1,0,1,0.3333333333333333
insurance,HomeBase,Theft,3,3,18,1,0,1,0.3333333333333333
insurance,HomeBase,ThisCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,Accident,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,Airbag,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,Antilock,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,CarValue,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,Cushioning,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,ILiCost,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,MedCost,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,OtherCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,PropCost,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,RuggedAuto,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,Theft,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,ThisCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,MakeModel,ThisCarDam,3,3,18,1,0,1,0.3333333333333333
insurance,RiskAversion,Accident,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,Airbag,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,AntiTheft,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,Antilock,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,CarValue,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,Cushioning,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,DrivHist,2,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,DrivQuality,2,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,DrivingSkill,2,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,HomeBase,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,ILiCost,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,MakeModel,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,MedCost,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,OtherCarCost,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,PropCost,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,RuggedAuto,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,SeniorTrain,2,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,Theft,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,ThisCarCost,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,ThisCarDam,1,3,18,2,0,1,0.6666666666666666
insurance,RiskAversion,VehicleYear,1,3,18,2,0,1,0.6666666666666666
insurance,SeniorTrain,Accident,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,DrivHist,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,DrivQuality,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,DrivingSkill,3,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,ILiCost,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,MedCost,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,OtherCarCost,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,PropCost,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,ThisCarCost,2,3,18,1,0,1,0.3333333333333333
insurance,SeniorTrain,ThisCarDam,2,3,18,1,0,1,0.3333333333333333
insurance,SocioEcon,Accident,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,Airbag,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,AntiTheft,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,Antilock,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,CarValue,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,Cushioning,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,DrivHist,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,DrivQuality,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,DrivingSkill,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,GoodStudent,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,HomeBase,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,ILiCost,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,MakeModel,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,MedCost,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,OtherCarCost,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,PropCost,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,RiskAversion,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,RuggedAuto,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,SeniorTrain,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,Theft,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,ThisCarCost,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,ThisCarDam,1,3,18,2,0,1,0.6666666666666666
insurance,SocioEcon,VehicleYear,1,3,18,2,0,1,0.6666666666666666
insurance,VehicleYear,Accident,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,Airbag,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,Antilock,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,CarValue,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,Cushioning,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,ILiCost,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,MedCost,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,OtherCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,PropCost,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,RuggedAuto,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,Theft,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,ThisCarCost,3,3,18,1,0,1,0.3333333333333333
insurance,VehicleYear,ThisCarDam,3,3,18,1,0,1,0.3333333333333333
water,CKNI_12_15,CBODD_12_30,1,2,6,1,0,1,0.5
water,CKNI_12_15,CBODD_12_45,1,2,6,1,0,1,0.5
water,CKNI_12_15,CBODN_12_45,1,2,6,1,0,1,0.5
water,CKNI_12_15,CKND_12_30,1,2,6,1,0,1,0.5
water,CKNI_12_15,CKND_12_45,1,2,6,1,0,1,0.5
water,CKNI_12_15,CKNN_12_45,1,2,6,1,0,1,0.5
water,CKNI_12_15,CNOD_12_45,1,2,6,1,0,1,0.5
water,CKNI_12_30,CBODD_12_45,2,2,6,1,0,1,0.5
water,CKNI_12_30,CKND_12_45,2,2,6,1,0,1,0.5
water,C_NI_12_15,CBODD_12_30,1,2,6,1,0,1,0.5
water,C_NI_12_15,CBODD_12_45,1,2,6,1,0,1,0.5
water,C_NI_12_15,CBODN_12_45,1,2,6,1,0,1,0.5
water,C_NI_12_15,CNOD_12_45,1,2,6,1,0,1,0.5
water,C_NI_12_30,CBODD_12_45,2,2,6,1,0,1,0.5
Sebastiani_2005,ANXA2.7,ANXA2.5,1,7,7,1,0,1,0.14285714285714285
Sebastiani_2005,EDNI1.6,EDNI1.7,1,7,7,1,0,1,0.14285714285714285
Sebastiani_2005,TGFBR3.2,TGFBR3.9,1,7,7,1,0,1,0.14285714285714285
Sebastiani_2005,TGFBR3.8,TGFBR3.2,1,7,7,1,0,1,0.14285714285714285
Sebastiani_2005,TGFBR3.8,TGFBR3.9,1,7,7,1,0,1,0.14285714285714285
magic-niab,G1276,YR.FIELD,1,8,10,1,0,1,0.125
magic-niab,G1294,FT,1,8,10,1,0,1,0.125
magic-niab,G1294,YLD,1,8,10,1,0,1,0.125
magic-niab,G1294,YR.FIELD,1,8,10,1,0,1,0.125
magic-niab,G1373,YR.FIELD,1,8,10,1,0,1,0.125
magic-niab,G1896,FUS,1,8,10,1,0,1,0.125
magic-niab,G1896,HT,1,8,10,1,0,1,0.125
magic-niab,G1896,YLD,1,8,10,1,0,1,0.125
magic-niab,G2208,MIL,2,8,10,1,0,1,0.125
magic-niab,G2208,YLD,2,8,10,1,0,1,0.125
magic-niab,G2208,YR.FIELD,2,8,10,1,0,1,0.125
magic-niab,G2208,YR.GLASS,2,8,10,1,0,1,0.125
magic-niab,G257,FT,1,8,10,1,0,1,0.125
magic-niab,G257,G1800,1,8,10,1,0,1,0.125
magic-niab,G257,MIL,1,8,10,1,0,1,0.125
magic-niab,G257,YLD,1,8,10,1,0,1,0.125
magic-niab,G257,YR.FIELD,1,8,10,1,0,1,0.125
magic-niab,G257,YR.GLASS,1,8,10,1,0,1,0.125
magic-niab,G2835,FT,1,8,10,1,0,1,0.125
magic-niab,G2835,YLD,1,8,10,1,0,1,0.125
magic-niab,G2835,YR.FIELD,1,8,10,1,0,1,0.125
ecoli70,asnA,aceB,1,10,25,1,0,1,0.1
ecoli70,asnA,icdA,1,10,25,1,0,1,0.1
ecoli70,fixC,b1583,1,10,25,1,0,1,0.1
ecoli70,fixC,dnaG,1,10,25,1,0,1,0.1
ecoli70,fixC,tnaA,1,10,25,1,0,1,0.1
ecoli70,fixC,ycgX,1,10,25,1,0,1,0.1
ecoli70,pspB,nmpC,1,10,25,3,0,1,0.3
ecoli70,pspB,pspA,1,10,25,3,0,1,0.3
ecoli70,sucA,b1583,1,10,25,1,0,1,0.1
ecoli70,sucA,ftsJ,1,10,25,1,0,1,0.1
ecoli70,sucA,lacY,1,10,25,1,0,1,0.1
ecoli70,sucA,lacZ,1,10,25,1,0,1,0.1
ecoli70,sucA,mopB,1,10,25,1,0,1,0.1
ecoli70,sucA,nuoM,1,10,25,1,0,1,0.1
ecoli70,sucA,yaeM,1,10,25,1,0,1,0.1
ecoli70,sucA,yfaD,1,10,25,1,0,1,0.1
ecoli70,yedE,ftsJ,1,10,25,1,0,1,0.1
ecoli70,yedE,mopB,1,10,25,1,0,1,0.1
ecoli70,yedE,nmpC,1,10,25,3,0,1,0.3
ecoli70,yedE,pspA,1,10,25,3,0,1,0.3
ecoli70,yedE,pspB,1,10,25,3,0,1,0.3
ecoli70,yfiA,hupB,1,10,25,2,0,1,0.2
barley,dg25,aks_m2,1,7,9,1,0,1,0.14285714285714285
barley,dg25,aks_vgt,1,7,9,1,0,1,0.14285714285714285
barley,dg25,keraks,1,7,9,1,0,1,0.14285714285714285
barley,dg25,ksort,1,7,9,1,0,1,0.14285714285714285
barley,dg25,protein,1,7,9,1,0,1,0.14285714285714285
barley,dg25,s2225,1,7,9,1,0,1,0.14285714285714285
barley,dg25,s2528,1,7,9,1,0,1,0.14285714285714285
barley,dg25,slt22,1,7,9,1,0,1,0.14285714285714285
barley,dg25,spndx,1,7,9,1,0,1,0.14285714285714285
barley,dg25,tkv,1,7,9,1,0,1,0.14285714285714285
barley,dg25,udb,1,7,9,1,0,1,0.14285714285714285
barley,dgv5980,aks_vgt,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,bgbyg,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,ksort,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,protein,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,s2225,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,s2528,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,slt22,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,spndx,2,7,9,1,0,1,0.14285714285714285
barley,dgv5980,udb,2,7,9,1,0,1,0.14285714285714285
barley,frspdag,aks_m2,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,aks_vgt,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,keraks,1,7,9,1,0,1,0.14285714285714285
