20 {'n_scm': 14, 'n_U0': 52, 'n_full_enum': 13, 'n_query_pos': 109, 'n_trial': 4338, 'n_stamped': 3047, 'n_pos': 3019, 'n_Dcheck': 5509, 'n_rejected': 1291, 'n_moved': 438, 'O_lost': 114, 'n_abort': 28, 'n_abort_unamen': 28} 0.7
400 {'n_scm': 326, 'n_U0': 1345, 'n_full_enum': 313, 'n_query_pos': 2230, 'n_trial': 70238, 'n_stamped': 54496, 'n_pos': 53052, 'n_Dcheck': 159515, 'n_rejected': 15742, 'n_moved': 8310, 'O_lost': 2386, 'n_abort': 1444, 'n_abort_unamen': 1444, 'cn_shrink': 164, 'forb_shrink': 2} 15.7
420 {'n_scm': 343, 'n_U0': 1426, 'n_full_enum': 329, 'n_query_pos': 2324, 'n_trial': 73090, 'n_stamped': 56604, 'n_pos': 55093, 'n_Dcheck': 169413, 'n_rejected': 16486, 'n_moved': 8712, 'O_lost': 2540, 'n_abort': 1511, 'n_abort_unamen': 1511, 'cn_shrink': 164, 'forb_shrink': 2} 16.4
440 {'n_scm': 359, 'n_U0': 1457, 'n_full_enum': 345, 'n_query_pos': 2485, 'n_trial': 77602, 'n_stamped': 60110, 'n_pos': 58582, 'n_Dcheck': 177203, 'n_rejected': 17492, 'n_moved': 9327, 'O_lost': 2723, 'n_abort': 1528, 'n_abort_unamen': 1528, 'cn_shrink': 178, 'forb_shrink': 2} 17.1
480 {'n_scm': 389, 'n_U0': 1558, 'n_full_enum': 375, 'n_query_pos': 2699, 'n_trial': 84480, 'n_stamped': 65534, 'n_pos': 63928, 'n_Dcheck': 194522, 'n_rejected': 18946, 'n_moved': 10148, 'O_lost': 3001, 'n_abort': 1606, 'n_abort_unamen': 1606, 'cn_shrink': 212, 'forb_shrink': 2} 18.3
500 {'n_scm': 403, 'n_U0': 1620, 'n_full_enum': 389, 'n_query_pos': 2769, 'n_trial': 86272, 'n_stamped': 66898, 'n_pos': 65249, 'n_Dcheck': 197748, 'n_rejected': 19374, 'n_moved': 10385, 'O_lost': 3092, 'n_abort': 1649, 'n_abort_unamen': 1649, 'cn_shrink': 212, 'forb_shrink': 2} 18.8
520 {'n_scm': 419, 'n_U0': 1691, 'n_full_enum': 404, 'n_query_pos': 2873, 'n_trial': 88842, 'n_stamped': 68722, 'n_pos': 66985, 'n_Dcheck': 204914, 'n_rejected': 20120, 'n_moved': 10667, 'O_lost': 3185, 'n_abort': 1737, 'n_abort_unamen': 1737, 'cn_shrink': 212, 'forb_shrink': 2} 19.3
540 {'n_scm': 435, 'n_U0': 1773, 'n_full_enum': 419, 'n_query_pos': 2965, 'n_trial': 90790, 'n_stamped': 70136, 'n_pos': 68368, 'n_Dcheck': 210345, 'n_rejected': 20654, 'n_moved': 10870, 'O_lost': 3280, 'n_abort': 1768, 'n_abort_unamen': 1768, 'cn_shrink': 212, 'forb_shrink': 2} 19.9
560 {'n_scm': 451, 'n_U0': 1812, 'n_full_enum': 435, 'n_query_pos': 3083, 'n_trial': 94226, 'n_stamped': 72875, 'n_pos': 71055, 'n_Dcheck': 215560, 'n_rejected': 21351, 'n_moved': 11325, 'O_lost': 3443, 'n_abort': 1820, 'n_abort_unamen': 1820, 'cn_shrink': 216, 'forb_shrink': 2} 20.4
580 {'n_scm': 469, 'n_U0': 1877, 'n_full_enum': 452, 'n_query_pos': 3215, 'n_trial': 98666, 'n_stamped': 76217, 'n_pos': 74248, 'n_Dcheck': 229483, 'n_rejected': 22449, 'n_moved': 11731, 'O_lost': 3561, 'n_abort': 1969, 'n_abort_unamen': 1969, 'cn_shrink': 240, 'forb_shrink': 2} 21.2
600 {'n_scm': 486, 'n_U0': 1944, 'n_full_enum': 469, 'n_query_pos': 3329, 'n_trial': 101840, 'n_stamped': 78643, 'n_pos': 76595, 'n_Dcheck': 235222, 'n_rejected': 23197, 'n_moved': 12150, 'O_lost': 3693, 'n_abort': 2048, 'n_abort_unamen': 2048, 'cn_shrink': 240, 'forb_shrink': 2} 21.8
