instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c06_s01_cov050_seed00000005_bw025,flip,fast_gate,6,1,0.5,0.25,,2,325,675,0.0,0.0
c06_s01_cov050_seed00000005_bw025,flip,fast_gate,6,1,0.5,0.25,,3,0,1000,,0.0
c06_s01_cov050_seed00000006_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.495,0.495
c06_s01_cov050_seed00000006_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,1000,,0.0
c06_s01_cov050_seed00000006_bw010,flip,fast_gate,6,1,0.5,0.1,,1,1000,0,0.508,0.508
c06_s01_cov050_seed00000006_bw010,flip,fast_gate,6,1,0.5,0.1,,2,0,1000,,0.0
c06_s01_cov050_seed00000006_bw025,flip,fast_gate,6,1,0.5,0.25,,1,1000,0,0.509,0.509
c06_s01_cov050_seed00000006_bw025,flip,fast_gate,6,1,0.5,0.25,,2,0,1000,,0.0
c06_s01_cov050_seed00000007_bw000,flip,fast_gate,6,1,0.5,0.0,,1,509,491,0.0,0.0
c06_s01_cov050_seed00000007_bw000,flip,fast_gate,6,1,0.5,0.0,,2,1000,0,0.0,0.0
c06_s01_cov050_seed00000007_bw010,flip,fast_gate,6,1,0.5,0.1,,1,482,518,0.0,0.0
c06_s01_cov050_seed00000007_bw010,flip,fast_gate,6,1,0.5,0.1,,2,1000,0,0.0,0.0
c06_s01_cov050_seed00000007_bw025,flip,fast_gate,6,1,0.5,0.25,,1,496,504,0.0,0.0
c06_s01_cov050_seed00000007_bw025,flip,fast_gate,6,1,0.5,0.25,,2,1000,0,0.0,0.0
c06_s01_cov050_seed00000008_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.528,0.528
c06_s01_cov050_seed00000008_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,1000,,0.0
c06_s01_cov050_seed00000008_bw010,flip,fast_gate,6,1,0.5,0.1,,1,1000,0,0.491,0.491
c06_s01_cov050_seed00000008_bw010,flip,fast_gate,6,1,0.5,0.1,,2,0,1000,,0.0
c06_s01_cov050_seed00000008_bw025,flip,fast_gate,6,1,0.5,0.25,,1,1000,0,0.492,0.492
c06_s01_cov050_seed00000008_bw025,flip,fast_gate,6,1,0.5,0.25,,2,0,1000,,0.0
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,1,649,351,0.5238828967642527,0.34
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,2,651,349,0.4915514592933948,0.32
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,3,1000,0,0.0,0.0
c06_s01_cov050_seed00000009_bw010,flip,fast_gate,6,1,0.5,0.1,,1,683,317,0.5021961932650073,0.343
c06_s01_cov050_seed00000009_bw010,flip,fast_gate,6,1,0.5,0.1,,2,684,316,0.5116959064327485,0.35
c06_s01_cov050_seed00000009_bw010,flip,fast_gate,6,1,0.5,0.1,,3,1000,0,0.0,0.0
c06_s01_cov050_seed00000009_bw025,flip,fast_gate,6,1,0.5,0.25,,1,1000,0,0.668,0.668
c06_s01_cov050_seed00000009_bw025,flip,fast_gate,6,1,0.5,0.25,,2,678,322,0.0,0.0
c06_s01_cov050_seed00000009_bw025,flip,fast_gate,6,1,0.5,0.25,,3,0,1000,,0.0
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,1,750,250,0.6693333333333333,0.502
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,2,506,494,0.33992094861660077,0.172
