instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000006_bw010,6,1,1.0,0.1,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000006_bw010,6,1,1.0,0.1,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000006_bw010,6,1,1.0,0.1,1000,1,402,598,0.598,0.48009950248756217,0.193
c06_s01_cov100_seed00000006_bw010,6,1,1.0,0.1,1000,2,320,680,0.68,0.334375,0.107
c06_s01_cov100_seed00000006_bw010,6,1,1.0,0.1,1000,3,0,1000,1.0,,0.0
c06_s01_cov100_seed00000006_bw010,6,1,1.0,0.1,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000006_bw010,6,1,1.0,0.1,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,200,1,44,156,0.78,0.0,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,200,2,58,142,0.71,0.0,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,200,3,22,178,0.89,0.0,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,1000,1,195,805,0.805,0.0,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,1000,2,307,693,0.693,0.0,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,1000,3,112,888,0.888,0.0,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000007_bw010,6,1,1.0,0.1,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,200,1,68,132,0.66,0.5441176470588235,0.185
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,200,2,38,162,0.81,0.5526315789473685,0.105
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,200,3,23,177,0.885,0.0,0.0
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,1000,1,389,611,0.611,0.506426735218509,0.197
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,1000,2,181,819,0.819,0.5248618784530387,0.095
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,1000,3,111,889,0.889,0.0,0.0
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000008_bw010,6,1,1.0,0.1,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000009_bw010,6,1,1.0,0.1,200,1,65,135,0.675,1.0,0.325
c06_s01_cov100_seed00000009_bw010,6,1,1.0,0.1,200,2,57,143,0.715,0.5964912280701754,0.17
c06_s01_cov100_seed00000009_bw010,6,1,1.0,0.1,200,3,33,167,0.835,0.2727272727272727,0.045
c06_s01_cov100_seed00000009_bw010,6,1,1.0,0.1,200,4,22,178,0.89,0.0,0.0
c06_s01_cov100_seed00000009_bw010,6,1,1.0,0.1,200,5,0,200,1.0,,0.0
