network,n,seed,method,status,seconds,wall_s,n_nodes,n_true_edges,n_learned_edges,n_directed,n_undirected,undirected_fraction,n_conflict_edges,n_other_endpoints,meek_closed_on_arrival,closure_ok,n_forced_by_closure,acyclic,skeleton_tp,skeleton_precision,skeleton_recall,n_directed_in_truth,oriented_correct,n_components_ge2,max_component,ari_vs_oracle,is_reference,sample_sha256,components
arth150,200,6,pc,ok,5.4,900,107,150,85,55,30,0.352941,0,0,0,0,0,1,78,0.917647,0.52,50,0.6,11,8,0.206232,0,e59103f69620285f,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""603""], [""155"", ""181"", ""187"", ""269"", ""454"", ""547"", ""679"", ""783""], [""20"", ""226"", ""26"", ""573"", ""781""], [""209"", ""444"", ""540"", ""63"", ""738"", ""8""], [""289"", ""414"", ""726"", ""78"", ""786""], [""328"", ""519""], [""377"", ""640""], [""422"", ""736""], [""480"", ""61""], [""600"", ""699""]]"
arth150,200,7,pc,ok,5.3,900,107,150,86,51,35,0.406977,0,0,1,1,0,1,78,0.906977,0.52,47,0.531915,11,12,0.281759,0,0307f436c4b26c68,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""289"", ""414"", ""560"", ""603"", ""726"", ""78"", ""786""], [""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""679"", ""781"", ""783""], [""198"", ""779""], [""209"", ""444"", ""540"", ""63"", ""636"", ""738"", ""86""], [""328"", ""519""], [""422"", ""629"", ""736""], [""460"", ""739""], [""480"", ""61""], [""576"", ""665""], [""600"", ""699""]]"
arth150,200,8,pc,ok,5.7,900,107,150,86,47,39,0.453488,0,0,0,0,0,1,75,0.872093,0.5,39,0.461538,14,12,0.231509,0,0354e04643663e24,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""135"", ""38""], [""155"", ""181"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""679"", ""781"", ""783""], [""198"", ""779""], [""209"", ""444"", ""540"", ""63"", ""738"", ""8""], [""272"", ""452"", ""677"", ""714""], [""289"", ""414""], [""328"", ""519""], [""331"", ""422"", ""47"", ""479"", ""629"", ""736""], [""443"", ""565"", ""600"", ""699""], [""480"", ""61""], [""640"", ""96""], [""712"", ""86""]]"
arth150,200,9,pc,ok,6.0,900,107,150,81,36,45,0.555556,0,0,1,1,0,1,70,0.864198,0.466667,29,0.448276,15,13,0.243692,0,c8991686be74e2ef,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""603""], [""111"", ""496"", ""537""], [""126"", ""161"", ""558""], [""13"", ""289"", ""331"", ""414"", ""47"", ""479"", ""726"", ""78"", ""786""], [""135"", ""554""], [""155"", ""181"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""679"", ""781"", ""783""], [""198"", ""779""], [""248"", ""623""], [""281"", ""422"", ""627"", ""629"", ""661"", ""736""], [""360"", ""576""], [""378"", ""464""], [""444"", ""540"", ""63"", ""636"", ""738""], [""480"", ""61""], [""600"", ""699""]]"
arth150,1000,0,pc,ok,52.1,900,107,150,110,75,35,0.318182,0,0,1,1,0,1,105,0.954545,0.7,71,0.394366,9,14,0.296141,0,71722b65aa1d39d3,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""13"", ""422"", ""627"", ""629"", ""661""], [""209"", ""299"", ""444"", ""540"", ""63"", ""636"", ""738"", ""8""], [""289"", ""414"", ""47"", ""786""], [""328"", ""519""], [""480"", ""61""], [""585"", ""686""]]"
arth150,1000,1,pc,ok,29.2,900,107,150,109,72,37,0.33945,0,0,1,1,0,1,103,0.944954,0.686667,68,0.455882,11,14,0.293938,0,5ee091f4ca376c0a,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""13"", ""281"", ""331"", ""422"", ""627"", ""629"", ""661"", ""736""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""219"", ""464""], [""328"", ""519""], [""480"", ""61""], [""585"", ""86""], [""600"", ""699""]]"
arth150,1000,2,pc,ok,30.8,900,107,150,111,78,33,0.297297,0,0,1,1,0,1,106,0.954955,0.706667,74,0.486486,10,15,0.350989,0,2b112b217f84e27f,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""640"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""281"", ""627"", ""661""], [""289"", ""414"", ""786""], [""328"", ""519""], [""480"", ""61""], [""758"", ""96""]]"
arth150,1000,3,pc,ok,19.5,900,107,150,113,88,25,0.221239,0,0,1,0,0,0,106,0.938053,0.706667,82,0.536585,9,8,0.090354,0,7c2022d167898492,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""13"", ""281"", ""331"", ""422"", ""627"", ""629"", ""736""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""328"", ""519""], [""443"", ""565"", ""600"", ""699""], [""480"", ""61""], [""758"", ""778""], [""779"", ""798""]]"
arth150,1000,4,pc,ok,17.4,900,107,150,109,71,38,0.348624,0,0,0,0,0,1,106,0.972477,0.706667,69,0.478261,11,15,0.290967,0,4b5748220ebcf068,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""452"", ""454"", ""547"", ""573"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""13"", ""281"", ""422"", ""627"", ""629"", ""661"", ""736""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""328"", ""519""], [""480"", ""61""], [""600"", ""699""], [""623"", ""86""], [""726"", ""78"", ""786""]]"
arth150,1000,5,pc,ok,12.8,900,107,150,112,79,33,0.294643,0,0,1,1,0,1,106,0.946429,0.706667,74,0.432432,10,14,0.312866,0,4a0e800dcb3cd774,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""13"", ""422"", ""629"", ""736""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""234"", ""38""], [""289"", ""414"", ""786""], [""328"", ""519""], [""480"", ""61""]]"
arth150,1000,6,pc,ok,25.8,900,107,150,112,80,32,0.285714,0,0,1,1,0,1,106,0.946429,0.706667,77,0.480519,12,11,0.28874,0,7753871d3f326b1a,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""26"", ""269"", ""454"", ""547"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""211"", ""368""], [""226"", ""573""], [""234"", ""96""], [""281"", ""627"", ""661""], [""328"", ""519""], [""443"", ""565"", ""600"", ""699""], [""480"", ""61""], [""739"", ""93""]]"
arth150,1000,7,pc,ok,11.2,900,107,150,111,73,38,0.342342,0,0,1,1,0,1,105,0.945946,0.7,69,0.434783,11,14,0.30041,0,3cf43040c241a079,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""13"", ""281"", ""422"", ""627"", ""629"", ""661"", ""736""], [""144"", ""767""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""211"", ""93""], [""289"", ""726"", ""78"", ""786""], [""328"", ""519""], [""480"", ""61""]]"
arth150,1000,8,pc,ok,14.5,900,107,150,112,75,37,0.330357,0,0,1,1,0,1,107,0.955357,0.713333,73,0.452055,12,13,0.260127,0,0f85640956ebcb17,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""155"", ""187"", ""20"", ""226"", ""26"", ""454"", ""547"", ""573"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""13"", ""281"", ""422"", ""627"", ""629"", ""661"", ""736""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""289"", ""414"", ""786""], [""328"", ""519""], [""360"", ""778""], [""378"", ""640""], [""600"", ""699""], [""623"", ""739""]]"
arth150,1000,9,pc,ok,23.1,900,107,150,112,85,27,0.241071,0,0,1,1,0,1,109,0.973214,0.726667,83,0.46988,9,13,0.23478,0,297cde9be7c5dbc5,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""187"", ""20"", ""226"", ""26"", ""452"", ""454"", ""547"", ""573"", ""603"", ""679"", ""781"", ""783""], [""111"", ""496"", ""537""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""738"", ""8""], [""328"", ""519""], [""480"", ""61""], [""576"", ""623""], [""600"", ""699""]]"
arth150,5000,0,pc,ok,144.3,900,107,150,126,85,41,0.325397,0,0,0,0,0,1,122,0.968254,0.813333,81,0.555556,7,14,0.326562,0,8e1e474fd149cfef,"[[""100"", ""245"", ""296"", ""412""], [""13"", ""281"", ""422"", ""47"", ""627"", ""629"", ""661"", ""736""], [""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""640"", ""679"", ""781"", ""783""], [""197"", ""360"", ""4"", ""539"", ""585"", ""596"", ""758"", ""778"", ""93""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""328"", ""519""], [""480"", ""61""]]"
arth150,5000,1,pc,ok,94.7,900,107,150,127,86,41,0.322835,0,0,1,1,0,1,121,0.952756,0.806667,80,0.5,8,13,0.275055,1,79666950e1afdc26,"[[""100"", ""245"", ""412""], [""111"", ""496"", ""537""], [""13"", ""331"", ""422"", ""47"", ""629"", ""677"", ""714"", ""736""], [""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""640"", ""679"", ""781"", ""783""], [""197"", ""360"", ""4"", ""539"", ""585"", ""596"", ""758"", ""778"", ""93""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""328"", ""519""], [""480"", ""61""]]"
arth150,5000,2,pc,ok,108.3,900,107,150,131,96,35,0.267176,0,0,0,0,0,0,121,0.923664,0.806667,86,0.55814,7,13,0.307837,0,c9694ad50a1b33d9,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""155"", ""187"", ""20"", ""226"", ""26"", ""454"", ""547"", ""573"", ""603"", ""640"", ""679"", ""781"", ""783""], [""197"", ""360"", ""4"", ""539"", ""585"", ""596"", ""758"", ""93""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""422"", ""629"", ""714"", ""736""], [""480"", ""61""]]"
arth150,5000,3,pc,ok,133.5,900,107,150,127,86,41,0.322835,0,0,0,0,0,1,124,0.976378,0.826667,85,0.541176,11,13,0.309254,0,6ba8198a99abe901,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""135"", ""460""], [""155"", ""187"", ""20"", ""226"", ""26"", ""454"", ""547"", ""573"", ""603"", ""640"", ""679"", ""781"", ""783""], [""197"", ""360"", ""4"", ""539"", ""585"", ""596"", ""778"", ""93""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""211"", ""377""], [""289"", ""331"", ""414"", ""786""], [""328"", ""519""], [""422"", ""629"", ""677"", ""714""], [""480"", ""61""]]"
arth150,5000,4,pc,ok,142.9,900,107,150,128,97,31,0.242188,0,0,0,0,0,1,122,0.953125,0.813333,91,0.571429,8,12,0.384348,0,5d0da2a6a2f4edc3,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""13"", ""331"", ""422"", ""629"", ""736""], [""155"", ""187"", ""20"", ""26"", ""269"", ""454"", ""547"", ""603"", ""640"", ""679"", ""781"", ""783""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""328"", ""519""], [""443"", ""565"", ""600"", ""699""], [""480"", ""61""]]"
