shard_id,arm,network,coverage,base_wrongness,bw_abs,n_k,n_draws_per_grid_point,n_grid_points,space_size,n_distinct_states_computed,n_draws_total,coverage_of_space,is_exhaustive
flip__hailfinder__cov100__bw025__r0,flip,hailfinder,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__hailfinder__cov100__bw025__r1,flip,hailfinder,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__hailfinder__cov100__bw025__r2,flip,hailfinder,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__hepar2__cov050__bw000__r0,flip,hepar2,0.5,0.0,,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bw010__r0,flip,hepar2,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bw010__r1,flip,hepar2,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bw010__r2,flip,hepar2,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bw025__r0,flip,hepar2,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bw025__r1,flip,hepar2,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bw025__r2,flip,hepar2,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bwa1__r0,flip,hepar2,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bwa1__r1,flip,hepar2,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov050__bwa1__r2,flip,hepar2,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__hepar2__cov100__bw000__r0,flip,hepar2,1.0,0.0,,9,1000,9,511,511,9000,1.0,True
flip__hepar2__cov100__bw010__r0,flip,hepar2,1.0,0.1,,9,1000,9,511,511,9000,1.0,True
flip__hepar2__cov100__bw010__r1,flip,hepar2,1.0,0.1,,9,1000,9,511,511,9000,1.0,True
flip__hepar2__cov100__bw010__r2,flip,hepar2,1.0,0.1,,9,1000,9,511,511,9000,1.0,True
flip__hepar2__cov100__bw025__r0,flip,hepar2,1.0,0.25,,9,1000,9,511,510,9000,0.9980430528375733,False
flip__hepar2__cov100__bw025__r1,flip,hepar2,1.0,0.25,,9,1000,9,511,511,9000,1.0,True
flip__hepar2__cov100__bwa1__r0,flip,hepar2,1.0,,1,9,1000,9,511,511,9000,1.0,True
flip__hepar2__cov100__bwa1__r1,flip,hepar2,1.0,,1,9,1000,9,511,511,9000,1.0,True
flip__hepar2__cov100__bwa1__r2,flip,hepar2,1.0,,1,9,1000,9,511,511,9000,1.0,True
flip__insurance__cov025__bw000__r0,flip,insurance,0.25,0.0,,1,1000,1,1,1,1000,1.0,True
flip__insurance__cov025__bw010__r0,flip,insurance,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__insurance__cov025__bw010__r1,flip,insurance,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__insurance__cov025__bw010__r2,flip,insurance,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__insurance__cov025__bw025__r0,flip,insurance,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__insurance__cov025__bw025__r1,flip,insurance,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__insurance__cov025__bw025__r2,flip,insurance,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__insurance__cov050__bw000__r0,flip,insurance,0.5,0.0,,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov050__bw010__r0,flip,insurance,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov050__bw010__r1,flip,insurance,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov050__bw010__r2,flip,insurance,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov050__bw025__r0,flip,insurance,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov050__bw025__r1,flip,insurance,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov050__bw025__r2,flip,insurance,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov050__bwa1__r0,flip,insurance,0.5,,1,2,1000,2,3,3,2000,1.0,True
flip__insurance__cov100__bw000__r0,flip,insurance,1.0,0.0,,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bw010__r0,flip,insurance,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bw010__r1,flip,insurance,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bw010__r2,flip,insurance,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bw025__r0,flip,insurance,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bw025__r1,flip,insurance,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bw025__r2,flip,insurance,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bwa1__r0,flip,insurance,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bwa1__r1,flip,insurance,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__insurance__cov100__bwa1__r2,flip,insurance,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__magic-irri__cov100__bw000__r0,flip,magic-irri,1.0,0.0,,10,1000,10,1023,1015,10000,0.9921798631476051,False
flip__magic-irri__cov100__bw010__r0,flip,magic-irri,1.0,0.1,,10,1000,10,1023,1013,10000,0.9902248289345064,False
flip__magic-irri__cov100__bw010__r1,flip,magic-irri,1.0,0.1,,10,1000,10,1023,1019,10000,0.9960899315738025,False
flip__magic-irri__cov100__bw010__r2,flip,magic-irri,1.0,0.1,,10,1000,10,1023,1015,10000,0.9921798631476051,False
flip__magic-irri__cov100__bw025__r0,flip,magic-irri,1.0,0.25,,10,1000,10,1023,1016,10000,0.9931573802541545,False
flip__magic-irri__cov100__bw025__r1,flip,magic-irri,1.0,0.25,,10,1000,10,1023,1018,10000,0.9951124144672532,False
flip__magic-irri__cov100__bw025__r2,flip,magic-irri,1.0,0.25,,10,1000,10,1023,1016,10000,0.9931573802541545,False
flip__magic-irri__cov100__bwa1__r0,flip,magic-irri,1.0,,1,10,1000,10,1023,1012,10000,0.989247311827957,False
flip__magic-irri__cov100__bwa1__r1,flip,magic-irri,1.0,,1,10,1000,10,1023,1014,10000,0.9912023460410557,False
flip__magic-irri__cov100__bwa1__r2,flip,magic-irri,1.0,,1,10,1000,10,1023,1013,10000,0.9902248289345064,False
flip__magic-niab__cov025__bw000__r0,flip,magic-niab,0.25,0.0,,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bw010__r0,flip,magic-niab,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bw010__r1,flip,magic-niab,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bw010__r2,flip,magic-niab,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bw025__r0,flip,magic-niab,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bw025__r1,flip,magic-niab,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bw025__r2,flip,magic-niab,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bwa1__r0,flip,magic-niab,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bwa1__r1,flip,magic-niab,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov025__bwa1__r2,flip,magic-niab,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__magic-niab__cov050__bw000__r0,flip,magic-niab,0.5,0.0,,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bw010__r0,flip,magic-niab,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bw010__r1,flip,magic-niab,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bw010__r2,flip,magic-niab,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bw025__r0,flip,magic-niab,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bw025__r1,flip,magic-niab,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bw025__r2,flip,magic-niab,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bwa1__r0,flip,magic-niab,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bwa1__r1,flip,magic-niab,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov050__bwa1__r2,flip,magic-niab,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__magic-niab__cov100__bw000__r0,flip,magic-niab,1.0,0.0,,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bw010__r0,flip,magic-niab,1.0,0.1,,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bw010__r1,flip,magic-niab,1.0,0.1,,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bw010__r2,flip,magic-niab,1.0,0.1,,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bw025__r0,flip,magic-niab,1.0,0.25,,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bw025__r1,flip,magic-niab,1.0,0.25,,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bw025__r2,flip,magic-niab,1.0,0.25,,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bwa1__r0,flip,magic-niab,1.0,,1,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bwa1__r1,flip,magic-niab,1.0,,1,8,1000,8,255,255,8000,1.0,True
flip__magic-niab__cov100__bwa1__r2,flip,magic-niab,1.0,,1,8,1000,8,255,255,8000,1.0,True
flip__mediator__cov050__bw000__r0,flip,mediator,0.5,0.0,,2,1000,2,3,3,2000,1.0,True
flip__mediator__cov050__bw010__r0,flip,mediator,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__mediator__cov050__bw010__r1,flip,mediator,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__mediator__cov050__bw010__r2,flip,mediator,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__mediator__cov050__bw025__r0,flip,mediator,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__mediator__cov050__bw025__r1,flip,mediator,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__mediator__cov050__bw025__r2,flip,mediator,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__mediator__cov100__bw000__r0,flip,mediator,1.0,0.0,,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bw010__r0,flip,mediator,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bw010__r1,flip,mediator,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bw010__r2,flip,mediator,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bw025__r0,flip,mediator,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bw025__r1,flip,mediator,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bw025__r2,flip,mediator,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bwa1__r0,flip,mediator,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__mediator__cov100__bwa1__r1,flip,mediator,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov025__bw000__r0,flip,munin1,0.25,0.0,,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bw010__r0,flip,munin1,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bw010__r1,flip,munin1,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bw010__r2,flip,munin1,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bw025__r0,flip,munin1,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bw025__r1,flip,munin1,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bw025__r2,flip,munin1,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bwa1__r0,flip,munin1,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bwa1__r1,flip,munin1,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov025__bwa1__r2,flip,munin1,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__munin1__cov050__bw000__r0,flip,munin1,0.5,0.0,,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bw010__r0,flip,munin1,0.5,0.1,,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bw010__r1,flip,munin1,0.5,0.1,,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bw010__r2,flip,munin1,0.5,0.1,,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bw025__r0,flip,munin1,0.5,0.25,,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bw025__r1,flip,munin1,0.5,0.25,,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bw025__r2,flip,munin1,0.5,0.25,,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bwa1__r0,flip,munin1,0.5,,1,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bwa1__r1,flip,munin1,0.5,,1,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov050__bwa1__r2,flip,munin1,0.5,,1,3,1000,3,7,7,3000,1.0,True
flip__munin1__cov100__bw000__r0,flip,munin1,1.0,0.0,,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bw010__r0,flip,munin1,1.0,0.1,,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bw010__r1,flip,munin1,1.0,0.1,,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bw010__r2,flip,munin1,1.0,0.1,,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bw025__r0,flip,munin1,1.0,0.25,,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bw025__r2,flip,munin1,1.0,0.25,,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bwa1__r0,flip,munin1,1.0,,1,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bwa1__r1,flip,munin1,1.0,,1,6,1000,6,63,63,6000,1.0,True
flip__munin1__cov100__bwa1__r2,flip,munin1,1.0,,1,6,1000,6,63,63,6000,1.0,True
flip__paths__cov100__bw000__r0,flip,paths,1.0,0.0,,1,1000,1,1,1,1000,1.0,True
flip__paths__cov100__bw010__r0,flip,paths,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__paths__cov100__bw010__r1,flip,paths,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__paths__cov100__bw010__r2,flip,paths,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__paths__cov100__bw025__r0,flip,paths,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__paths__cov100__bw025__r1,flip,paths,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__paths__cov100__bw025__r2,flip,paths,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__sachs__cov050__bw000__r0,flip,sachs,0.5,0.0,,4,1000,4,15,15,4000,1.0,True
flip__sachs__cov050__bw010__r0,flip,sachs,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__sachs__cov050__bw010__r1,flip,sachs,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__sachs__cov050__bw010__r2,flip,sachs,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__sachs__cov050__bw025__r0,flip,sachs,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__sachs__cov050__bwa1__r0,flip,sachs,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__sachs__cov050__bwa1__r1,flip,sachs,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__sachs__cov100__bw000__r0,flip,sachs,1.0,0.0,,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bw010__r0,flip,sachs,1.0,0.1,,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bw010__r1,flip,sachs,1.0,0.1,,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bw010__r2,flip,sachs,1.0,0.1,,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bw025__r0,flip,sachs,1.0,0.25,,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bw025__r1,flip,sachs,1.0,0.25,,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bw025__r2,flip,sachs,1.0,0.25,,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bwa1__r0,flip,sachs,1.0,,1,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bwa1__r1,flip,sachs,1.0,,1,8,1000,8,255,255,8000,1.0,True
flip__sachs__cov100__bwa1__r2,flip,sachs,1.0,,1,8,1000,8,255,255,8000,1.0,True
flip__water__cov050__bw000__r0,flip,water,0.5,0.0,,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bw010__r0,flip,water,0.5,0.1,,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bw010__r1,flip,water,0.5,0.1,,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bw010__r2,flip,water,0.5,0.1,,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bw025__r0,flip,water,0.5,0.25,,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bw025__r1,flip,water,0.5,0.25,,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bw025__r2,flip,water,0.5,0.25,,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bwa1__r0,flip,water,0.5,,1,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bwa1__r1,flip,water,0.5,,1,1,1000,1,1,1,1000,1.0,True
flip__water__cov050__bwa1__r2,flip,water,0.5,,1,1,1000,1,1,1,1000,1.0,True
flip__water__cov100__bw000__r0,flip,water,1.0,0.0,,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bw010__r0,flip,water,1.0,0.1,,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bw010__r1,flip,water,1.0,0.1,,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bw010__r2,flip,water,1.0,0.1,,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bw025__r0,flip,water,1.0,0.25,,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bw025__r1,flip,water,1.0,0.25,,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bw025__r2,flip,water,1.0,0.25,,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bwa1__r0,flip,water,1.0,,1,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bwa1__r1,flip,water,1.0,,1,2,1000,2,3,3,2000,1.0,True
flip__water__cov100__bwa1__r2,flip,water,1.0,,1,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bw000__r0,flip,win95pts,0.25,0.0,,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bw010__r0,flip,win95pts,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bw010__r1,flip,win95pts,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bw010__r2,flip,win95pts,0.25,0.1,,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bw025__r0,flip,win95pts,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bw025__r1,flip,win95pts,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bw025__r2,flip,win95pts,0.25,0.25,,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bwa1__r0,flip,win95pts,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov025__bwa1__r2,flip,win95pts,0.25,,1,2,1000,2,3,3,2000,1.0,True
flip__win95pts__cov050__bw000__r0,flip,win95pts,0.5,0.0,,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bw010__r0,flip,win95pts,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bw010__r1,flip,win95pts,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bw010__r2,flip,win95pts,0.5,0.1,,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bw025__r0,flip,win95pts,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bw025__r1,flip,win95pts,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bw025__r2,flip,win95pts,0.5,0.25,,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bwa1__r0,flip,win95pts,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bwa1__r1,flip,win95pts,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov050__bwa1__r2,flip,win95pts,0.5,,1,4,1000,4,15,15,4000,1.0,True
flip__win95pts__cov100__bw000__r0,flip,win95pts,1.0,0.0,,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bw010__r0,flip,win95pts,1.0,0.1,,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bw010__r1,flip,win95pts,1.0,0.1,,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bw010__r2,flip,win95pts,1.0,0.1,,9,1000,9,511,510,9000,0.9980430528375733,False
flip__win95pts__cov100__bw025__r0,flip,win95pts,1.0,0.25,,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bw025__r1,flip,win95pts,1.0,0.25,,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bw025__r2,flip,win95pts,1.0,0.25,,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bwa1__r0,flip,win95pts,1.0,,1,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bwa1__r1,flip,win95pts,1.0,,1,9,1000,9,511,511,9000,1.0,True
flip__win95pts__cov100__bwa1__r2,flip,win95pts,1.0,,1,9,1000,9,511,511,9000,1.0,True
