stratum,stratum_class,arm,radius_bucket,n_units,n_networks,endpoint_raw_name,median_endpoint_raw,q1_endpoint_raw,q3_endpoint_raw,endpoint_usable_name,median_endpoint_usable,q1_endpoint_usable,q3_endpoint_usable
flip_cov025_bw000,supplementary,flip,1,36,5,AUC_frac,0.3528,0.3472,0.35315,AUC_frac_usable,0.3528,0.3472,0.35315
flip_cov025_bw000,supplementary,flip,2,69,5,AUC_frac,0.0,0.0,0.3472,AUC_frac_usable,0.0,0.0,0.3472
flip_cov025_bw000,supplementary,flip,4,1,1,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0
flip_cov025_bw010,supplementary,flip,1,108,5,AUC_frac,0.3535,0.3437,0.35699999999999993,AUC_frac_usable,0.3535,0.3437,0.35699999999999993
flip_cov025_bw010,supplementary,flip,2,207,5,AUC_frac,0.0,0.0,0.3437,AUC_frac_usable,0.0,0.0,0.3437
flip_cov025_bw010,supplementary,flip,4,3,1,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0
flip_cov025_bw025,supplementary,flip,1,108,5,AUC_frac,0.35069999999999996,0.3430000000000001,0.35699999999999993,AUC_frac_usable,0.35069999999999996,0.3430000000000001,0.35699999999999993
flip_cov025_bw025,supplementary,flip,2,207,5,AUC_frac,0.0,0.0,0.3430000000000001,AUC_frac_usable,0.0,0.0,0.3430000000000001
flip_cov025_bw025,supplementary,flip,4,3,1,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0
flip_cov025_bwa1,supplementary,flip,1,70,5,AUC_frac,0.3556,0.3444,0.36487500000000006,AUC_frac_usable,0.3556,0.3444,0.36487500000000006
flip_cov025_bwa1,supplementary,flip,2,42,3,AUC_frac,0.35629999999999995,0.35139999999999993,0.37029999999999996,AUC_frac_usable,0.35629999999999995,0.35139999999999993,0.37029999999999996
flip_cov050_bw000,primary,flip,1,93,16,AUC_frac,0.41914365175690477,0.3950958309898069,0.4276,AUC_frac_usable,0.41914365175690477,0.3950958309898069,0.4276
flip_cov050_bw000,primary,flip,2,88,7,AUC_frac,0.4276,0.3416,0.6416000000000001,AUC_frac_usable,0.4276,0.3416,0.6416000000000001
flip_cov050_bw000,primary,flip,4,1,1,AUC_frac,0.6612,0.6612,0.6612,AUC_frac_usable,0.6612,0.6612,0.6612
flip_cov050_bw010,primary,flip,1,279,16,AUC_frac,0.4191,0.39657718862397573,0.42940000000000006,AUC_frac_usable,0.4191,0.39657718862397573,0.42940000000000006
flip_cov050_bw010,primary,flip,2,264,7,AUC_frac,0.42919999999999997,0.34090000000000004,0.6423,AUC_frac_usable,0.42919999999999997,0.34090000000000004,0.6423
flip_cov050_bw010,primary,flip,4,3,1,AUC_frac,0.6444,0.6426499999999999,0.6472,AUC_frac_usable,0.6444,0.6426499999999999,0.6472
flip_cov050_bw025,primary,flip,1,255,16,AUC_frac,0.42350000000000004,0.40621075418710206,0.42969999999999997,AUC_frac_usable,0.42350000000000004,0.40621075418710206,0.42969999999999997
flip_cov050_bw025,primary,flip,2,257,8,AUC_frac,0.4276000000000001,0.3430000000000001,0.6248,AUC_frac_usable,0.4276000000000001,0.3430000000000001,0.6248
flip_cov050_bw025,primary,flip,4,3,1,AUC_frac,0.6444,0.6436999999999999,0.6451,AUC_frac_usable,0.6444,0.6436999999999999,0.6451
flip_cov050_bwa1,supplementary,flip,1,219,12,AUC_frac,0.41929999999999995,0.40042709516211217,0.4286,AUC_frac_usable,0.41929999999999995,0.40042709516211217,0.4286
flip_cov050_bwa1,supplementary,flip,2,53,4,AUC_frac,0.4286,0.4227,0.44140000000000007,AUC_frac_usable,0.4286,0.4227,0.44140000000000007
flip_cov050_bwa1,supplementary,flip,3,5,1,AUC_frac,0.34930000000000005,0.34930000000000005,0.34930000000000005,AUC_frac_usable,0.34930000000000005,0.34930000000000005,0.34930000000000005
flip_cov050_bwa1,supplementary,flip,4,32,1,AUC_frac,0.7,0.7,0.7,AUC_frac_usable,0.7,0.7,0.7
flip_cov050_bwa1,supplementary,flip,5+,1,1,AUC_frac,0.7,0.7,0.7,AUC_frac_usable,0.7,0.7,0.7
flip_cov100_bw000,primary,flip,1,379,24,AUC_frac,0.4056674347158219,0.26789999999999997,0.44766932262967724,AUC_frac_usable,0.4056674347158219,0.26789999999999997,0.44766932262967724
flip_cov100_bw000,primary,flip,2,103,15,AUC_frac,0.3584,0.3063936676309868,0.5833117554010387,AUC_frac_usable,0.3584,0.3063936676309868,0.5833117554010387
flip_cov100_bw000,primary,flip,3,43,2,AUC_frac,0.569167434715822,0.569167434715822,0.569167434715822,AUC_frac_usable,0.569167434715822,0.569167434715822,0.569167434715822
flip_cov100_bw000,primary,flip,4,2,2,AUC_frac,0.41725,0.208625,0.625875,AUC_frac_usable,0.41725,0.208625,0.625875
flip_cov100_bw000,primary,flip,5+,16,1,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0
flip_cov100_bw010,primary,flip,1,1058,23,AUC_frac,0.3733840645712888,0.25680092592592596,0.45109756416242563,AUC_frac_usable,0.38878747363462307,0.25680092592592596,0.45109756416242563
