network,x,y,n_tiers,arm,intensity_bin,n_draws,n_eval,n_contradictory,n_survived,S,contradiction_rate,silent_failure_rate,instance_sha256
insurance,SeniorTrain,ThisCarCost,3,xarm_tiered,0.15,2000,315,1685,232,0.7365079365079366,0.8425,0.04149999999999999,53fdf3b2b8c86eca
insurance,SeniorTrain,ThisCarCost,3,xarm_tiered,0.2,1000,100,900,60,0.6,0.9,0.039999999999999994,53fdf3b2b8c86eca
insurance,SeniorTrain,ThisCarCost,4,xarm_flip,0.2,1000,814,186,598,0.7346437346437347,0.186,0.216,c99408a331f8b8a0
insurance,SeniorTrain,ThisCarCost,4,xarm_flip,0.25,1000,100,900,73,0.73,0.9,0.026999999999999996,c99408a331f8b8a0
insurance,SeniorTrain,ThisCarCost,4,xarm_flip,0.3,1000,22,978,0,0.0,0.978,0.02200000000000002,c99408a331f8b8a0
insurance,SeniorTrain,ThisCarCost,4,xarm_flip,0.35,1000,3,997,0,0.0,0.997,0.0030000000000000027,c99408a331f8b8a0
insurance,SeniorTrain,ThisCarCost,4,xarm_tiered,0.0,6000,3215,2785,3045,0.9471228615863142,0.46416666666666667,0.02833333333333331,c99408a331f8b8a0
insurance,SeniorTrain,ThisCarCost,4,xarm_tiered,0.05,2000,446,1554,369,0.827354260089686,0.777,0.038500000000000006,c99408a331f8b8a0
insurance,SeniorTrain,ThisCarCost,4,xarm_tiered,0.1,2000,243,1757,197,0.8106995884773662,0.8785,0.023000000000000013,c99408a331f8b8a0
insurance,SeniorTrain,ThisCarDam,3,xarm_flip,0.35,2000,1071,929,491,0.4584500466853408,0.4645,0.29000000000000004,adfa9fd8da07f874
insurance,SeniorTrain,ThisCarDam,3,xarm_flip,0.45,1000,106,894,0,0.0,0.894,0.10599999999999998,adfa9fd8da07f874
insurance,SeniorTrain,ThisCarDam,3,xarm_tiered,0.0,1000,849,151,832,0.9799764428739693,0.151,0.017000000000000026,adfa9fd8da07f874
insurance,SeniorTrain,ThisCarDam,3,xarm_tiered,0.05,3000,1571,1429,1434,0.9127943984723106,0.47633333333333333,0.045666666666666696,adfa9fd8da07f874
insurance,SeniorTrain,ThisCarDam,3,xarm_tiered,0.1,3000,805,2195,633,0.7863354037267081,0.7316666666666667,0.057333333333333326,adfa9fd8da07f874
insurance,SeniorTrain,ThisCarDam,3,xarm_tiered,0.15,2000,315,1685,232,0.7365079365079366,0.8425,0.04149999999999999,adfa9fd8da07f874
insurance,SeniorTrain,ThisCarDam,3,xarm_tiered,0.2,1000,100,900,60,0.6,0.9,0.039999999999999994,adfa9fd8da07f874
insurance,SeniorTrain,ThisCarDam,4,xarm_flip,0.2,1000,814,186,598,0.7346437346437347,0.186,0.216,f94c6e36212bb760
insurance,SeniorTrain,ThisCarDam,4,xarm_flip,0.25,1000,100,900,73,0.73,0.9,0.026999999999999996,f94c6e36212bb760
insurance,SeniorTrain,ThisCarDam,4,xarm_flip,0.3,1000,22,978,0,0.0,0.978,0.02200000000000002,f94c6e36212bb760
insurance,SeniorTrain,ThisCarDam,4,xarm_flip,0.35,1000,3,997,0,0.0,0.997,0.0030000000000000027,f94c6e36212bb760
insurance,SeniorTrain,ThisCarDam,4,xarm_tiered,0.0,6000,3215,2785,3045,0.9471228615863142,0.46416666666666667,0.02833333333333331,f94c6e36212bb760
insurance,SeniorTrain,ThisCarDam,4,xarm_tiered,0.05,2000,446,1554,369,0.827354260089686,0.777,0.038500000000000006,f94c6e36212bb760
insurance,SeniorTrain,ThisCarDam,4,xarm_tiered,0.1,2000,243,1757,197,0.8106995884773662,0.8785,0.023000000000000013,f94c6e36212bb760
insurance,VehicleYear,Accident,3,xarm_flip,0.35,2000,1071,929,580,0.5415499533146592,0.4645,0.2455,320ffc500edfbe72
insurance,VehicleYear,Accident,3,xarm_flip,0.45,1000,106,894,106,1.0,0.894,0.0,320ffc500edfbe72
insurance,VehicleYear,Accident,3,xarm_tiered,0.0,1000,849,151,825,0.9717314487632509,0.151,0.02399999999999998,320ffc500edfbe72
insurance,VehicleYear,Accident,3,xarm_tiered,0.05,3000,1571,1429,1426,0.9077021005728835,0.47633333333333333,0.04833333333333336,320ffc500edfbe72
insurance,VehicleYear,Accident,3,xarm_tiered,0.1,3000,805,2195,655,0.8136645962732919,0.7316666666666667,0.05,320ffc500edfbe72
insurance,VehicleYear,Accident,3,xarm_tiered,0.15,2000,315,1685,219,0.6952380952380952,0.8425,0.047999999999999994,320ffc500edfbe72
insurance,VehicleYear,Accident,3,xarm_tiered,0.2,1000,100,900,76,0.76,0.9,0.023999999999999994,320ffc500edfbe72
insurance,VehicleYear,Accident,4,xarm_flip,0.2,1000,814,186,586,0.7199017199017199,0.186,0.228,43f8345b14e15042
insurance,VehicleYear,Accident,4,xarm_flip,0.25,1000,100,900,80,0.8,0.9,0.01999999999999999,43f8345b14e15042
insurance,VehicleYear,Accident,4,xarm_flip,0.3,1000,22,978,22,1.0,0.978,0.0,43f8345b14e15042
insurance,VehicleYear,Accident,4,xarm_flip,0.35,1000,3,997,3,1.0,0.997,0.0,43f8345b14e15042
insurance,VehicleYear,Accident,4,xarm_tiered,0.0,6000,3215,2785,3065,0.9533437013996889,0.46416666666666667,0.025000000000000015,43f8345b14e15042
insurance,VehicleYear,Accident,4,xarm_tiered,0.05,2000,446,1554,396,0.8878923766816144,0.777,0.024999999999999994,43f8345b14e15042
insurance,VehicleYear,Accident,4,xarm_tiered,0.1,2000,243,1757,198,0.8148148148148148,0.8785,0.022500000000000017,43f8345b14e15042
insurance,VehicleYear,Airbag,3,xarm_flip,0.35,2000,1071,929,580,0.5415499533146592,0.4645,0.2455,901bd3e71a7eec60
insurance,VehicleYear,Airbag,3,xarm_flip,0.45,1000,106,894,106,1.0,0.894,0.0,901bd3e71a7eec60
