arm,stratum,grid_point,n_cells,n_draw_sets,n_draws,n_contradictory,contradiction_rate,n_draws_pair_weighted,contradiction_rate_pair_weighted
tiered,tiered_nt4,0.05,265,19,19000,2613,0.1375263157894737,265000,0.15506037735849057
tiered,tiered_nt4,0.1,265,19,19000,4446,0.234,265000,0.29099245283018865
tiered,tiered_nt4,0.15,265,19,19000,6026,0.3171578947368421,265000,0.3728075471698113
tiered,tiered_nt4,0.2,265,19,19000,7024,0.3696842105263158,265000,0.45616981132075474
tiered,tiered_nt4,0.25,265,19,19000,8367,0.4403684210526316,265000,0.5244
tiered,tiered_nt4,0.3,265,19,19000,8871,0.46689473684210525,265000,0.5570377358490566
tiered,tiered_nt4,0.35,265,19,19000,9485,0.4992105263157895,265000,0.5950264150943396
tiered,tiered_nt4,0.4,265,19,19000,10264,0.5402105263157895,265000,0.632811320754717
tiered,tiered_nt4,0.45,265,19,19000,10612,0.5585263157894736,265000,0.6613584905660377
tiered,tiered_nt4,0.5,265,19,19000,11171,0.5879473684210527,265000,0.6828264150943396
