stratum,stratum_class,arm,network,n_units,endpoint_raw_name,median_endpoint_raw,q1_endpoint_raw,q3_endpoint_raw,endpoint_usable_name,median_endpoint_usable,q1_endpoint_usable,q3_endpoint_usable,n_distinct_radius,share_radius_1,median_n_k,median_shd_truth
flip_cov100_bw025,primary,flip,child,54,AUC_frac,0.3479,0.33949999999999997,0.3577,AUC_frac_usable,0.3479,0.33949999999999997,0.3577,2,0.05555555555555555,2.0,0.0
flip_cov100_bw025,primary,flip,diabetes,267,AUC_frac,0.44869500263616124,0.4443631512075469,0.4526210242286541,AUC_frac_usable,0.44869500263616124,0.4443631512075469,0.4526210242286541,2,0.9686274509803922,26,12
flip_cov100_bw025,primary,flip,ecoli70,66,AUC_frac,0.3541260244616687,0.32759545648043814,0.39735933495546305,AUC_frac_usable,0.3896523402511423,0.33913391801889964,0.3986536106423771,2,0.9655172413793104,10.0,10.0
flip_cov100_bw025,primary,flip,hailfinder,33,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,1,0.0,1,0
flip_cov100_bw025,primary,flip,hepar2,24,AUC_frac,0.32787075514360675,0.327763705231541,0.4605056252074331,AUC_frac_usable,0.32787075514360675,0.327763705231541,0.4605056252074331,2,0.75,9.0,4.0
flip_cov100_bw025,primary,flip,insurance,285,AUC_frac,0.6451183431952663,0.5,0.6535398230088495,AUC_frac_usable,0.6451183431952663,0.5,0.6535398230088495,4,0.23404255319148937,3,3
flip_cov100_bw025,primary,flip,magic-irri,33,AUC_frac,0.44930000000000003,0.44720000000000004,0.4523,AUC_frac_usable,0.44930000000000003,0.44720000000000004,0.4523,3,0.7777777777777778,10,5
flip_cov100_bw025,primary,flip,magic-niab,63,AUC_frac,0.44621545880316765,0.44121479524524787,0.4553387681227224,AUC_frac_usable,0.44621545880316765,0.44121479524524787,0.4553387681227224,2,0.7454545454545455,8,5
flip_cov100_bw025,primary,flip,mediator,9,AUC_frac,0.2570914090221525,0.1921439628482972,0.25952368503607653,AUC_frac_usable,0.2570914090221525,0.1921439628482972,0.25952368503607653,2,0.5,3,2
flip_cov100_bw025,primary,flip,munin1,9,AUC_frac,0.7717407954870882,0.7606183122266743,0.772283940780849,AUC_frac_usable,0.7717407954870882,0.7606183122266743,0.772283940780849,2,0.16666666666666666,6,4.5
flip_cov100_bw025,primary,flip,pathfinder,9,AUC_frac,,,,AUC_frac_usable,,,,0,,79,
flip_cov100_bw025,primary,flip,paths,60,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,14,0.05,1.0,0.0
flip_cov100_bw025,primary,flip,sachs,36,AUC_frac,0.22229923896466305,0.20178810334775377,0.33191556831804914,AUC_frac_usable,0.22229923896466305,0.20178810334775377,0.33191556831804914,3,0.76,8.0,6.0
flip_cov100_bw025,primary,flip,water,42,AUC_frac,0.35069999999999996,0.3325,0.3675,AUC_frac_usable,0.35069999999999996,0.3325,0.3675,2,0.7857142857142857,2.0,0.0
flip_cov100_bw025,primary,flip,win95pts,9,AUC_frac,0.5871340307362306,0.4523896907987964,0.6065571225781533,AUC_frac_usable,0.5871340307362306,0.4523896907987964,0.6065571225781533,2,0.7777777777777778,9,5
flip_cov100_bwa1,supplementary,flip,Acid_1996,30,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,1,1.0,1.0,2.0
flip_cov100_bwa1,supplementary,flip,Didelez_2010,24,AUC_frac,,,,AUC_frac_usable,,,,0,,1.0,4.0
flip_cov100_bwa1,supplementary,flip,Kampen_2014,81,AUC_frac,0.1755,0.1715,0.7198,AUC_frac_usable,0.1755,0.1715,0.7198,4,0.5769230769230769,3,2
flip_cov100_bwa1,supplementary,flip,Polzer_2012,147,AUC_frac,0.33755755080939975,0.2717716688350538,0.4913364375461935,AUC_frac_usable,0.33755755080939975,0.2717716688350538,0.4913364375461935,2,0.7913043478260869,5,3
flip_cov100_bwa1,supplementary,flip,Schipf_2010,33,AUC_frac,0.6488721804511277,0.6158537549407115,0.6511278195488723,AUC_frac_usable,0.6488721804511277,0.6158537549407115,0.6511278195488723,3,0.2727272727272727,3,3
flip_cov100_bwa1,supplementary,flip,Sebastiani_2005,15,AUC_frac,0.3914439667077928,0.3543410722448827,0.4017508342047271,AUC_frac_usable,0.3914439667077928,0.3543410722448827,0.4017508342047271,2,0.9333333333333333,7,2
flip_cov100_bwa1,supplementary,flip,Shrier_2008,21,AUC_frac,0.35139999999999993,0.34509999999999996,0.35490000000000005,AUC_frac_usable,0.35139999999999993,0.34509999999999996,0.35490000000000005,2,0.9411764705882353,2,3
flip_cov100_bwa1,supplementary,flip,arth150,18,AUC_frac,0.3377007139987733,0.14399074452157343,0.5825910931174089,AUC_frac_usable,0.6241730771311627,0.5825910931174089,0.6351572070232748,1,1.0,29.0,2.0
flip_cov100_bwa1,supplementary,flip,asia,6,AUC_frac,0.4488958820598231,0.24802407665535023,0.6494331942910796,AUC_frac_usable,0.4488958820598231,0.24802407665535023,0.6494331942910796,2,0.5,3.0,2.0
flip_cov100_bwa1,supplementary,flip,barley,255,AUC_frac,0.5674770408163264,0.35429834669285737,0.6254063064414817,AUC_frac_usable,0.5674770408163264,0.35429834669285737,0.6254063064414817,2,0.7782805429864253,7,3
flip_cov100_bwa1,supplementary,flip,child,54,AUC_frac,0.35175,0.34229999999999994,0.3612,AUC_frac_usable,0.35175,0.34229999999999994,0.3612,2,0.0,2.0,2.0
flip_cov100_bwa1,supplementary,flip,diabetes,267,AUC_frac,0.44466575070730724,0.44254460804067514,0.4505197540356755,AUC_frac_usable,0.44466575070730724,0.44254460804067514,0.4505197540356755,1,1.0,26,2
flip_cov100_bwa1,supplementary,flip,ecoli70,66,AUC_frac,0.37100555693179993,0.36854194540857266,0.3882842026426592,AUC_frac_usable,0.37100555693179993,0.36854194540857266,0.3882842026426592,2,0.9473684210526315,10.0,4.0
flip_cov100_bwa1,supplementary,flip,hailfinder,33,AUC_frac,,,,AUC_frac_usable,,,,0,,1,
flip_cov100_bwa1,supplementary,flip,hepar2,24,AUC_frac,0.29106000721936787,0.2519659351578741,0.437107253089013,AUC_frac_usable,0.29106000721936787,0.2519659351578741,0.437107253089013,2,0.9166666666666666,9.0,2.0
flip_cov100_bwa1,supplementary,flip,insurance,285,AUC_frac,0.6126046523950827,0.6126046523950827,0.7518796992481205,AUC_frac_usable,0.6126046523950827,0.6126046523950827,0.7518796992481205,4,0.20454545454545456,3,13
flip_cov100_bwa1,supplementary,flip,magic-irri,33,AUC_frac,0.44659999999999994,0.4415,0.8111,AUC_frac_usable,0.44659999999999994,0.4415,0.8111,2,0.7272727272727273,10,2
flip_cov100_bwa1,supplementary,flip,magic-niab,63,AUC_frac,0.40425702720857465,0.40184536096862844,0.4556633508602492,AUC_frac_usable,0.40425702720857465,0.40184536096862844,0.4556633508602492,2,0.7619047619047619,8,2
flip_cov100_bwa1,supplementary,flip,mediator,9,AUC_frac,0.24847248321540585,0.24452281777663204,0.25242214865417967,AUC_frac_usable,0.24847248321540585,0.24452281777663204,0.25242214865417967,1,0.0,3,2.0
flip_cov100_bwa1,supplementary,flip,munin1,9,AUC_frac,0.7696575285043593,0.7605172501916687,0.7894812164579603,AUC_frac_usable,0.7696575285043593,0.7605172501916687,0.7894812164579603,2,0.7777777777777778,6,2
flip_cov100_bwa1,supplementary,flip,pathfinder,9,AUC_frac,0.5,0.25,0.75,AUC_frac_usable,,,,2,0.8571428571428571,79,7
flip_cov100_bwa1,supplementary,flip,paths,60,AUC_frac,,,,AUC_frac_usable,,,,0,,1.0,
flip_cov100_bwa1,supplementary,flip,sachs,36,AUC_frac,0.15487179668936363,0.14845422067782982,0.2626599971095892,AUC_frac_usable,0.15487179668936363,0.14845422067782982,0.2626599971095892,2,0.8181818181818182,8.0,3.0
flip_cov100_bwa1,supplementary,flip,water,42,AUC_frac,0.3556,0.34229999999999994,0.35857500000000003,AUC_frac_usable,0.3556,0.34229999999999994,0.35857500000000003,2,0.8333333333333334,2.0,4.0
flip_cov100_bwa1,supplementary,flip,win95pts,9,AUC_frac,0.6265098141864788,0.37938417749058273,0.6266563605848617,AUC_frac_usable,0.6265098141864788,0.37938417749058273,0.6266563605848617,1,1.0,9,2
tiered_nt2,primary,tiered,Acid_1996,10,AUC_rate,,,,AUC_rate_usable,,,,0,,0.0,
tiered_nt2,primary,tiered,Didelez_2010,8,AUC_rate,,,,AUC_rate_usable,,,,0,,0.0,
tiered_nt2,primary,tiered,Kampen_2014,27,AUC_rate,0.782335915774842,0.782335915774842,0.782335915774842,AUC_rate_usable,0.782335915774842,0.782335915774842,0.782335915774842,1,1.0,1,10
tiered_nt2,primary,tiered,Polzer_2012,49,AUC_rate,,,,AUC_rate_usable,,,,0,,0,
tiered_nt2,primary,tiered,Schipf_2010,11,AUC_rate,0.6973948973120222,0.6973948973120222,0.6973948973120222,AUC_rate_usable,0.6973948973120222,0.6973948973120222,0.6973948973120222,1,1.0,2,4
tiered_nt2,primary,tiered,Sebastiani_2005,5,AUC_rate,0.5821721192642285,0.5821721192642285,0.5821721192642285,AUC_rate_usable,0.5821721192642285,0.5821721192642285,0.5821721192642285,1,1.0,1,6
tiered_nt2,primary,tiered,Shrier_2008,7,AUC_rate,0.7246255865452008,0.7246255865452008,0.7246255865452008,AUC_rate_usable,0.7246255865452008,0.7246255865452008,0.7246255865452008,1,1.0,1,2
tiered_nt2,primary,tiered,arth150,6,AUC_rate,,,,AUC_rate_usable,,,,0,,7.0,
tiered_nt2,primary,tiered,asia,2,AUC_rate,,,,AUC_rate_usable,,,,0,,1.0,2.0
tiered_nt2,primary,tiered,barley,85,AUC_rate,,,,AUC_rate_usable,,,,0,,0,
tiered_nt2,primary,tiered,child,18,AUC_rate,,,,AUC_rate_usable,,,,0,,2.0,10.0
tiered_nt2,primary,tiered,diabetes,89,AUC_rate,,,,AUC_rate_usable,,,,0,,0,
tiered_nt2,primary,tiered,ecoli70,22,AUC_rate,,,,AUC_rate_usable,,,,0,,5.0,
tiered_nt2,primary,tiered,hailfinder,11,AUC_rate,0.7488902768782997,0.7465933542638477,0.7510094538087663,AUC_rate_usable,0.7488902768782997,0.7465933542638477,0.7510094538087663,1,1.0,11,6
tiered_nt2,primary,tiered,hepar2,8,AUC_rate,,,,AUC_rate_usable,,,,0,,0.0,
tiered_nt2,primary,tiered,insurance,95,AUC_rate,,,,AUC_rate_usable,,,,0,,2,
tiered_nt2,primary,tiered,magic-irri,11,AUC_rate,0.7570853094521565,0.5270511273736952,0.7570853094521565,AUC_rate_usable,0.7570853094521565,0.5270511273736952,0.7570853094521565,2,0.4,9,2
tiered_nt2,primary,tiered,magic-niab,21,AUC_rate,0.5886325103219365,0.5170535442118456,0.6481147966560533,AUC_rate_usable,0.5886325103219365,0.5170535442118456,0.6481147966560533,2,0.8095238095238095,8,0
tiered_nt2,primary,tiered,mediator,3,AUC_rate,0.2727272727272727,0.2727272727272727,0.2727272727272727,AUC_rate_usable,0.2727272727272727,0.2727272727272727,0.2727272727272727,1,1.0,3,1
tiered_nt2,primary,tiered,munin1,3,AUC_rate,,,,AUC_rate_usable,,,,0,,0,
tiered_nt2,primary,tiered,pathfinder,3,AUC_rate,,,,AUC_rate_usable,,,,0,,52,
tiered_nt2,primary,tiered,paths,20,AUC_rate,0.8419870978694508,0.7116543587131822,0.9494949494949495,AUC_rate_usable,0.9912605042016807,0.9100840336134454,1.0,6,0.16666666666666666,1.0,8.0
tiered_nt2,primary,tiered,sachs,12,AUC_rate,0.5780626883822154,0.5780626883822154,0.5780626883822154,AUC_rate_usable,0.5780626883822154,0.5780626883822154,0.5780626883822154,1,1.0,8.0,7.0
tiered_nt2,primary,tiered,water,14,AUC_rate,0.6524984963840785,0.6524984963840785,0.6536074219969673,AUC_rate_usable,0.6524984963840785,0.6524984963840785,0.6536074219969673,1,1.0,2.0,2.0
tiered_nt2,primary,tiered,win95pts,3,AUC_rate,,,,AUC_rate_usable,,,,0,,10,2
tiered_nt3,primary,tiered,Acid_1996,10,AUC_rate,,,,AUC_rate_usable,,,,0,,0.0,
tiered_nt3,primary,tiered,Didelez_2010,8,AUC_rate,0.8627733505530855,0.8627733505530855,0.8627733505530855,AUC_rate_usable,0.8627733505530855,0.8627733505530855,0.8627733505530855,1,1.0,1.0,2.0
tiered_nt3,primary,tiered,Kampen_2014,27,AUC_rate,0.8733656632895567,0.8698727448597141,0.8768585817193992,AUC_rate_usable,0.8733656632895567,0.8698727448597141,0.8768585817193992,1,1.0,6,5
tiered_nt3,primary,tiered,Polzer_2012,49,AUC_rate,0.5801572413657525,0.5437474389889654,0.7379334468928367,AUC_rate_usable,0.5801572413657525,0.5437474389889654,0.7379334468928367,2,0.5333333333333333,3,5
tiered_nt3,primary,tiered,Schipf_2010,11,AUC_rate,0.5545776272674963,0.5545776272674963,0.7253227493727635,AUC_rate_usable,0.5545776272674963,0.5545776272674963,0.7253227493727635,2,0.6,3,2
tiered_nt3,primary,tiered,Sebastiani_2005,5,AUC_rate,0.6868884797354977,0.6868884797354977,0.6868884797354977,AUC_rate_usable,0.6868884797354977,0.6868884797354977,0.6868884797354977,1,1.0,1,6
tiered_nt3,primary,tiered,Shrier_2008,7,AUC_rate,0.6797790969257962,0.6797790969257962,0.727932848974004,AUC_rate_usable,0.6797790969257962,0.6797790969257962,0.727932848974004,1,1.0,2,1
tiered_nt3,primary,tiered,arth150,6,AUC_rate,,,,AUC_rate_usable,,,,0,,19.0,
tiered_nt3,primary,tiered,asia,2,AUC_rate,0.8376531943463212,0.8376531943463212,0.8376531943463212,AUC_rate_usable,0.8376531943463212,0.8376531943463212,0.8376531943463212,1,1.0,2.0,1.0
tiered_nt3,primary,tiered,barley,85,AUC_rate,0.8011114894809704,0.7358224977985321,0.8250328179616055,AUC_rate_usable,0.8011114894809704,0.7358224977985321,0.8250328179616055,2,0.7954545454545454,5,3
tiered_nt3,primary,tiered,child,18,AUC_rate,0.8642946191290647,0.8642946191290647,0.8642946191290647,AUC_rate_usable,0.8642946191290647,0.8642946191290647,0.8642946191290647,1,1.0,5.0,7.0
tiered_nt3,primary,tiered,diabetes,89,AUC_rate,,,,AUC_rate_usable,,,,0,,1,
tiered_nt3,primary,tiered,ecoli70,22,AUC_rate,,,,AUC_rate_usable,,,,0,,9.0,
tiered_nt3,primary,tiered,hailfinder,11,AUC_rate,0.8603933630870845,0.859109442222362,0.860506980077667,AUC_rate_usable,0.8603933630870845,0.859109442222362,0.860506980077667,1,0.0,2,0
tiered_nt3,primary,tiered,hepar2,8,AUC_rate,,,,AUC_rate_usable,,,,0,,1.0,8.0
tiered_nt3,primary,tiered,insurance,95,AUC_rate,0.8659695933457671,0.8399790421915821,0.9710349409300104,AUC_rate_usable,0.8659695933457671,0.8399790421915821,0.9710349409300104,2,0.71875,5,12
tiered_nt3,primary,tiered,magic-irri,11,AUC_rate,,,,AUC_rate_usable,,,,0,,5,7
tiered_nt3,primary,tiered,magic-niab,21,AUC_rate,0.7314049264578879,0.6443089127022186,0.7792625586069465,AUC_rate_usable,0.7314049264578879,0.6443089127022186,0.7792625586069465,2,0.8,8,1
tiered_nt3,primary,tiered,mediator,3,AUC_rate,0.5575496791312092,0.5575496791312092,0.5575496791312092,AUC_rate_usable,0.5575496791312092,0.5575496791312092,0.5575496791312092,1,1.0,4,1
tiered_nt3,primary,tiered,munin1,3,AUC_rate,0.8813088885398426,0.8813088885398426,0.8813088885398426,AUC_rate_usable,0.8813088885398426,0.8813088885398426,0.8813088885398426,1,1.0,4,3
tiered_nt3,primary,tiered,pathfinder,3,AUC_rate,,,,AUC_rate_usable,,,,0,,70,
tiered_nt3,primary,tiered,paths,20,AUC_rate,1.0,0.8181818181818182,1.0,AUC_rate_usable,1.0,1.0,1.0,9,0.06666666666666667,2.0,5.0
tiered_nt3,primary,tiered,sachs,12,AUC_rate,0.3382071338025755,0.3382071338025755,0.740698558138958,AUC_rate_usable,0.3382071338025755,0.3382071338025755,0.740698558138958,2,0.6,13.0,2.0
tiered_nt3,primary,tiered,water,14,AUC_rate,0.5922258526542319,0.5797929804907782,0.6046587248176856,AUC_rate_usable,0.5922258526542319,0.5797929804907782,0.6046587248176856,2,0.7857142857142857,4.0,0.0
tiered_nt3,primary,tiered,win95pts,3,AUC_rate,0.6797374203350798,0.6797374203350798,0.6797374203350798,AUC_rate_usable,0.6797374203350798,0.6797374203350798,0.6797374203350798,1,1.0,9,3
tiered_nt4,primary,tiered,Acid_1996,10,AUC_rate,,,,AUC_rate_usable,,,,0,,0.0,
tiered_nt4,primary,tiered,Didelez_2010,8,AUC_rate,0.8959119768819847,0.8886998364269836,0.8959119768819847,AUC_rate_usable,0.8959119768819847,0.8886998364269836,0.8959119768819847,1,1.0,2.0,1.0
tiered_nt4,primary,tiered,Kampen_2014,27,AUC_rate,0.8244478171322378,0.8244478171322378,0.8519734149282199,AUC_rate_usable,0.8244478171322378,0.8244478171322378,0.8519734149282199,2,0.8571428571428571,7,4
tiered_nt4,primary,tiered,Polzer_2012,49,AUC_rate,0.7657249832913542,0.5522776992630448,0.7657249832913542,AUC_rate_usable,0.7657249832913542,0.5522776992630448,0.7657249832913542,2,0.6111111111111112,4,4
tiered_nt4,primary,tiered,Schipf_2010,11,AUC_rate,0.895219417795476,0.7124927660087353,0.8959018108556853,AUC_rate_usable,0.895219417795476,0.7124927660087353,0.8959018108556853,2,0.7142857142857143,5,1
tiered_nt4,primary,tiered,Sebastiani_2005,5,AUC_rate,0.7176203652251767,0.7172981887853458,0.7650084993627294,AUC_rate_usable,0.7176203652251767,0.7172981887853458,0.7650084993627294,1,1.0,3,4
tiered_nt4,primary,tiered,Shrier_2008,7,AUC_rate,0.710597543361316,0.710597543361316,0.7565554516778898,AUC_rate_usable,0.710597543361316,0.710597543361316,0.7565554516778898,1,1.0,2,1
tiered_nt4,primary,tiered,arth150,6,AUC_rate,,,,AUC_rate_usable,,,,0,,22.0,
tiered_nt4,primary,tiered,asia,2,AUC_rate,0.8275411620677502,0.8270003511864334,0.8280819729490668,AUC_rate_usable,0.8275411620677502,0.8270003511864334,0.8280819729490668,1,1.0,3.0,0.0
tiered_nt4,primary,tiered,barley,85,AUC_rate,0.7868023840253429,0.7210925981552413,0.8570184912160147,AUC_rate_usable,0.7868023840253429,0.7210925981552413,0.8570184912160147,2,0.7297297297297297,6,1
tiered_nt4,primary,tiered,child,18,AUC_rate,0.86906788061086,0.86906788061086,0.8984982267541916,AUC_rate_usable,0.86906788061086,0.86906788061086,0.8984982267541916,1,1.0,6.0,5.0
tiered_nt4,primary,tiered,diabetes,89,AUC_rate,,,,AUC_rate_usable,,,,0,,0,
tiered_nt4,primary,tiered,ecoli70,22,AUC_rate,0.5103354396511905,0.5103354396511905,0.5737548453152077,AUC_rate_usable,0.5103354396511905,0.5103354396511905,0.5737548453152077,1,1.0,14.0,10.0
tiered_nt4,primary,tiered,hailfinder,11,AUC_rate,0.9491911608087118,0.9468292823061614,0.9498243180856338,AUC_rate_usable,0.9491911608087118,0.9468292823061614,0.9498243180856338,1,0.0,12,0
tiered_nt4,primary,tiered,hepar2,8,AUC_rate,,,,AUC_rate_usable,,,,0,,1.0,8.0
tiered_nt4,primary,tiered,insurance,95,AUC_rate,0.9135509144498083,0.9050699434327754,0.914644597882041,AUC_rate_usable,0.9135509144498083,0.9050699434327754,0.914644597882041,2,0.8125,10,8
tiered_nt4,primary,tiered,magic-irri,11,AUC_rate,0.7207730095639904,0.7207730095639904,0.8327280185696389,AUC_rate_usable,0.7207730095639904,0.7207730095639904,0.8327280185696389,2,0.7,10,1
tiered_nt4,primary,tiered,magic-niab,21,AUC_rate,0.7672815015342661,0.7166254228558929,0.804544256174048,AUC_rate_usable,0.7672815015342661,0.7166254228558929,0.804544256174048,2,0.8095238095238095,10,0
tiered_nt4,primary,tiered,mediator,3,AUC_rate,0.37236305288610344,0.37236305288610344,0.4976207065795014,AUC_rate_usable,0.37236305288610344,0.37236305288610344,0.4976207065795014,1,1.0,5,0
tiered_nt4,primary,tiered,munin1,3,AUC_rate,0.9204733975667619,0.9204733975667619,0.9204733975667619,AUC_rate_usable,0.9204733975667619,0.9204733975667619,0.9204733975667619,1,1.0,5,2
tiered_nt4,primary,tiered,pathfinder,3,AUC_rate,,,,AUC_rate_usable,,,,0,,88,
tiered_nt4,primary,tiered,paths,20,AUC_rate,1.0,1.0,1.0,AUC_rate_usable,1.0,1.0,1.0,10,0.0625,3.0,4.0
tiered_nt4,primary,tiered,sachs,12,AUC_rate,0.4729215292171252,0.4729215292171252,0.7118087654951927,AUC_rate_usable,0.4729215292171252,0.4729215292171252,0.7118087654951927,1,1.0,12.0,4.0
tiered_nt4,primary,tiered,water,14,AUC_rate,0.641361874597566,0.6361865257693554,0.6465372234257765,AUC_rate_usable,0.641361874597566,0.6361865257693554,0.6465372234257765,2,0.7857142857142857,6.0,0.0
tiered_nt4,primary,tiered,win95pts,3,AUC_rate,,,,AUC_rate_usable,,,,0,,10,2
