stratum,stratum_class,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips,r_assumes,median_endpoint_pair_weighted,median_endpoint_network_weighted
flip_cov025_bw000,supplementary,flip,radius,AUC_frac,ok,106,8,106,0,0,-0.5267509728699254,2.7547072097720332e-09,-0.9219103336365858,-0.08970719583905339,8,-0.7655935100476603,-0.32057399971420125,barley,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.3472,0.23793750000000002
flip_cov025_bw000,supplementary,flip,radius,AUC_frac_usable,ok,106,8,106,0,0,-0.5267509728699254,2.7547072097720332e-09,-0.9219103336365858,-0.08970719583905339,8,-0.7655935100476603,-0.32057399971420125,barley,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.3472,0.23793750000000002
flip_cov025_bw000,supplementary,flip,shd_truth,AUC_frac,ok,106,8,106,0,0,-0.32228931435067226,8.100030976821283e-05,-0.7916116105051918,0.6698331831133948,6,-0.4957152119265598,0.3001552658871953,Kampen_2014,insurance,True,,0.3472,0.23793750000000002
flip_cov025_bw000,supplementary,flip,shd_truth,AUC_frac_usable,ok,106,8,106,0,0,-0.32228931435067226,8.100030976821283e-05,-0.7916116105051918,0.6698331831133948,6,-0.4957152119265598,0.3001552658871953,Kampen_2014,insurance,True,,0.3472,0.23793750000000002
flip_cov025_bw000,supplementary,flip,n_k,AUC_frac,ok,106,8,106,0,0,0.8244001199323044,1.9841237442967085e-20,0.41127239320508663,0.9902946564969836,228,0.6263705197599004,0.9420508516391006,insurance,barley,False,,0.3472,0.23793750000000002
flip_cov025_bw000,supplementary,flip,n_k,AUC_frac_usable,ok,106,8,106,0,0,0.8244001199323044,1.9841237442967085e-20,0.41127239320508663,0.9902946564969836,228,0.6263705197599004,0.9420508516391006,insurance,barley,False,,0.3472,0.23793750000000002
flip_cov025_bw000,supplementary,flip,k_g0,AUC_frac,ok,106,8,106,0,0,-0.6180666906681382,5.226612055224276e-14,-0.8986383041049504,0.09123501781522494,9,-0.783799839017847,-0.3033620292453971,Polzer_2012,insurance,False,,0.3472,0.23793750000000002
flip_cov025_bw000,supplementary,flip,k_g0,AUC_frac_usable,ok,106,8,106,0,0,-0.6180666906681382,5.226612055224276e-14,-0.8986383041049504,0.09123501781522494,9,-0.783799839017847,-0.3033620292453971,Polzer_2012,insurance,False,,0.3472,0.23793750000000002
flip_cov025_bw010,supplementary,flip,radius,AUC_frac,ok,318,8,318,0,0,-0.513414151685496,2.782337763774402e-25,-0.9175865838624236,-0.09674488338089349,8,-0.7536764633683336,-0.3108893401202581,barley,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.33949999999999997,0.23785
flip_cov025_bw010,supplementary,flip,radius,AUC_frac_usable,ok,318,8,318,0,0,-0.513414151685496,2.782337763774402e-25,-0.9175865838624236,-0.09674488338089349,8,-0.7536764633683336,-0.3108893401202581,barley,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.33949999999999997,0.23785
flip_cov025_bw010,supplementary,flip,shd_truth,AUC_frac,ok,318,8,318,0,0,-0.33695805307406584,1.4802838155312504e-13,-0.7595342554897649,0.6289406277082572,6,-0.5058773910742994,0.22258365818377382,Kampen_2014,insurance,True,,0.33949999999999997,0.23785
flip_cov025_bw010,supplementary,flip,shd_truth,AUC_frac_usable,ok,318,8,318,0,0,-0.33695805307406584,1.4802838155312504e-13,-0.7595342554897649,0.6289406277082572,6,-0.5058773910742994,0.22258365818377382,Kampen_2014,insurance,True,,0.33949999999999997,0.23785
flip_cov025_bw010,supplementary,flip,n_k,AUC_frac,ok,318,8,318,0,0,0.7925961738316143,2.2163194616749897e-57,0.36485049548329157,0.9870097145011122,228,0.5827584277494215,0.9235390326027146,insurance,barley,False,,0.33949999999999997,0.23785
flip_cov025_bw010,supplementary,flip,n_k,AUC_frac_usable,ok,318,8,318,0,0,0.7925961738316143,2.2163194616749897e-57,0.36485049548329157,0.9870097145011122,228,0.5827584277494215,0.9235390326027146,insurance,barley,False,,0.33949999999999997,0.23785
flip_cov025_bw010,supplementary,flip,k_g0,AUC_frac,ok,318,8,318,0,0,-0.5650941697847244,5.642636234689528e-35,-0.8655428278476252,0.11625849123933603,9,-0.7170757803064841,-0.2211381752399178,Polzer_2012,insurance,False,,0.33949999999999997,0.23785
flip_cov025_bw010,supplementary,flip,k_g0,AUC_frac_usable,ok,318,8,318,0,0,-0.5650941697847244,5.642636234689528e-35,-0.8655428278476252,0.11625849123933603,9,-0.7170757803064841,-0.2211381752399178,Polzer_2012,insurance,False,,0.33949999999999997,0.23785
flip_cov025_bw025,supplementary,flip,radius,AUC_frac,ok,318,8,318,0,0,-0.520992930173906,1.636083134665334e-25,-0.9174969013538908,-0.09655057796246147,8,-0.7724252503165817,-0.3202824738807645,barley,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.3430000000000001,0.23898749999999996
flip_cov025_bw025,supplementary,flip,radius,AUC_frac_usable,ok,318,8,318,0,0,-0.520992930173906,1.636083134665334e-25,-0.9174969013538908,-0.09655057796246147,8,-0.7724252503165817,-0.3202824738807645,barley,insurance,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.3430000000000001,0.23898749999999996
flip_cov025_bw025,supplementary,flip,shd_truth,AUC_frac,ok,318,8,318,0,0,-0.38636818549927426,4.866554516339871e-17,-0.7754029469531422,0.6534881168532116,6,-0.5651111542124828,0.1313942671841954,Kampen_2014,insurance,True,,0.3430000000000001,0.23898749999999996
