stratum,stratum_class,predictor,endpoint,dropped_network,n,n_networks,tau_b,ci_lo_2p5,ci_hi_97p5,excludes_zero,full_tau_b,full_excludes_zero,loses_zero_exclusion
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,Kampen_2014,297,7,-0.5058773910742994,-0.8469547269217353,0.3925763215023924,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,Polzer_2012,297,7,-0.33106259117788406,-0.8446643331688795,0.7153103033635854,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,Sebastiani_2005,312,7,-0.33661371246234234,-0.7539465657534736,0.6690212648244294,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,barley,192,7,-0.2820149949870981,-0.8093306240275066,0.7331255570641959,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,insurance,222,7,0.22258365818377382,-0.4096780682607321,0.7476331635267122,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,magic-niab,279,7,-0.44996642744878923,-0.7875522712976175,0.6836360963157947,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,munin1,312,7,-0.35652133001544334,-0.782171592779391,0.6691861850658481,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,win95pts,315,7,-0.35583140837141897,-0.8090762267047414,0.6352818550397906,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,Kampen_2014,297,7,0.7674045257257841,0.36486546555122346,0.9834450564746755,True,0.7925961738316143,True,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,Polzer_2012,297,7,0.7674045257257841,0.36486546555122346,0.9834450564746755,True,0.7925961738316143,True,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,Sebastiani_2005,312,7,0.7985513374110305,0.3708066135962276,0.9924608510024624,True,0.7925961738316143,True,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,barley,192,7,0.9235390326027146,0.5818410803829158,0.9938385118896269,True,0.7925961738316143,True,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,insurance,222,7,0.5827584277494215,0.33352551169079925,0.9549565953038676,True,0.7925961738316143,True,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,magic-niab,279,7,0.8326875118079106,0.3925199360798159,0.9941593159168668,True,0.7925961738316143,True,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,munin1,312,7,0.7985513374110305,0.3687729691102264,0.9924608510024624,True,0.7925961738316143,True,False
flip_cov025_bw010,supplementary,n_k,AUC_frac_usable,win95pts,315,7,0.7955478019108274,0.36486546555122346,0.9895453501482385,True,0.7925961738316143,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,Kampen_2014,297,7,-0.4929176643792246,-0.9818435396750715,-0.02776531313474194,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,Polzer_2012,297,7,-0.49430589071459247,-0.9093674139210186,-0.02776531313474194,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,Sebastiani_2005,312,7,-0.5202549485398965,-0.9012265561057412,-0.10611148271561105,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,barley,192,7,-0.7724252503165817,-0.9829937278338915,-0.32781878158108113,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,insurance,222,7,-0.3202824738807645,-0.8591180897806925,-0.02777151094117768,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,magic-niab,279,7,-0.5530293674438498,-0.9837072735321214,-0.12481218875563746,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,munin1,312,7,-0.5049838107582373,-0.8962653545984449,-0.08348151449072459,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,radius,AUC_frac_usable,win95pts,315,7,-0.5182181871674669,-0.9092010728324762,-0.10134941980549249,True,-0.520992930173906,True,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,Kampen_2014,297,7,-0.5651111542124828,-0.8459323585245209,0.4240447782448479,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,Polzer_2012,297,7,-0.3879045842274812,-0.8446711927522232,0.7449646707938526,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,Sebastiani_2005,312,7,-0.3878104527359845,-0.7678001444255838,0.6810180755699373,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,barley,192,7,-0.27643431335845803,-0.8175247094695202,0.7518145353422997,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,insurance,222,7,0.1313942671841954,-0.3966566554822654,0.7649756692461814,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,magic-niab,279,7,-0.4525812957470269,-0.7949014122585673,0.7145533038238673,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,munin1,312,7,-0.408709743166909,-0.7931337622040224,0.6884419530031083,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,shd_truth,AUC_frac_usable,win95pts,315,7,-0.41193522966126117,-0.8340508173222885,0.6157269120925453,False,-0.38636818549927426,False,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,Kampen_2014,297,7,0.7774146443455737,0.3790005205493079,0.9829937278338915,True,0.8019290158944388,True,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,Polzer_2012,297,7,0.7774146443455737,0.3790005205493079,0.9829937278338915,True,0.8019290158944388,True,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,Sebastiani_2005,312,7,0.8081481366432403,0.3835596247147411,0.9922479451004091,True,0.8019290158944388,True,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,barley,192,7,0.9253944353363627,0.5839532114647311,0.9938385118896269,True,0.8019290158944388,True,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,insurance,222,7,0.5951173957301589,0.35268768365054715,0.9546687410108761,True,0.8019290158944388,True,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,magic-niab,279,7,0.8460429653598236,0.41274975230927563,0.9941593159168668,True,0.8019290158944388,True,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,munin1,312,7,0.8084450417332917,0.3836838401874864,0.9924608510024624,True,0.8019290158944388,True,False
flip_cov025_bw025,supplementary,n_k,AUC_frac_usable,win95pts,315,7,0.8050426126700365,0.3790005205493079,0.9893870608806261,True,0.8019290158944388,True,False
flip_cov025_bwa1,supplementary,radius,AUC_frac_usable,Sebastiani_2005,107,4,0.06732168108437554,-0.20617548746880668,0.8257228238447704,False,0.0785662691340324,False,False
flip_cov025_bwa1,supplementary,radius,AUC_frac_usable,barley,52,4,0.023548221017446053,-0.2216528586880518,0.8366600265340756,False,0.0785662691340324,False,False
flip_cov025_bwa1,supplementary,radius,AUC_frac_usable,magic-niab,73,4,0.19006084031402246,0.01611035802748544,0.8366600265340756,True,0.0785662691340324,False,False
flip_cov025_bwa1,supplementary,radius,AUC_frac_usable,munin1,106,4,-0.00367533200596876,-0.2216528586880518,0.11625745820058757,False,0.0785662691340324,False,False
flip_cov025_bwa1,supplementary,radius,AUC_frac_usable,win95pts,110,4,0.07929700991643171,-0.2019464171236939,0.7071067811865477,False,0.0785662691340324,False,False
flip_cov025_bwa1,supplementary,shd_truth,AUC_frac_usable,Sebastiani_2005,107,4,-0.3279448902494572,-0.39573066604343365,0.1480669967727548,False,-0.2643648649393593,False,False
flip_cov025_bwa1,supplementary,shd_truth,AUC_frac_usable,barley,52,4,-0.011318767022139822,-0.11772130333601309,0.37796447300922725,False,-0.2643648649393593,False,False
flip_cov025_bwa1,supplementary,shd_truth,AUC_frac_usable,magic-niab,73,4,0.10150575027565535,-0.10046573352852292,0.37796447300922725,False,-0.2643648649393593,False,False
flip_cov025_bwa1,supplementary,shd_truth,AUC_frac_usable,munin1,106,4,-0.30911482135078433,-0.39573066604343365,0.37796447300922725,False,-0.2643648649393593,False,False
flip_cov025_bwa1,supplementary,shd_truth,AUC_frac_usable,win95pts,110,4,-0.27802973562901223,-0.39573066604343365,0.2669780037863651,False,-0.2643648649393593,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,Kampen_2014,174,16,0.21588375308828792,-0.5218530154561493,0.7087980771906981,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,Polzer_2012,172,16,0.2456801575235995,-0.43180284333210756,0.7245054593107518,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,Schipf_2010,180,16,0.1994386285273966,-0.41433428373950315,0.6572284247321468,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,Sebastiani_2005,178,16,0.1915562800679838,-0.42443621609907267,0.6518140470414063,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,Shrier_2008,179,16,0.17738564380667887,-0.4600312348535225,0.6395686581306488,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,asia,181,16,0.18958803457319323,-0.42214517870213847,0.6487161773200274,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,barley,120,16,0.20559170211304595,-0.557528132283776,0.7219074738918962,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,child,165,16,0.380865922432661,-0.17381687096378015,0.7277050056612595,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,ecoli70,172,16,0.18947291454177392,-0.4079532578536521,0.6566429077142598,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,hepar2,179,16,0.19703780337485835,-0.4309767375766528,0.6539856013686424,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,insurance,149,16,-0.12816722553809295,-0.5646099608764162,0.2521856195838773,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,magic-niab,168,16,0.19216712791802013,-0.48881963617570146,0.6869537956660072,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,mediator,181,16,0.1863865186388839,-0.44184167188355916,0.6437415973554348,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,munin1,181,16,0.19504904373036636,-0.4209822305737104,0.6490662257480884,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,sachs,181,16,0.18831379910318616,-0.4349326185471503,0.6435386762143507,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,water,173,16,0.17743906603858012,-0.5043159179002384,0.6676840999418847,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,radius,AUC_frac_usable,win95pts,179,16,0.19126175429247483,-0.4190543448616296,0.6516602064575346,False,0.19074657597977682,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,Kampen_2014,174,16,0.41339511462148815,-0.16756150870965916,0.8073196348551286,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,Polzer_2012,172,16,0.4992125432534403,0.012856562499897856,0.8111264572498342,True,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,Schipf_2010,180,16,0.42016249577300185,-0.11702835675550667,0.7759812651098221,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,Sebastiani_2005,178,16,0.4259545786730887,-0.11254758306448424,0.7830236808574669,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,Shrier_2008,179,16,0.40906881551067553,-0.1504210867007225,0.7732212581466458,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,asia,181,16,0.4225608873793008,-0.11307021276978538,0.7785425272908413,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,barley,120,16,0.5511608342278734,0.07190419044216666,0.8256116049886855,True,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,child,165,16,0.29842303565982425,-0.1981995179513266,0.705311228307603,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,ecoli70,172,16,0.5117417671702884,-0.06713043984471687,0.8285162981625294,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,hepar2,179,16,0.42290942557807804,-0.10308436189138225,0.7786441291120547,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,insurance,149,16,0.22746989194828343,-0.19427403101977558,0.673364110154556,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,magic-niab,168,16,0.47814811160014925,-0.047160879204778,0.7951704914214779,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,mediator,181,16,0.4194404938659918,-0.0978666950408337,0.7694961177197563,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,munin1,181,16,0.42289215532987257,-0.09189940074674662,0.7729039999013491,False,0.4255242108263896,False,False
