instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov050_seed00000009_bw025,6,1,0.5,0.25,200,2,122,78,0.39,0.0,0.0
c06_s01_cov050_seed00000009_bw025,6,1,0.5,0.25,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000009_bw025,6,1,0.5,0.25,1000,1,1000,0,0.0,0.668,0.668
c06_s01_cov050_seed00000009_bw025,6,1,0.5,0.25,1000,2,678,322,0.322,0.0,0.0
c06_s01_cov050_seed00000009_bw025,6,1,0.5,0.25,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,200,1,154,46,0.23,0.6623376623376623,0.51
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,200,2,103,97,0.485,0.2912621359223301,0.15
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,200,3,53,147,0.735,0.0,0.0
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,1000,1,756,244,0.244,0.6626984126984127,0.501
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,1000,2,476,524,0.524,0.3319327731092437,0.158
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,1000,3,254,746,0.746,0.0,0.0
c06_s01_cov050_seed00000010_bw025,6,1,0.5,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000011_bw025,6,1,0.5,0.25,200,1,59,141,0.705,0.0,0.0
c06_s01_cov050_seed00000011_bw025,6,1,0.5,0.25,200,2,129,71,0.355,0.0,0.0
c06_s01_cov050_seed00000011_bw025,6,1,0.5,0.25,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000011_bw025,6,1,0.5,0.25,1000,1,305,695,0.695,0.0,0.0
c06_s01_cov050_seed00000011_bw025,6,1,0.5,0.25,1000,2,673,327,0.327,0.0,0.0
c06_s01_cov050_seed00000011_bw025,6,1,0.5,0.25,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,200,1,108,92,0.46,1.0,0.54
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,200,2,97,103,0.515,0.6185567010309279,0.3
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,200,3,40,160,0.8,0.0,0.0
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,1000,1,503,497,0.497,1.0,0.503
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,1000,2,501,499,0.499,0.6626746506986028,0.332
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,1000,3,241,759,0.759,0.0,0.0
c06_s01_cov050_seed00000012_bw025,6,1,0.5,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000014_bw025,6,1,0.5,0.25,200,1,200,0,0.0,0.475,0.475
c06_s01_cov050_seed00000014_bw025,6,1,0.5,0.25,200,2,0,200,1.0,,0.0
c06_s01_cov050_seed00000014_bw025,6,1,0.5,0.25,1000,1,1000,0,0.0,0.512,0.512
