arm,base_wrongness,coverage,n_tiers,predictor,endpoint,is_primary,is_sensitivity,is_secondary,stratum_n_instances,n,n_excluded_unreached,n_excluded_nan,predictor_constant,underpowered,status,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,r_assumes
flip,0.0,0.5,,n_k,AUC_abs,False,False,True,240,240,0,0,False,False,ok,0.45704627594790015,7.873615296234261e-20,0.36325116816208725,0.5494529864868578,0,
flip,0.0,0.5,,n_k,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.23391781622436428,4.288503234102239e-06,0.11797235948119349,0.3542417042799695,0,
flip,0.0,0.5,,n_k,AUC_frac_usable,False,True,False,240,239,0,1,False,False,ok,0.1838534200910981,0.0002815006064093611,0.07637420863134545,0.28907363336472,0,
flip,0.0,0.5,,r_val,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.713719703186941,1.0527098361644957e-44,0.6252858817808793,0.797965776992534,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,0.5,,r_val,AUC_frac_usable,False,True,False,240,239,0,1,False,False,ok,0.6342693507454253,4.6269460416251344e-36,0.5333430944326343,0.7278947540010144,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,0.5,,shd_cpdag,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.034021490869001386,0.4842109561089958,-0.07098973393927446,0.14188879502106178,0,
flip,0.0,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,240,239,0,1,False,False,ok,0.024106899031604193,0.6182098465869288,-0.06617890111505997,0.11503911277563912,0,
flip,0.0,0.5,,shd_truth,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.24028037597216487,1.8358405547938433e-06,0.1436237177221509,0.3369928980312511,0,
flip,0.0,0.5,,shd_truth,AUC_frac_usable,False,True,False,240,239,0,1,False,False,ok,0.20352319087223383,4.80363205130642e-05,0.10547467364675303,0.3001853610850302,0,
flip,0.0,0.5,,undirected_fraction,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.20326127024633595,2.8041683183281e-05,0.09272330503218228,0.31717665706684095,0,
flip,0.0,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,240,239,0,1,False,False,ok,0.1593394242148831,0.0009603517210554528,0.05787070582833252,0.2587329246856203,0,
flip,0.0,1.0,,n_k,AUC_abs,False,False,True,240,240,0,0,False,False,ok,0.12106102543154615,0.009112872165596935,0.042008051649929254,0.20165324947751861,0,
flip,0.0,1.0,,n_k,AUC_frac,True,False,False,240,240,0,0,False,False,ok,-0.043271365994468985,0.3631871228062544,-0.1462953624309105,0.05899306462578206,0,
flip,0.0,1.0,,n_k,AUC_frac_usable,False,True,False,240,229,0,11,False,False,ok,0.02120354311256132,0.6640907544760142,-0.06231020194843822,0.10257387139741606,0,
flip,0.0,1.0,,r_val,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.5192417521193154,1.742864149767065e-26,0.44150130458028386,0.5907248401092533,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,1.0,,r_val,AUC_frac_usable,False,True,False,240,229,0,11,False,False,ok,-0.09053773561886297,0.07092814487724815,-0.2037455213432331,0.029528242214445537,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,1.0,,shd_cpdag,AUC_frac,True,False,False,240,240,0,0,False,False,ok,-0.043271365994468985,0.3631871228062544,-0.1462953624309105,0.05899306462578206,0,
flip,0.0,1.0,,shd_cpdag,AUC_frac_usable,False,True,False,240,229,0,11,False,False,ok,0.02120354311256132,0.6640907544760142,-0.06231020194843822,0.10257387139741606,0,
flip,0.0,1.0,,shd_truth,AUC_frac,True,False,False,240,240,0,0,True,False,undefined (predictor constant),,,,,0,
flip,0.0,1.0,,shd_truth,AUC_frac_usable,False,True,False,240,229,0,11,True,False,undefined (predictor constant),,,,,0,
flip,0.0,1.0,,undirected_fraction,AUC_frac,True,False,False,240,240,0,0,False,False,ok,-0.043271365994468985,0.3631871228062544,-0.1462953624309105,0.05899306462578206,0,
flip,0.0,1.0,,undirected_fraction,AUC_frac_usable,False,True,False,240,229,0,11,False,False,ok,0.02120354311256132,0.6640907544760142,-0.06231020194843822,0.10257387139741606,0,
flip,0.1,0.5,,n_k,AUC_abs,False,False,True,240,240,0,0,False,False,ok,0.43385710840174746,1.2721025142574537e-17,0.3325500295207731,0.53248377613543,0,
flip,0.1,0.5,,n_k,AUC_frac,True,False,False,240,240,0,0,False,False,ok,-0.040989671494372486,0.4266485230933813,-0.14266507624986863,0.06169672773910505,0,
flip,0.1,0.5,,n_k,AUC_frac_usable,False,True,False,240,240,0,0,False,False,ok,-0.00435738221592784,0.9313893060483934,-0.11431818341720115,0.10488109494471833,0,
flip,0.1,0.5,,r_val,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.3797239792383254,1.7039568672395261e-13,0.26455229910406797,0.48814886020472675,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,0.5,,r_val,AUC_frac_usable,False,True,False,240,240,0,0,False,False,ok,0.33392032040593883,4.0233628060936024e-11,0.2058221133631316,0.4530981509269189,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,0.5,,shd_cpdag,AUC_frac,True,False,False,240,240,0,0,False,False,ok,-0.12093165464232027,0.01369981583169766,-0.2068280242625727,-0.03510355236140293,0,
flip,0.1,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,240,240,0,0,False,False,ok,-0.09435974140408425,0.050045578809711,-0.19031125365764942,0.003173344130424226,0,
flip,0.1,0.5,,shd_truth,AUC_frac,True,False,False,240,240,0,0,False,False,ok,0.02729615097179002,0.5836579361680636,-0.07582935564562952,0.131089548694583,0,
flip,0.1,0.5,,shd_truth,AUC_frac_usable,False,True,False,240,240,0,0,False,False,ok,-0.00020304382240552625,0.9966860828915948,-0.11134688030625244,0.1071126780449233,0,
flip,0.1,0.5,,undirected_fraction,AUC_frac,True,False,False,240,240,0,0,False,False,ok,-0.044136467480761624,0.3678662702949147,-0.14361079657973488,0.055282926596699034,0,
flip,0.1,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,240,240,0,0,False,False,ok,-0.0030173032027556845,0.9499918860509238,-0.10667520882600191,0.1004334051307771,0,
flip,0.1,1.0,,n_k,AUC_abs,False,False,True,236,236,0,0,False,False,ok,0.1403300028217525,0.0029295823708946726,0.053994009358996564,0.2241038885301716,0,
flip,0.1,1.0,,n_k,AUC_frac,True,False,False,236,236,0,0,False,False,ok,-0.08239614595100754,0.07978692439556741,-0.18884765427930264,0.02539806421799907,0,
flip,0.1,1.0,,n_k,AUC_frac_usable,False,True,False,236,226,0,10,False,False,ok,0.260810961906547,4.51854237103977e-07,0.17085915703693835,0.3490520132112662,0,
flip,0.1,1.0,,r_val,AUC_frac,True,False,False,236,236,0,0,False,False,ok,0.3876866691563208,2.4238439906727246e-16,0.295891274247354,0.47783160221549104,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,1.0,,r_val,AUC_frac_usable,False,True,False,236,226,0,10,False,False,ok,0.47366983746548386,9.514044492690761e-20,0.39286963985092493,0.5478807868930317,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,1.0,,shd_cpdag,AUC_frac,True,False,False,236,236,0,0,False,False,ok,-0.08239614595100754,0.07978692439556741,-0.18884765427930264,0.02539806421799907,0,
flip,0.1,1.0,,shd_cpdag,AUC_frac_usable,False,True,False,236,226,0,10,False,False,ok,0.260810961906547,4.51854237103977e-07,0.17085915703693835,0.3490520132112662,0,
flip,0.1,1.0,,shd_truth,AUC_frac,True,False,False,236,236,0,0,False,False,ok,-0.17466371079464074,0.0013527327873006773,-0.28404170606381857,-0.06091152779147312,0,
flip,0.1,1.0,,shd_truth,AUC_frac_usable,False,True,False,236,226,0,10,False,False,ok,0.26300254689702796,1.1398548480415702e-05,0.160105720971379,0.3673143776280331,0,
flip,0.1,1.0,,undirected_fraction,AUC_frac,True,False,False,236,236,0,0,False,False,ok,-0.08239614595100754,0.07978692439556741,-0.18884765427930264,0.02539806421799907,0,
flip,0.1,1.0,,undirected_fraction,AUC_frac_usable,False,True,False,236,226,0,10,False,False,ok,0.260810961906547,4.51854237103977e-07,0.17085915703693835,0.3490520132112662,0,
flip,0.25,0.5,,n_k,AUC_abs,False,False,True,220,220,0,0,False,False,ok,0.6011023274814505,1.4984308358895507e-29,0.5186908532978174,0.681884714548269,0,
flip,0.25,0.5,,n_k,AUC_frac,True,False,False,220,220,0,0,False,False,ok,-0.20454441271027113,0.00012166146469433011,-0.33892870768082123,-0.07121574476641085,0,
flip,0.25,0.5,,n_k,AUC_frac_usable,False,True,False,220,220,0,0,False,False,ok,0.13069742178109228,0.013213128298009389,0.0001532396593929863,0.2555675066277741,0,
flip,0.25,0.5,,r_val,AUC_frac,True,False,False,220,220,0,0,False,False,ok,0.031381163264070505,0.5616553102856121,-0.11441577610298524,0.1686471786720144,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.25,0.5,,r_val,AUC_frac_usable,False,True,False,220,220,0,0,False,False,ok,0.27903838188028496,1.9068766953322676e-07,0.15298653548570473,0.39659527547485107,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.25,0.5,,shd_cpdag,AUC_frac,True,False,False,220,220,0,0,False,False,ok,-0.1596778796810602,0.0016084489450158852,-0.284420278152937,-0.03829094310008362,0,
flip,0.25,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,220,220,0,0,False,False,ok,0.14941017195953527,0.0028954180773802587,0.03233251841050475,0.2645212709871895,0,
flip,0.25,0.5,,shd_truth,AUC_frac,True,False,False,220,220,0,0,False,False,ok,-0.17142540469729445,0.0007194473012499551,-0.2637772226254104,-0.08022361905118745,0,
flip,0.25,0.5,,shd_truth,AUC_frac_usable,False,True,False,220,220,0,0,False,False,ok,0.03154603794858542,0.5299475189266643,-0.06335638557252019,0.1267074444301095,0,
flip,0.25,0.5,,undirected_fraction,AUC_frac,True,False,False,220,220,0,0,False,False,ok,-0.1818829017332418,0.0003537415205440456,-0.30982378464360066,-0.055305294056700996,0,
flip,0.25,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,220,220,0,0,False,False,ok,0.12352200149135742,0.014349759995056836,0.0032882040783930584,0.2401839921482488,0,
