instance_id,arm,gate,component_size,separation,n_tiers,bin,n_samples,n_contradictory,n_noncontra,contradiction_rate,S,S_contra_as_fail
c10_s01_cov100_seed00000011_xarm_nt3,tiered,fast_gate,10,1,3,0.3,400,242,158,0.605,0.8291139240506329,0.3275
c10_s01_cov100_seed00000011_xarm_nt3,tiered,fast_gate,10,1,3,0.5,200,129,71,0.645,0.7605633802816901,0.27
c10_s01_cov100_seed00000011_xarm_nt3,flip,fast_gate,10,1,3,0.3,200,41,159,0.205,0.8930817610062893,0.71
c10_s01_cov100_seed00000011_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,133,67,0.665,0.835820895522388,0.28
c10_s01_cov100_seed00000011_xarm_nt3,flip,fast_gate,10,1,3,0.65,200,173,27,0.865,0.9259259259259259,0.125
c10_s01_cov100_seed00000011_xarm_nt3,flip,fast_gate,10,1,3,0.8,200,195,5,0.975,1.0,0.025
c10_s01_cov100_seed00000011_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,1000,1000,0,1.0,,0.0
c10_s01_cov100_seed00000014_xarm_nt3,tiered,fast_gate,10,1,3,0.0,200,89,111,0.445,0.963963963963964,0.535
c10_s01_cov100_seed00000014_xarm_nt3,tiered,fast_gate,10,1,3,0.1,600,358,242,0.5966666666666667,0.8471074380165289,0.3416666666666667
c10_s01_cov100_seed00000014_xarm_nt3,tiered,fast_gate,10,1,3,0.2,800,693,107,0.86625,0.6635514018691588,0.08875
c10_s01_cov100_seed00000014_xarm_nt3,tiered,fast_gate,10,1,3,0.25,400,370,30,0.925,0.5333333333333333,0.04
c10_s01_cov100_seed00000014_xarm_nt3,flip,fast_gate,10,1,3,0.4,200,83,117,0.415,0.6666666666666666,0.39
c10_s01_cov100_seed00000014_xarm_nt3,flip,fast_gate,10,1,3,0.9,200,163,37,0.815,0.0,0.0
c10_s01_cov100_seed00000014_xarm_nt3,flip,fast_gate,10,1,3,1.1,200,185,15,0.925,0.0,0.0
c10_s01_cov100_seed00000014_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,400,400,0,1.0,,0.0
c10_s01_cov100_seed00000015_xarm_nt3,tiered,fast_gate,10,1,3,0.0,400,128,272,0.32,0.9154411764705882,0.6225
c10_s01_cov100_seed00000015_xarm_nt3,tiered,fast_gate,10,1,3,0.05,400,208,192,0.52,0.8802083333333334,0.4225
c10_s01_cov100_seed00000015_xarm_nt3,tiered,fast_gate,10,1,3,0.15,600,446,154,0.7433333333333333,0.7207792207792207,0.185
c10_s01_cov100_seed00000015_xarm_nt3,tiered,fast_gate,10,1,3,0.25,400,336,64,0.84,0.609375,0.0975
c10_s01_cov100_seed00000015_xarm_nt3,tiered,fast_gate,10,1,3,0.35,200,182,18,0.91,0.3888888888888889,0.035
c10_s01_cov100_seed00000015_xarm_nt3,flip,fast_gate,10,1,3,0.35,200,31,169,0.155,0.8106508875739645,0.685
c10_s01_cov100_seed00000015_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,137,63,0.685,0.5873015873015873,0.185
c10_s01_cov100_seed00000015_xarm_nt3,flip,fast_gate,10,1,3,1.0,200,190,10,0.95,0.0,0.0
c10_s01_cov100_seed00000015_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,600,600,0,1.0,,0.0
c10_s01_cov100_seed00000019_xarm_nt3,tiered,fast_gate,10,1,3,0.05,800,462,338,0.5775,0.878698224852071,0.37125
c10_s01_cov100_seed00000019_xarm_nt3,tiered,fast_gate,10,1,3,0.0,200,74,126,0.37,0.9047619047619048,0.57
c10_s01_cov100_seed00000019_xarm_nt3,tiered,fast_gate,10,1,3,0.15,600,516,84,0.86,0.5357142857142857,0.075
c10_s01_cov100_seed00000019_xarm_nt3,tiered,fast_gate,10,1,3,0.25,200,177,23,0.885,0.6086956521739131,0.07
c10_s01_cov100_seed00000019_xarm_nt3,tiered,fast_gate,10,1,3,0.35,200,188,12,0.94,0.5833333333333334,0.035
c10_s01_cov100_seed00000019_xarm_nt3,flip,fast_gate,10,1,3,0.35,200,83,117,0.415,0.7521367521367521,0.44
c10_s01_cov100_seed00000019_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,143,57,0.715,0.45614035087719296,0.13
c10_s01_cov100_seed00000019_xarm_nt3,flip,fast_gate,10,1,3,0.8,200,183,17,0.915,0.4117647058823529,0.035
c10_s01_cov100_seed00000019_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,800,800,0,1.0,,0.0
c10_s01_cov100_seed00000020_xarm_nt3,tiered,fast_gate,10,1,3,0.05,400,110,290,0.275,0.9241379310344827,0.67
c10_s01_cov100_seed00000020_xarm_nt3,tiered,fast_gate,10,1,3,0.15,400,164,236,0.41,0.902542372881356,0.5325
c10_s01_cov100_seed00000020_xarm_nt3,tiered,fast_gate,10,1,3,0.25,400,244,156,0.61,0.7628205128205128,0.2975
c10_s01_cov100_seed00000020_xarm_nt3,tiered,fast_gate,10,1,3,0.3,200,122,78,0.61,0.6538461538461539,0.255
c10_s01_cov100_seed00000020_xarm_nt3,tiered,fast_gate,10,1,3,0.4,600,449,151,0.7483333333333333,0.5364238410596026,0.135
c10_s01_cov100_seed00000020_xarm_nt3,flip,fast_gate,10,1,3,0.3,200,59,141,0.295,0.851063829787234,0.6
c10_s01_cov100_seed00000020_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,118,82,0.59,0.7317073170731707,0.3
c10_s01_cov100_seed00000020_xarm_nt3,flip,fast_gate,10,1,3,0.75,200,144,56,0.72,0.4642857142857143,0.13
c10_s01_cov100_seed00000020_xarm_nt3,flip,fast_gate,10,1,3,1.0,200,190,10,0.95,0.1,0.005
c10_s01_cov100_seed00000020_xarm_nt3,flip,fast_gate,10,1,3,1.15,200,195,5,0.975,0.0,0.0
c10_s01_cov100_seed00000020_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,600,600,0,1.0,,0.0
c10_s01_cov100_seed00000021_xarm_nt3,tiered,fast_gate,10,1,3,0.1,600,252,348,0.42,0.9137931034482759,0.53
c10_s01_cov100_seed00000021_xarm_nt3,tiered,fast_gate,10,1,3,0.2,600,415,185,0.6916666666666667,0.8216216216216217,0.25333333333333335
c10_s01_cov100_seed00000021_xarm_nt3,tiered,fast_gate,10,1,3,0.3,400,327,73,0.8175,0.589041095890411,0.1075
c10_s01_cov100_seed00000021_xarm_nt3,tiered,fast_gate,10,1,3,0.4,400,350,50,0.875,0.4,0.05
c10_s01_cov100_seed00000021_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,99,101,0.495,0.693069306930693,0.35
c10_s01_cov100_seed00000021_xarm_nt3,flip,fast_gate,10,1,3,0.7,200,143,57,0.715,0.2982456140350877,0.085
c10_s01_cov100_seed00000021_xarm_nt3,flip,fast_gate,10,1,3,1.2,200,167,33,0.835,0.0,0.0
c10_s01_cov100_seed00000021_xarm_nt3,flip,fast_gate,10,1,3,1.3,200,188,12,0.94,0.0,0.0
c10_s01_cov100_seed00000021_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,400,400,0,1.0,,0.0
c10_s01_cov100_seed00000022_xarm_nt3,tiered,fast_gate,10,1,3,0.1,600,183,417,0.305,0.9304556354916067,0.6466666666666666
c10_s01_cov100_seed00000022_xarm_nt3,tiered,fast_gate,10,1,3,0.2,400,201,199,0.5025,0.8944723618090452,0.445
c10_s01_cov100_seed00000022_xarm_nt3,tiered,fast_gate,10,1,3,0.4,800,648,152,0.81,0.6381578947368421,0.12125
c10_s01_cov100_seed00000022_xarm_nt3,tiered,fast_gate,10,1,3,0.3,200,141,59,0.705,0.7627118644067796,0.225
c10_s01_cov100_seed00000022_xarm_nt3,flip,fast_gate,10,1,3,0.6,200,37,163,0.185,0.7484662576687117,0.61
c10_s01_cov100_seed00000022_xarm_nt3,flip,fast_gate,10,1,3,0.7,200,174,26,0.87,0.46153846153846156,0.06
c10_s01_cov100_seed00000022_xarm_nt3,flip,fast_gate,10,1,3,1.1,200,189,11,0.945,0.0,0.0
c10_s01_cov100_seed00000022_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,600,600,0,1.0,,0.0
c10_s01_cov100_seed00000023_xarm_nt3,tiered,fast_gate,10,1,3,0.0,400,99,301,0.2475,0.9534883720930233,0.7175
c10_s01_cov100_seed00000023_xarm_nt3,tiered,fast_gate,10,1,3,0.05,400,148,252,0.37,0.9047619047619048,0.57
c10_s01_cov100_seed00000023_xarm_nt3,tiered,fast_gate,10,1,3,0.15,400,206,194,0.515,0.8092783505154639,0.3925
c10_s01_cov100_seed00000023_xarm_nt3,tiered,fast_gate,10,1,3,0.2,600,405,195,0.675,0.7435897435897436,0.24166666666666667
c10_s01_cov100_seed00000023_xarm_nt3,tiered,fast_gate,10,1,3,0.3,200,164,36,0.82,0.8611111111111112,0.155
c10_s01_cov100_seed00000023_xarm_nt3,flip,fast_gate,10,1,3,0.3,200,24,176,0.12,0.875,0.77
