base_id,proposal_id,sem_k,status,avar,utility
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0001_k01,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0001_k01,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0010_k02,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0011_k02,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0012_k03,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0016_k03,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0019_k04,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0029_k05,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0030_k06,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0031_k06,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0032_k06,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0035_k06,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,5,ok,0.6190899386719987,1.6152741912509292
