discordance_type,discordance_score,instance_id,arm,component_size,separation,coverage,base_wrongness,n_tiers,r_val,r_status,r_assumes,shd_truth,shd_cpdag,n_k,undirected_fraction,AUC_frac,AUC_frac_rate,AUC_frac_usable,AUC_abs,baseline_pct,auc_pct,S_series_d_val,S_contra_as_fail_series_d_val
"high_high (looks far from truth, survives deep corruption)",1.918702290076336,c10_s05_cov100_seed00000059_bw025,flip,10,5,1.0,0.25,,3,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",6,12,12,0.8,1.0,,1.0,5.0,0.9267175572519084,0.9919847328244275,1:1.0000;2:1.0000;3:1.0000;4:1.0000;5:1.0000;6:nan;7:nan;8:nan;9:nan;10:nan;11:nan;12:nan,1:0.4450;2:0.2200;3:0.0400;4:0.0300;5:0.0100;6:0.0000;7:0.0000;8:0.0000;9:0.0000;10:0.0000;11:0.0000;12:0.0000
"high_high (looks far from truth, survives deep corruption)",1.918702290076336,c12_s06_cov100_seed00000094_bw025,flip,12,6,1.0,0.25,,3,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",6,12,12,0.8,1.0,,1.0,5.0,0.9267175572519084,0.9919847328244275,1:1.0000;2:1.0000;3:1.0000;4:1.0000;5:1.0000;6:nan;7:nan;8:nan;9:nan;10:nan;11:nan;12:nan,1:0.2600;2:0.0250;3:0.0100;4:0.0100;5:0.0050;6:0.0000;7:0.0000;8:0.0000;9:0.0000;10:0.0000;11:0.0000;12:0.0000
"high_high (looks far from truth, survives deep corruption)",1.918702290076336,c12_s06_cov100_seed00000127_bw025,flip,12,6,1.0,0.25,,5,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",6,12,12,0.8,1.0,,1.0,4.0,0.9267175572519084,0.9919847328244275,1:1.0000;2:1.0000;3:1.0000;4:1.0000;5:nan;6:nan;7:nan;8:nan;9:nan;10:nan;11:nan;12:nan,1:0.1650;2:0.0550;3:0.0300;4:0.0050;5:0.0000;6:0.0000;7:0.0000;8:0.0000;9:0.0000;10:0.0000;11:0.0000;12:0.0000
"high_high (looks far from truth, survives deep corruption)",1.9206106870229007,c12_s01_cov100_seed00000040_bw025,flip,12,1,1.0,0.25,,3,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",8,14,14,0.8235294117647058,0.925,,1.0,3.25,0.967175572519084,0.9534351145038168,1:1.0000;2:1.0000;3:0.2500;4:1.0000;5:nan;6:nan;7:nan;8:nan;9:nan;10:nan;11:nan;12:nan;13:nan;14:nan,1:0.2200;2:0.0100;3:0.0050;4:0.0050;5:0.0000;6:0.0000;7:0.0000;8:0.0000;9:0.0000;10:0.0000;11:0.0000;12:0.0000;13:0.0000;14:0.0000
"low_low (looks near truth, collapses fast)",0.09217557251908397,c06_s01_cov050_seed00000007_bw000,flip,6,1,0.5,0.0,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,5,2,0.625,0.0,,0.0,0.0,0.08416030534351145,0.00801526717557252,1:0.0000;2:0.0000,1:0.0000;2:0.0000
"low_low (looks near truth, collapses fast)",0.09217557251908397,c06_s01_cov050_seed00000007_bw010,flip,6,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,5,2,0.625,0.0,,0.0,0.0,0.08416030534351145,0.00801526717557252,1:0.0000;2:0.0000,1:0.0000;2:0.0000
"low_low (looks near truth, collapses fast)",0.09217557251908397,c06_s01_cov050_seed00000007_bw025,flip,6,1,0.5,0.25,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,5,2,0.625,0.0,,0.0,0.0,0.08416030534351145,0.00801526717557252,1:0.0000;2:0.0000,1:0.0000;2:0.0000
"low_low (looks near truth, collapses fast)",0.20534351145038168,c06_s01_cov050_seed00000013_bw000,flip,6,1,0.5,0.0,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",1,5,3,0.6666666666666666,0.0,,0.0,0.0,0.19732824427480916,0.00801526717557252,1:0.0000;2:0.0000;3:0.0000,1:0.0000;2:0.0000;3:0.0000
"low_low (looks near truth, collapses fast)",0.20534351145038168,c06_s01_cov050_seed00000013_bw010,flip,6,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",1,5,3,0.6666666666666666,0.0,,0.0,0.0,0.19732824427480916,0.00801526717557252,1:0.0000;2:0.0000;3:0.0000,1:0.0000;2:0.0000;3:0.0000
"low_low (looks near truth, collapses fast)",0.2211832061068702,c08_s01_cov050_seed00000007_bw000,flip,8,1,0.5,0.0,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,7,4,0.7,0.1281553398058252,,0.12815533980582522,0.4271844660194174,0.17614503816793892,0.0450381679389313,1:0.4272;2:0.0000;3:nan;4:nan,1:0.2200;2:0.0000;3:0.0000;4:0.0000
"low_low (looks near truth, collapses fast)",0.22194656488549616,c08_s01_cov050_seed00000013_bw010,flip,8,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,9,4,0.75,0.1290322580645161,,0.1290322580645161,0.4301075268817204,0.17614503816793892,0.04580152671755725,1:0.4301;2:0.0000;3:0.0000;4:0.0000,1:0.2000;2:0.0000;3:0.0000;4:0.0000
"low_low (looks near truth, collapses fast)",0.22251908396946563,c06_s01_cov050_seed00000016_bw010,flip,6,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,6,3,0.6666666666666666,0.2272727272727272,,0.22727272727272724,0.4545454545454545,0.11488549618320609,0.10763358778625955,1:0.4545;2:0.0000;3:nan,1:0.3000;2:0.0000;3:0.0000
"low_low (looks near truth, collapses fast)",0.22499999999999998,c08_s01_cov050_seed00000013_bw000,flip,8,1,0.5,0.0,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,9,4,0.75,0.1357894736842105,,0.13578947368421052,0.4526315789473684,0.17614503816793892,0.04885496183206107,1:0.4526;2:0.0000;3:0.0000;4:0.0000,1:0.2150;2:0.0000;3:0.0000;4:0.0000
"low_low (looks near truth, collapses fast)",0.23702290076335875,c06_s01_cov050_seed00000005_bw000,flip,6,1,0.5,0.0,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,6,3,0.6666666666666666,0.2440944881889764,,0.2440944881889764,0.4881889763779528,0.11488549618320609,0.12213740458015267,1:0.4882;2:0.0000;3:nan,1:0.3100;2:0.0000;3:0.0000
"low_low (looks near truth, collapses fast)",0.23874045801526717,c08_s01_cov050_seed00000007_bw010,flip,8,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,7,4,0.7,0.162,,0.162,0.54,0.17614503816793892,0.06259541984732825,1:0.5400;2:0.0000;3:nan;4:nan,1:0.2700;2:0.0000;3:0.0000;4:0.0000
"low_low (looks near truth, collapses fast)",0.24694656488549616,c06_s01_cov050_seed00000016_bw000,flip,6,1,0.5,0.0,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,6,3,0.6666666666666666,0.2572463768115942,,0.2572463768115942,0.5144927536231884,0.11488549618320609,0.13206106870229006,1:0.5145;2:0.0000;3:nan,1:0.3550;2:0.0000;3:0.0000
"low_low (looks near truth, collapses fast)",0.26221374045801527,c06_s01_cov050_seed00000005_bw010,flip,6,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,6,3,0.6666666666666666,0.2881944444444444,,0.2881944444444444,0.5763888888888888,0.11488549618320609,0.14732824427480917,1:0.5764;2:0.0000;3:nan,1:0.4150;2:0.0000;3:0.0000
"low_low (looks near truth, collapses fast)",0.26965648854961827,c06_s01_cov100_seed00000007_bw000,flip,6,1,1.0,0.0,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,5,5,0.625,0.0,,0.0,0.0,0.2616412213740458,0.00801526717557252,1:0.0000;2:0.0000;3:0.0000;4:nan;5:nan,1:0.0000;2:0.0000;3:0.0000;4:0.0000;5:0.0000
"low_low (looks near truth, collapses fast)",0.26965648854961827,c06_s01_cov100_seed00000007_bw010,flip,6,1,1.0,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0,5,5,0.625,0.0,,0.0,0.0,0.2616412213740458,0.00801526717557252,1:0.0000;2:0.0000;3:0.0000;4:nan;5:nan,1:0.0000;2:0.0000;3:0.0000;4:0.0000;5:0.0000
