arm,base_wrongness,component_size,coverage,n_tiers,predictor,endpoint,is_primary,is_sensitivity,is_secondary,stratum_n_instances,n,n_excluded_unreached,n_excluded_nan,predictor_constant,underpowered,status,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,r_assumes
flip,0.0,8,0.5,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.4727764828550462,1.9262678173883156e-05,-0.6067249733240764,-0.31260872684337115,0,
flip,0.0,8,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.4727764828550462,1.9262678173883156e-05,-0.5956402316727212,-0.33265737797690653,0,
flip,0.0,8,0.5,,shd_truth,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.20719694477146744,0.05768629957204102,-0.038147989688459095,0.4386196883331436,0,
flip,0.0,8,0.5,,shd_truth,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.21575880199342895,0.04809737387758715,-0.006212374290786855,0.42721197558767154,0,
flip,0.0,8,0.5,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.4781839781189651,1.9293525449755663e-05,-0.6426919111609319,-0.2791779675559762,0,
flip,0.0,8,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.49448570464574804,9.935100868105852e-06,-0.6324236946443539,-0.32637227771851524,0,
flip,0.0,8,1.0,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,-0.4299511697938599,3.6554469670679006e-05,-0.6117348231909294,-0.24148700275891982,0,
flip,0.0,8,1.0,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.46080809356148783,9.722505428581023e-06,-0.650409858969841,-0.2614943130960247,0,
flip,0.0,8,1.0,,n_k,AUC_frac_usable,False,True,False,60,58,0,2,False,False,ok,0.2496173224066989,0.019529080189371766,0.053169112573313665,0.43049589582024145,0,
flip,0.0,8,1.0,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.6864410780525171,6.70530425095863e-11,0.5225936692033869,0.8312381254875619,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,8,1.0,,r_val,AUC_frac_usable,False,True,False,60,58,0,2,False,False,ok,-0.1097453725663397,0.3100010648490723,-0.31814088159695275,0.11486902335104107,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,8,1.0,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.46080809356148783,9.722505428581023e-06,-0.650409858969841,-0.2614943130960247,0,
flip,0.0,8,1.0,,shd_cpdag,AUC_frac_usable,False,True,False,60,58,0,2,False,False,ok,0.2496173224066989,0.019529080189371766,0.053169112573313665,0.43049589582024145,0,
flip,0.0,8,1.0,,shd_truth,AUC_frac,True,False,False,60,60,0,0,True,False,undefined (predictor constant),,,,,0,
flip,0.0,8,1.0,,shd_truth,AUC_frac_usable,False,True,False,60,58,0,2,True,False,undefined (predictor constant),,,,,0,
flip,0.0,8,1.0,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.46080809356148783,9.722505428581023e-06,-0.650409858969841,-0.2614943130960247,0,
flip,0.0,8,1.0,,undirected_fraction,AUC_frac_usable,False,True,False,60,58,0,2,False,False,ok,0.2496173224066989,0.019529080189371766,0.053169112573313665,0.43049589582024145,0,
flip,0.0,10,0.5,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,-0.1583087001294171,0.15067175094793453,-0.36703569912979317,0.08095723793069472,0,
flip,0.0,10,0.5,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.18837611166594306,0.08386285631163397,-0.4023694015047561,0.06072705100145768,0,
flip,0.0,10,0.5,,n_k,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.20750323946748211,0.05590089891493455,-0.4387667036329192,0.05375296383459143,0,
flip,0.0,10,0.5,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.5370362696691225,8.479299202088183e-07,0.2809203853442693,0.7691005770891283,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,10,0.5,,r_val,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.6240970810774161,9.190517209684094e-09,0.39004374076334725,0.8287398757097124,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,10,0.5,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.2505549344968376,0.016036030067998523,-0.4456566265536497,-0.028723896783475835,0,
flip,0.0,10,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.20502767014202844,0.047890742863131955,-0.41546919845650665,0.033605528302714543,0,
flip,0.0,10,0.5,,shd_truth,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.12443515857761496,0.2349486692389956,-0.07114436996727373,0.31426493665158384,0,
flip,0.0,10,0.5,,shd_truth,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.04607312596010286,0.6588497216334019,-0.1566000629635025,0.25022834950935974,0,
flip,0.0,10,0.5,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.19249041863379127,0.06960724254356006,-0.40211615015993707,0.05134242202179458,0,
flip,0.0,10,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.21529822803471443,0.04159929920667717,-0.4342145684666144,0.04176961596617799,0,
flip,0.0,10,1.0,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,-0.598275083073345,3.22029666745862e-09,-0.709952355166238,-0.4703317654023168,0,
