stratum,coverage,base_wrongness,n_instances,n_tau_claims_defined,tau_claims,tau_claims_pvalue,n_tau_hops_defined,tau_hops,tau_hops_pvalue,sign_agree,verdict
cov0.5_bw0.0,0.5,0.0,210,210,0.8637830501047573,6.504722111132759e-50,210,0.62787483253565,1.8359549849531453e-26,True,P5_pass
cov0.5_bw0.1,0.5,0.1,210,210,0.8529110413930426,1.0151457754489809e-48,210,0.6247813035702997,3.2088131707250946e-26,True,P5_pass
cov0.5_bw0.25,0.5,0.25,210,210,0.6397993744580931,5.422246969482566e-26,210,0.6622941972696808,1.4567162882681905e-27,True,P5_pass
cov1.0_bw0.0,1.0,0.0,210,210,0.6876995646102084,9.965991898407638e-40,210,0.7031524917925718,3.884227016877687e-41,True,P5_pass
cov1.0_bw0.1,1.0,0.1,210,210,0.5787771219434911,2.070991294578208e-28,210,0.7192657355712891,1.3414697803874556e-42,True,P5_pass
cov1.0_bw0.25,1.0,0.25,206,206,0.3757656139046192,3.9113410287060765e-12,206,0.5311719786116276,2.895801978271139e-22,True,P5_pass
ALL_POOLED,,,1256,1256,0.6097505000165995,1.1482863899817087e-166,1256,0.609343644250978,4.398837207544949e-162,True,P5_pass
