d_claims,n,mean_d_hops,sd_d_hops
1,67373,2.8990248319059564,1.0127360922679078
2,58704,5.169307031888798,1.1365020819686344
3,21768,6.899990812201397,1.265718517809046
4,11400,8.368421052631579,0.9483425790694432
5,5773,10.0,0.0
6,2102,12.0,0.0
7,261,14.0,0.0
8,100,16.0,0.0
