base_id,component_size,separation,proposal_id,proposal_size,sem_k,z_agree,z_agree_defined,avar_agree,z_hpm,z_hpm_defined,z_hpm_gac_valid,avar_hpm
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0005_k01,1,4,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0005_k01,1,5,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0005_k01,1,6,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0005_k01,1,7,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,0,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,1,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,2,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,3,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,4,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,5,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,6,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0006_k02,2,7,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,0,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,1,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,2,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,3,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,4,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,5,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,6,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0007_k02,2,7,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,0,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,1,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,2,,0,,,0,0,
