n,edge_prob,seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum
8,0.3,0,V3,V1,1,6,6,5,0.05911241700050596,3.333299991936656e-05,0.00024812499941617716,False,False,0.059360541999922134,0.05914575000042532,0.00020599999970727367,False,False,0.0001425419995939592,False,False,0.0001446250007575145,False,False,True,416.44246726589193,,0.9855972262565601,,410.44454063270143,,287.11529167219186,1.4243733699449626,408.9593755618508
8,0.3,1,V0,V3,2,2,2,3,0.0002900419995057746,8.408300072915154e-05,9.070800024346681e-05,False,False,0.0003807499997492414,0.0003741250002349261,0.00038583300010941457,False,False,0.00014199999986885814,False,False,0.00014600000031350646,False,False,True,2.681338028879416,,0.9726027367393212,,2.607876705011337,,0.9696552656948257,2.642691775896669,2.5624999961066153
8,0.3,2,V3,V1,1,3,3,3,0.0011820420004369225,6.595899958483642e-05,0.0001206659999297699,False,False,0.0013027080003666924,0.001248001000021759,0.00018325000019103754,False,False,0.00011345800066919765,False,False,0.00010383399967395235,False,False,True,11.481852250903982,,1.0926864131735798,,12.546063952629265,,6.810373799294526,1.7648361882086623,12.019194136223096
8,0.3,3,V2,V0,1,2,2,2,0.000338832999659644,0.00012387499918986578,0.00018620799983182224,False,False,0.0005250409994914662,0.00046270799884950975,0.0003549169996404089,False,False,0.00022654099939245498,False,False,0.0001889160002974677,False,False,True,2.317642285058944,,1.1991625856769297,,2.7792299152254714,,1.3037076254964157,1.8787026989855573,2.4492790347081685
8,0.3,4,V0,V4,1,2,2,3,0.0002467499998601852,6.12499998169369e-05,0.00011666700083878823,False,False,0.0003634170006989734,0.0003079999996771221,0.00021020800068072276,False,False,0.00010870899950532475,False,False,0.00010391700016043615,False,False,True,3.343025898064425,,1.0461137190016099,,3.4971852549428726,,1.4652153994125658,2.0228451586957408,2.9639038771481547
8,0.3,5,V1,V0,1,3,3,4,0.0010924170001089806,9.783299992704997e-05,0.0001851659999374533,False,False,0.0012775830000464339,0.0011902500000360305,0.00023112500002753222,False,False,0.00012650000007852213,False,False,0.00014041599933989346,False,False,True,10.099470349829264,,0.9008944897533648,,9.098557187588671,,5.149810708033509,1.6460018880616798,8.476598148583411
8,0.3,6,V2,V0,2,3,3,4,0.00109079199955886,0.00015954199989209883,0.00028508299965324113,False,False,0.001375874999212101,0.0012503339994509588,0.0008749999997235136,False,False,0.0003983750002589659,False,False,0.008724500000425905,False,False,True,3.453718226087746,,0.045661642528456454,,0.15770244703363342,,1.428953142681194,0.10029228032331923,0.1433129691546703
8,0.3,7,V0,V1,2,1,1,2,9.48329998209374e-05,5.0207999265694525e-05,6.312499954219675e-05,False,False,0.00015795799936313415,0.00014504099908663193,0.00013179199959267862,False,False,7.545799962827004e-05,False,False,7.574999926873716e-05,False,False,True,2.0933234400764023,,0.9961452192305482,,2.0852541371353532,,1.1005296189063158,1.739828394256772,1.9147326796937927
8,0.5,0,V1,V7,2,6,6,5,0.06765812499997992,0.0003667920000225422,0.000622915999883844,False,False,0.06828104099986376,0.06802491700000246,0.00032416700014437083,False,False,0.00020854099966527428,False,False,0.0002015410000240081,False,False,True,327.4226224553471,,1.034732385174393,,338.79479109327605,,209.84528644096073,1.608441955263471,337.523962825922
8,0.5,1,V0,V4,1,7,7,5,0.44831437500033644,7.395800002996111e-05,0.00035983300040243194,False,False,0.44867420800073887,0.4483883330003664,0.00034308300018892623,False,False,0.00021775000004709,False,False,0.0002207079996878747,False,False,True,2060.5015288344885,,0.9865976781767408,,2032.886024227731,,1306.9383582207554,1.554465631848933,2031.5907607992337
8,0.5,2,V2,V0,2,1,1,2,0.00013962499997433042,7.758399988233577e-05,8.750000051804818e-05,False,False,0.0002271250004923786,0.0002172089998566662,0.00019416699979046825,False,False,9.833299918682314e-05,False,False,0.00010541700066823978,False,False,True,2.309753616493108,,0.9328001988625074,,2.154538632788167,,1.118671041377079,1.8418945574209191,2.060474102656834
8,0.5,3,V1,V0,2,6,6,5,0.08679595800003881,0.0004104999998162384,0.0006686670003546169,False,False,0.08746462500039343,0.08720645799985505,0.00042674999986047624,False,False,0.00036379199991642963,False,False,0.00025895800081343623,False,False,True,240.42481698466656,,1.4048301221576083,,337.7560250142897,,204.3502238508887,1.6479506272058537,336.75907956472867
8,0.5,4,V0,V4,1,2,2,3,0.00040541700036555994,0.00010270799975842237,0.000121749999379972,False,False,0.0005271669997455319,0.0005081250001239823,0.00029995899967616424,False,False,0.00014370799999596784,False,False,0.00015045799955260009,False,False,True,3.6683204815342445,,0.955136984562443,,3.503748563141267,,1.6939815130486304,1.9936394247439042,3.37718832920108
8,0.5,5,V2,V0,3,7,7,5,0.4511217500003113,7.912500041129533e-05,0.0004199169998173602,False,False,0.45154166700012865,0.4512008750007226,0.0003702080002767616,False,False,0.00020862499968643533,False,False,0.00021179199939069804,False,False,True,2164.3698870164103,,0.985046650896286,,2132.0053085062877,,1218.7766732847804,1.7479791556895856,2130.3962203424926
8,0.5,6,V0,V1,4,2,2,3,0.00045254100041347556,0.00016287500056932913,0.00014187500073603587,False,False,0.0005944160011495114,0.0006154160009828047,0.0005921250003666501,False,False,0.0002963329998237896,False,False,0.0002043329996013199,False,False,True,2.0059055235258065,,1.4502454346677902,,2.909055327868205,,1.0393346009740048,2.8978432339463644,3.0118287412388645
8,0.5,7,V1,V3,3,5,5,5,0.023554584000521572,0.002750042000116082,0.0013110420004522894,False,False,0.02486562600097386,0.026304626000637654,0.010238957999717968,False,False,0.001503415999650315,False,False,0.02318304199980048,False,False,True,16.539418236042085,,0.0648498156395202,,1.0725782233922478,,2.5690725561489964,0.4416572251305971,1.1346494563079357
8,0.7,0,V0,V1,3,2,2,2,0.0006661249999524443,4.212499970890349e-05,0.00010487500003364403,False,False,0.0007709999999860884,0.0007082499996613478,0.00022570900000573602,False,False,0.00011912500031030504,False,False,0.00011908400028914912,False,False,True,6.472193057525576,,1.0003442949603336,,6.4744214009775884,,3.137889936348789,1.8953763684264016,5.9474824320785205
8,0.7,1,V0,V2,1,2,2,3,0.00044741700003214646,3.470899991953047e-05,0.0001188749993161764,False,False,0.0005662919993483229,0.00048212599995167693,0.000202707999960694,False,False,0.00014037499931873754,False,False,0.00014149999969959026,False,False,True,4.034137147616236,,0.9920494672562463,,4.00206360813132,,2.3784261106871134,1.4325653737883433,3.4072508902844403
8,0.7,2,V2,V0,5,3,3,3,0.0022255000003497116,0.0008387919997403515,0.00034745800076052547,False,False,0.002572958001110237,0.003064292000090063,0.0017627920005907072,False,False,0.000512457999320759,False,False,0.027281083000161743,False,False,True,5.020817324581882,,0.018784371548509298,,0.09431289810213848,,1.7383173959623295,0.06461590988085979,0.11232296020183273
8,0.7,3,V1,V0,4,10,10,6,18.192817500000274,0.00023145800059864996,0.00115033299971401,False,False,18.193967832999988,18.193048958000873,0.0006584160000784323,False,False,0.0003856250004901085,False,False,0.0003942500006814953,False,False,True,47180.467578285745,,0.9781230179417179,,46148.30133557422,,27631.541389993057,1.670046921852386,46145.9706443947
8,0.7,4,V0,V3,3,4,4,4,0.006872040999951423,0.00010558300073171267,0.00030079199950705515,False,False,0.007172832999458478,0.006977624000683136,0.00027262499952485086,False,False,0.0001735420000841259,False,False,0.00018266699953528587,False,False,True,41.33197148806277,,0.9500457144729239,,39.26726238295111,,25.594219212633497,1.4924699054477422,38.1986019282879
8,0.7,5,V2,V0,2,8,8,5,1.5599856250000812,9.475000024394831e-05,0.0004998750000595464,False,False,1.5604855000001407,1.5600803750003251,0.0004097080000065034,False,False,0.0002792089999275049,False,False,0.00027558299916563556,False,False,True,5588.9512888385125,,1.0131575633215677,,5662.488269322562,,3807.7859719008698,1.4866954828380172,5661.018204038992
8,0.7,6,V0,V1,4,4,4,4,0.007180208999670867,0.0015005830000518472,0.0007269170000654412,False,False,0.007907125999736309,0.008680791999722715,0.005738332999499107,False,False,0.001081125000382599,False,False,0.037783291999403446,False,False,True,7.3137944242692186,,0.02861383810599851,,0.209275729596594,,1.5127724376540106,0.15187488161671325,0.22975213488172957
8,0.7,7,V1,V3,5,4,4,4,0.007660749999558902,0.002004750000196509,0.0008534579992556246,False,False,0.008514207998814527,0.009665499999755411,0.005166458000530838,False,False,0.0009410829998159898,False,False,0.03145216699977027,False,False,True,9.04724450497917,,0.029921086194883283,,0.27070338265966587,,1.8708174921314198,0.16426397585160266,0.3073079193502314
8,0.85,0,V0,V1,3,2,2,3,0.0005154999998921994,0.00019079199955740478,0.000270540999736113,False,False,0.0007860409996283124,0.0007062919994496042,0.0005122499997014529,False,False,0.00021666700013156515,False,False,0.00021091700000397395,False,False,True,3.6278759531955047,,1.0272619093173279,,3.726778778446035,,1.3788033184211652,2.4286804747450486,3.3486726979631642
8,0.85,1,V0,V1,1,13,13,6,,,,True,False,,,0.0006917500004419708,False,False,0.0005818750005346374,False,False,0.00043700000060198363,False,False,True,,206236.17295766046,1.331521738519641,,,274607.94756222144,,1.5829519439108917,
8,0.85,2,V2,V0,4,10,10,5,42.33752324999932,0.00032504099999641767,0.0017371250005453476,False,False,42.33926037499987,42.33784829099932,0.0007989999994606478,False,False,0.00037162499938858673,False,False,0.0004484589999265154,False,False,True,113930.0651050339,,0.8286710701524137,,94410.5489731226,,52988.5460820761,1.7816567391702969,94407.40022596672
8,0.85,3,V1,V0,3,13,13,6,,,,True,False,,,0.0008362499993381789,False,False,0.0005459169997266144,False,False,0.0005080829996586544,False,False,True,,219820.5481512677,1.074464211739771,,,236189.31199355618,,1.6458925016188242,
8,0.85,4,V0,V3,3,5,5,4,0.027189415999600897,0.00010424999982205918,0.0004021660006401362,False,False,0.027591582000241033,0.027293665999422956,0.00044929100022272905,False,False,0.00023595799939357676,False,False,0.00026049999996757833,False,False,True,116.93429369274492,,0.9057888653471936,,105.91778120412692,,60.74830340668419,1.7247255289007584,104.77414972291712
8,0.85,5,V2,V0,2,8,8,5,1.6656319580006311,0.00010066699996968964,0.0005439159995148657,False,False,1.666175874000146,1.6657326250006008,0.0005209170003581676,False,False,0.00028495800052041886,False,False,0.00029520800035243155,False,False,True,5847.09280299977,,0.9652787193444087,,5644.0742527675275,,3197.692960404999,1.7645761623542562,5642.572772458674
