stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,n_boot_valid,n_boot_nan,seed,loo_delta_min,loo_delta_max,loo_cluster_at_min,loo_cluster_at_max,loo_n_clusters_with_delta,loo_verdict_flips,scope_note
flip_cov025_bwa1,flip,radius,separation,AUC_frac_usable,ok,318,35,283,2,-0.12348642553125098,-0.10058358144442507,-0.022902844086825913,-0.022902844086825913,-0.016896758727984698,0.0,10000,7551,2449,0,-0.016896758727984698,-0.016896758727984698,win95pts,win95pts,1,False,
flip_cov025_bwa1,flip,radius,phi_1,AUC_frac_usable,insufficient_n,318,0,318,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov025_bwa1,flip,radius,r_claim,AUC_frac_usable,insufficient_n,318,0,318,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov050_bw000,flip,radius,shd_truth,AUC_frac_usable,ok,182,182,0,17,0.19074657597977682,0.4255242108263896,-0.23477763484661276,-0.9959863493239289,0.332258986500421,0.244,10000,10000,0,0,-0.3556371174863764,0.08244288677283673,insurance,child,17,True,
flip_cov050_bw000,flip,radius,n_k,AUC_frac_usable,ok,182,182,0,17,0.19074657597977682,0.17908665224018422,0.011659923739592598,-1.1668104668989692,0.9961557183806089,0.4482,10000,10000,0,0,-0.6701856995021547,0.40975236617247907,insurance,child,17,True,
flip_cov050_bw000,flip,radius,k_g0,AUC_frac_usable,ok,182,182,0,17,0.19074657597977682,0.2691653334394261,-0.0784187574596493,-0.5287749563361847,0.3216072995108344,0.3237,10000,10000,0,0,-0.15303052844273218,0.037367757769133786,barley,Polzer_2012,17,True,
flip_cov050_bw000,flip,radius,separation,AUC_frac_usable,ok,182,97,85,11,0.13962758606776207,0.19899868412027627,-0.0593710980525142,-0.5391603821080642,0.19447017813700365,0.3939697485725734,10000,9983,17,0,-0.14619900299923516,0.06547793906912117,child,Polzer_2012,11,True,
flip_cov050_bw000,flip,radius,phi_1,AUC_frac_usable,ok,182,182,0,17,0.19074657597977682,-0.2015724224722997,0.3923189984520765,0.11972206724284154,0.9040323642228905,0.9969,10000,10000,0,0,0.2840854412659083,0.5728271599499817,water,barley,17,False,
flip_cov050_bw000,flip,radius,r_claim,AUC_frac_usable,undefined (predictor or endpoint constant on matched sample),182,182,0,17,0.19074657597977682,,,,,,10000,0,0,0,,,,,0,,
flip_cov050_bw010,flip,radius,shd_truth,AUC_frac_usable,ok,546,546,0,17,0.13973192068019674,0.4317048874550582,-0.29197296677486145,-1.0034099425952345,0.24566103864909833,0.1586,10000,10000,0,0,-0.4331153267518979,0.0019114067100377552,insurance,child,17,True,
flip_cov050_bw010,flip,radius,n_k,AUC_frac_usable,ok,546,546,0,17,0.13973192068019674,0.1538256124873136,-0.014093691807116865,-1.1484140418003619,0.8901772653002749,0.4302,10000,10000,0,0,-0.6854625649994263,0.3660806799381583,insurance,child,17,True,
flip_cov050_bw010,flip,radius,k_g0,AUC_frac_usable,ok,546,546,0,17,0.13973192068019674,0.24149494143758563,-0.10176302075738888,-0.503904489998714,0.27110340492153895,0.2586,10000,10000,0,0,-0.1862877686808586,0.004783936126007582,ecoli70,Polzer_2012,17,True,
flip_cov050_bw010,flip,radius,separation,AUC_frac_usable,ok,546,291,255,11,0.10190977508770312,0.1978464197706752,-0.0959366446829721,-0.512583894136167,0.13942696126593698,0.2568366222578383,10000,9983,17,0,-0.19051136008337743,0.0005583401352053652,child,Polzer_2012,11,True,
flip_cov050_bw010,flip,radius,phi_1,AUC_frac_usable,insufficient_n,546,0,546,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov050_bw010,flip,radius,r_claim,AUC_frac_usable,insufficient_n,546,0,546,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov050_bw025,flip,radius,shd_truth,AUC_frac_usable,ok,546,515,31,17,0.11169010319610785,0.539591281918056,-0.4279011787219482,-1.1786416138051843,0.23388182966921744,0.0809,10000,10000,0,0,-0.7249901453555019,-0.1596833422123149,insurance,child,17,False,
flip_cov050_bw025,flip,radius,n_k,AUC_frac_usable,ok,546,515,31,17,0.11169010319610785,0.27725964358203203,-0.1655695403859242,-1.269170484725371,0.7675222316461416,0.3467,10000,10000,0,0,-0.9521029026942263,0.19282928556434265,insurance,child,17,True,
flip_cov050_bw025,flip,radius,k_g0,AUC_frac_usable,ok,546,515,31,17,0.11169010319610785,0.30857273382081857,-0.19688263062471073,-0.6034107138877794,0.11624457287656392,0.0987,10000,10000,0,0,-0.2812800357945965,-0.10539813061893274,insurance,Polzer_2012,17,False,
flip_cov050_bw025,flip,radius,separation,AUC_frac_usable,ok,546,264,282,11,0.12464462644910053,0.17415672996037201,-0.049512103511271485,-0.4787520336514816,0.19088037533123942,0.4261244114995492,10000,9983,17,0,-0.13476401146854372,0.05576585699872408,child,Polzer_2012,11,True,
flip_cov050_bw025,flip,radius,phi_1,AUC_frac_usable,insufficient_n,546,0,546,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov050_bw025,flip,radius,r_claim,AUC_frac_usable,insufficient_n,546,0,546,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov050_bwa1,flip,radius,shd_truth,AUC_frac_usable,ok,546,310,236,15,0.4444277481883542,-0.3019274689603861,0.7463552171487402,-0.024983908385796137,1.370045111371727,0.9703317630550266,10000,9977,23,0,0.3634498444230121,0.887280064772626,insurance,barley,15,False,
flip_cov050_bwa1,flip,radius,n_k,AUC_frac_usable,ok,546,310,236,15,0.4444277481883542,-0.041684836942965126,0.4861125851313193,-0.3670304299908234,1.1461629184438014,0.8087601483411847,10000,9977,23,0,0.025510329822749506,0.6343382783051834,insurance,water,15,False,
flip_cov050_bwa1,flip,radius,k_g0,AUC_frac_usable,ok,546,310,236,15,0.4444277481883542,0.31091573651644755,0.13351201167190663,-0.23324889830173956,0.40270240853618633,0.733386789616117,10000,9977,23,0,0.02649254137307655,0.20433711941525867,ecoli70,water,15,False,
flip_cov050_bwa1,flip,radius,separation,AUC_frac_usable,ok,546,112,434,9,0.5914043058891227,0.49824672200476083,0.0931575838843619,-0.16603511766589663,0.25985559480047027,0.8729759629890376,10000,9943,57,0,0.027712890018295827,0.13396189082963939,insurance,ecoli70,9,False,
flip_cov050_bwa1,flip,radius,phi_1,AUC_frac_usable,insufficient_n,546,0,546,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov050_bwa1,flip,radius,r_claim,AUC_frac_usable,insufficient_n,546,0,546,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov100_bw000,flip,radius,shd_truth,AUC_frac_usable,undefined (predictor or endpoint constant on matched sample),543,540,3,24,0.06377025915559671,,,,,,10000,0,0,0,,,,,0,,
flip_cov100_bw000,flip,radius,n_k,AUC_frac_usable,ok,543,540,3,24,0.06377025915559671,0.30320729637188243,-0.23943703721628573,-0.8905121046062083,0.22455795849831417,0.1763,10000,10000,0,0,-0.5499381217012653,-0.07464188698759902,insurance,paths,24,False,
flip_cov100_bw000,flip,radius,k_g0,AUC_frac_usable,ok,543,540,3,24,0.06377025915559671,0.1504437625916282,-0.08667350343603149,-0.614889478485662,0.2478496620108856,0.3472,10000,10000,0,0,-0.28643827417069223,0.037800360423798945,insurance,diabetes,24,True,
flip_cov100_bw000,flip,radius,separation,AUC_frac_usable,ok,543,306,237,20,0.11105829075392806,0.06359824030861916,0.047460050445308904,-0.2560315121985134,0.1898960961484472,0.6293,10000,10000,0,0,-0.08405427252372491,0.09973560752435215,insurance,barley,20,True,
