stratum,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips
flip_cov025_bw025,flip,shd_truth,AUC_frac,ok,318,8,318,0,0,-0.38636818549927426,4.866554516339871e-17,-0.7754029469531422,0.6534881168532116,6,-0.5651111542124828,0.1313942671841954,Kampen_2014,insurance,True
flip_cov025_bw025,flip,shd_truth,AUC_frac_usable,ok,318,8,318,0,0,-0.38636818549927426,4.866554516339871e-17,-0.7754029469531422,0.6534881168532116,6,-0.5651111542124828,0.1313942671841954,Kampen_2014,insurance,True
flip_cov025_bw025,flip,n_k,AUC_frac,ok,318,8,318,0,0,0.8019290158944388,1.3603712195792108e-57,0.3768108056066849,0.9869551967644302,228,0.5951173957301589,0.9253944353363627,insurance,barley,False
flip_cov025_bw025,flip,n_k,AUC_frac_usable,ok,318,8,318,0,0,0.8019290158944388,1.3603712195792108e-57,0.3768108056066849,0.9869551967644302,228,0.5951173957301589,0.9253944353363627,insurance,barley,False
flip_cov025_bw025,flip,k_g0,AUC_frac,ok,318,8,318,0,0,-0.5244321932304932,8.42706123373727e-30,-0.8689369868185983,0.19368407439176633,9,-0.6784668806902409,-0.12564995151967084,barley,insurance,False
flip_cov025_bw025,flip,k_g0,AUC_frac_usable,ok,318,8,318,0,0,-0.5244321932304932,8.42706123373727e-30,-0.8689369868185983,0.19368407439176633,9,-0.6784668806902409,-0.12564995151967084,barley,insurance,False
flip_cov025_bw025,flip,separation,AUC_frac,ok,174,5,318,0,144,-0.49088278273442937,1.9653143168006195e-11,-0.8304762402675779,0.26233738459333883,897,-0.7350179806608642,-0.16824733766779607,Polzer_2012,insurance,False
flip_cov025_bw025,flip,separation,AUC_frac_usable,ok,174,5,318,0,144,-0.49088278273442937,1.9653143168006195e-11,-0.8304762402675779,0.26233738459333883,897,-0.7350179806608642,-0.16824733766779607,Polzer_2012,insurance,False
flip_cov025_bw025,flip,phi_1,AUC_frac,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov025_bw025,flip,phi_1,AUC_frac_usable,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov025_bw025,flip,r_claim,AUC_frac,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov025_bw025,flip,r_claim,AUC_frac_usable,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov025_bwa1,flip,radius,AUC_frac,ok,112,5,318,0,206,0.0785662691340324,0.3399667586985471,-0.21268662885626083,0.7212705552515175,120,-0.00367533200596876,0.19006084031402246,munin1,magic-niab,True
flip_cov025_bwa1,flip,radius,AUC_frac_usable,ok,112,5,318,0,206,0.0785662691340324,0.3399667586985471,-0.21268662885626083,0.7212705552515175,120,-0.00367533200596876,0.19006084031402246,munin1,magic-niab,True
flip_cov025_bwa1,flip,shd_truth,AUC_frac,ok,112,5,318,0,206,-0.2643648649393593,0.0008405337594811145,-0.37679388228059424,0.28781992259103234,14,-0.3279448902494572,0.10150575027565535,Sebastiani_2005,magic-niab,True
flip_cov025_bwa1,flip,shd_truth,AUC_frac_usable,ok,112,5,318,0,206,-0.2643648649393593,0.0008405337594811145,-0.37679388228059424,0.28781992259103234,14,-0.3279448902494572,0.10150575027565535,Sebastiani_2005,magic-niab,True
flip_cov025_bwa1,flip,n_k,AUC_frac,undefined (predictor constant),112,5,318,0,206,,,,,,,,,,
flip_cov025_bwa1,flip,n_k,AUC_frac_usable,undefined (predictor constant),112,5,318,0,206,,,,,,,,,,
flip_cov025_bwa1,flip,k_g0,AUC_frac,ok,112,5,318,0,206,0.005482311759109498,0.946710379401781,-0.0836836655671774,0.05628814759700058,777,-0.014666989706145557,0.018381400570255876,barley,magic-niab,True
flip_cov025_bwa1,flip,k_g0,AUC_frac_usable,ok,112,5,318,0,206,0.005482311759109498,0.946710379401781,-0.0836836655671774,0.05628814759700058,777,-0.014666989706145557,0.018381400570255876,barley,magic-niab,True
flip_cov025_bwa1,flip,separation,AUC_frac,ok,35,2,318,0,283,-0.10058358144442507,0.518583233585023,-0.10058358144442507,-0.07207690737510847,2449,-0.07207690737510847,-0.07207690737510847,win95pts,win95pts,False
