row_id,network,x,y,coverage,n_k,phi_1,n_broken_single,n_inconsistent_single,r_claim,r_claim_status,r_claim_censored,r_claim_depth_cap_used
7968993127ae8685,Kampen_2014,PER,DET,1.0,3,0.3333333333333333,1,0,1,resolved,False,1
9b6d986285cd2377,Polzer_2012,Sport,Diabetes,0.25,1,1.0,1,0,1,resolved,False,1
670cc3a8811f112d,Polzer_2012,Sport,Hypertension,0.25,1,1.0,1,0,1,resolved,False,1
15c3e945d224bf3b,Polzer_2012,Sport,Lipids,0.25,1,1.0,1,0,1,resolved,False,1
48ad9dd90754443a,Polzer_2012,Sport,Mortality,0.25,1,1.0,1,0,1,resolved,False,1
814120da2c3b02ea,Polzer_2012,Sport,Obesity,0.25,1,1.0,1,0,1,resolved,False,1
c4c4bd8e14a70013,Polzer_2012,Sport,Periodontitis,0.25,1,1.0,1,0,1,resolved,False,1
560b0163683b6cd2,Polzer_2012,Sport,ToothLoss,0.25,1,1.0,1,0,1,resolved,False,1
4f79d61a2208c4aa,Polzer_2012,Diabetes,Lipids,0.5,2,0.5,1,0,1,resolved,False,1
d929172a1029de25,Polzer_2012,Diabetes,Periodontitis,0.5,2,0.5,1,0,1,resolved,False,1
4b9c4979bc495870,Polzer_2012,Diabetes,ToothLoss,0.5,2,0.5,1,0,1,resolved,False,1
48d9a104ce8c2d57,Polzer_2012,Sport,Diabetes,0.5,2,0.5,1,0,1,resolved,False,1
6e0f023a4cf023a2,Polzer_2012,Sport,Hypertension,0.5,2,0.5,1,0,1,resolved,False,1
1528fd3c77631bda,Polzer_2012,Sport,Lipids,0.5,2,0.5,1,0,1,resolved,False,1
2d526d399722db28,Polzer_2012,Sport,Mortality,0.5,2,0.5,1,0,1,resolved,False,1
c7c295f46d66dc8c,Polzer_2012,Sport,Obesity,0.5,2,0.5,1,0,1,resolved,False,1
4efc9d96bceb247f,Polzer_2012,Sport,Periodontitis,0.5,2,0.5,1,0,1,resolved,False,1
7f3961d5a391178b,Polzer_2012,Sport,ToothLoss,0.5,2,0.5,1,0,1,resolved,False,1
abad5db5315c1011,Polzer_2012,Alcohol,Diabetes,1.0,5,0.4,2,0,1,resolved,False,1
9bc97d96d87f206d,Polzer_2012,Alcohol,Hypertension,1.0,5,0.4,2,0,1,resolved,False,1
36f01cb9c1a7988c,Polzer_2012,Alcohol,Lipids,1.0,5,0.4,2,0,1,resolved,False,1
c82f1a3fc6c0e430,Polzer_2012,Alcohol,Mortality,1.0,5,0.4,2,0,1,resolved,False,1
70178f7aea4dd934,Polzer_2012,Alcohol,Obesity,1.0,5,0.4,2,0,1,resolved,False,1
1bf964c4b53ce1ce,Polzer_2012,Alcohol,Periodontitis,1.0,5,0.4,2,0,1,resolved,False,1
9908a3bf3019f2d6,Polzer_2012,Alcohol,Smoking,1.0,5,0.4,2,0,1,resolved,False,1
8bb7840a58f00d97,Polzer_2012,Alcohol,Sport,1.0,5,0.4,2,0,1,resolved,False,1
ca4a049ad6453d81,Polzer_2012,Alcohol,ToothLoss,1.0,5,0.4,2,0,1,resolved,False,1
ab8ffbfce2ed5e53,Polzer_2012,Caries,Mortality,1.0,5,0.2,1,0,1,resolved,False,1
3666a9ce2aeede86,Polzer_2012,Caries,ToothLoss,1.0,5,0.2,1,0,1,resolved,False,1
94ed67b09a8f24a2,Polzer_2012,Diabetes,Hypertension,1.0,5,0.4,2,0,1,resolved,False,1
559038c75347e626,Polzer_2012,Diabetes,Lipids,1.0,5,0.2,1,0,1,resolved,False,1
2ff86ae739a5b62a,Polzer_2012,Diabetes,Mortality,1.0,5,0.4,2,0,1,resolved,False,1
73e294d70570e92e,Polzer_2012,Diabetes,Periodontitis,1.0,5,0.2,1,0,1,resolved,False,1
