instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c06_s01_cov100_seed00000048_tiered_nt2,c06_s01_cov100_seed00000048,tiered,fast_gate,6,1,measured,,,2,48,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C05 W->Y X->C03 X->Y C00-C02 C00-C04 C00-X,0.00046208299999861424,0.0,0.00046208299999861424,,1,3,2,0,0.7921725060634822,1.8124348997674136,6,2
c06_s01_cov100_seed00000062_tiered_nt2,c06_s01_cov100_seed00000062,tiered,fast_gate,6,1,measured,,,2,62,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C03 X->C05 X->Y C00-C02 C00-C04 C00-X,0.00024379099999904952,0.0,0.00024379099999904952,,1,3,2,0,0.8339080170475519,1.8449743074763987,6,1
c06_s01_cov100_seed00000065_tiered_nt2,c06_s01_cov100_seed00000065,tiered,fast_gate,6,1,measured,,,2,65,X,Y,2,2,3,3,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C05 X->Y C00-C02 C00-C03 C00-X,0.0004581670000014526,0.0,0.0004581670000014526,,1,3,3,0,0.575531662551253,1.7867840416917,5,1
c06_s01_cov100_seed00000071_tiered_nt2,c06_s01_cov100_seed00000071,tiered,fast_gate,6,1,measured,,,2,71,X,Y,1,3,3,3,0.6666666666666666,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->C04 X->Y C00-C03 C00-C05 C00-X C02-C04,0.00028537499999714555,0.0,0.00028537499999714555,,1,3,2,0,0.9417286495759456,2.0577244001290893,6,1
c06_s01_cov100_seed00000089_tiered_nt2,c06_s01_cov100_seed00000089,tiered,fast_gate,6,1,measured,,,2,89,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->C03 X->Y C00-C04 C00-C05 C00-X,0.00044454100000024255,0.0,0.00044454100000024255,,1,3,2,0,0.8352425129763571,1.8816592683769566,6,1
c06_s01_cov100_seed00000094_tiered_nt2,c06_s01_cov100_seed00000094,tiered,fast_gate,6,1,measured,,,2,94,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C03->C05 W->Y X->C04 X->Y C00-C02 C00-C03 C00-X,0.00028445800000298505,0.0,0.00028445800000298505,,1,4,3,0,0.5520206872616885,2.3447695572862104,6,1
c06_s01_cov100_seed00000102_tiered_nt2,c06_s01_cov100_seed00000102,tiered,fast_gate,6,1,measured,,,2,102,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C04 X->C05 X->Y C00-C02 C00-C03 C00-X,0.0013537499999998204,0.0,0.0013537499999998204,,1,3,2,0,0.8219294333955605,1.821636644568899,6,1
c06_s01_cov100_seed00000104_tiered_nt2,c06_s01_cov100_seed00000104,tiered,fast_gate,6,1,measured,,,2,104,X,Y,1,3,3,3,0.6666666666666666,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->C03 X->Y C00-C04 C00-C05 C00-X C02-C03,0.00021850000000256387,0.0,0.00021850000000256387,,1,3,2,0,0.9485932597400332,2.0811527642058048,6,1
c06_s01_cov100_seed00000112_tiered_nt2,c06_s01_cov100_seed00000112,tiered,fast_gate,6,1,measured,,,2,112,X,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->Y C03->C04 W->Y X->Y C00-C02 C00-C03 C00-X,0.0002843329999961952,0.0,0.0002843329999961952,,1,4,3,0,0.7722808024835618,3.077365966280304,6,2
c06_s01_cov100_seed00000116_tiered_nt2,c06_s01_cov100_seed00000116,tiered,fast_gate,6,1,measured,,,2,116,X,Y,2,2,3,3,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 C04->C05 W->Y X->Y C00-C02 C00-C03 C00-X,0.000228500000005738,0.0,0.000228500000005738,,1,3,3,0,0.7684448135410307,2.3229245891558516,5,2
c06_s01_cov100_seed00000126_tiered_nt2,c06_s01_cov100_seed00000126,tiered,fast_gate,6,1,measured,,,2,126,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C04 C00->Y C02->C03 C03->C04 W->Y X->Y C00-C02 C00-C05 C00-X,0.0007205830000032165,0.0,0.0007205830000032165,,1,5,3,0,0.7545649305769399,3.8145973266418496,6,1
c06_s01_cov100_seed00000131_tiered_nt2,c06_s01_cov100_seed00000131,tiered,fast_gate,6,1,measured,,,2,131,X,Y,1,3,3,3,0.6666666666666666,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C03 X->C04 X->Y C00-C02 C00-C05 C00-X C03-C04,0.00026799999999838064,0.0,0.00026799999999838064,,1,3,2,0,0.949936923784087,2.075906905419414,6,1
c06_s01_cov100_seed00000141_tiered_nt2,c06_s01_cov100_seed00000141,tiered,fast_gate,6,1,measured,,,2,141,X,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C03 C02->C04 W->Y X->Y C00-C02 C00-C05 C00-X,0.0002132079999981329,0.0,0.0002132079999981329,,1,4,4,0,0.7261982929162734,2.9570508599084846,5,1
