instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c06_s01_cov100_seed00000040_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2772,0,0.9372294372294372,0.9372294372294372
c06_s01_cov100_seed00000040_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2176,722,0.6360294117647058,0.4775707384403037
c06_s01_cov100_seed00000040_tiered_nt2,tiered,fast_gate,6,1,,,2,2,875,2014,0.25142857142857145,0.0761509172724126
c06_s01_cov100_seed00000040_tiered_nt2,tiered,fast_gate,6,1,,,2,3,120,1527,0.0,0.0
c06_s01_cov100_seed00000040_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,688,,0.0
c06_s01_cov100_seed00000040_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,106,,0.0
c06_s01_cov100_seed00000047_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4906,0,0.773338768854464,0.773338768854464
c06_s01_cov100_seed00000047_tiered_nt2,tiered,fast_gate,6,1,,,2,1,3028,0,0.7483487450462352,0.7483487450462352
c06_s01_cov100_seed00000047_tiered_nt2,tiered,fast_gate,6,1,,,2,2,426,1700,0.7089201877934272,0.14205079962370648
c06_s01_cov100_seed00000047_tiered_nt2,tiered,fast_gate,6,1,,,2,3,0,811,,0.0
c06_s01_cov100_seed00000047_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,129,,0.0
c06_s01_cov100_seed00000048_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2784,0,0.9306752873563219,0.9306752873563219
c06_s01_cov100_seed00000048_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2180,689,0.6536697247706422,0.4966887417218543
c06_s01_cov100_seed00000048_tiered_nt2,tiered,fast_gate,6,1,,,2,2,890,2087,0.22808988764044943,0.06818945246892845
c06_s01_cov100_seed00000048_tiered_nt2,tiered,fast_gate,6,1,,,2,3,97,1474,0.0,0.0
c06_s01_cov100_seed00000048_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,683,,0.0
c06_s01_cov100_seed00000048_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,116,,0.0
c06_s01_cov100_seed00000062_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2772,0,0.9357864357864358,0.9357864357864358
c06_s01_cov100_seed00000062_tiered_nt2,tiered,fast_gate,6,1,,,2,1,1892,1040,0.7320295983086681,0.4723738062755798
c06_s01_cov100_seed00000062_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1112,1873,0.17715827338129497,0.0659966499162479
c06_s01_cov100_seed00000062_tiered_nt2,tiered,fast_gate,6,1,,,2,3,496,992,0.0,0.0
c06_s01_cov100_seed00000062_tiered_nt2,tiered,fast_gate,6,1,,,2,4,92,523,0.0,0.0
c06_s01_cov100_seed00000062_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,208,,0.0
c06_s01_cov100_seed00000065_tiered_nt2,tiered,fast_gate,6,1,,,2,0,3490,0,0.8871060171919771,0.8871060171919771
c06_s01_cov100_seed00000065_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2666,717,0.6410352588147037,0.5051729234407331
c06_s01_cov100_seed00000065_tiered_nt2,tiered,fast_gate,6,1,,,2,2,781,1797,0.2586427656850192,0.07835531419705198
c06_s01_cov100_seed00000065_tiered_nt2,tiered,fast_gate,6,1,,,2,3,106,1088,0.0,0.0
c06_s01_cov100_seed00000065_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,355,,0.0
c06_s01_cov100_seed00000071_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2829,0,0.9254153411099328,0.9254153411099328
c06_s01_cov100_seed00000071_tiered_nt2,tiered,fast_gate,6,1,,,2,1,1430,0,0.958041958041958,0.958041958041958
c06_s01_cov100_seed00000071_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1228,1715,0.1742671009771987,0.072714916751614
c06_s01_cov100_seed00000071_tiered_nt2,tiered,fast_gate,6,1,,,2,3,830,1466,0.0,0.0
c06_s01_cov100_seed00000071_tiered_nt2,tiered,fast_gate,6,1,,,2,4,121,977,0.0,0.0
c06_s01_cov100_seed00000071_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,404,,0.0
c06_s01_cov100_seed00000089_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2798,0,0.9395997140814868,0.9395997140814868
c06_s01_cov100_seed00000089_tiered_nt2,tiered,fast_gate,6,1,,,2,1,1988,992,0.7308853118712274,0.48758389261744967
c06_s01_cov100_seed00000089_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1056,1903,0.21117424242424243,0.07536329841162555
c06_s01_cov100_seed00000089_tiered_nt2,tiered,fast_gate,6,1,,,2,3,500,998,0.0,0.0
c06_s01_cov100_seed00000089_tiered_nt2,tiered,fast_gate,6,1,,,2,4,107,464,0.0,0.0
c06_s01_cov100_seed00000089_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,194,,0.0
c06_s01_cov100_seed00000094_tiered_nt2,tiered,fast_gate,6,1,,,2,0,3541,0,0.8828014685117198,0.8828014685117198
c06_s01_cov100_seed00000094_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2629,708,0.6234309623430963,0.49115972430326643
c06_s01_cov100_seed00000094_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1123,1190,0.4666073018699911,0.22654561175961954
c06_s01_cov100_seed00000094_tiered_nt2,tiered,fast_gate,6,1,,,2,3,285,957,0.3719298245614035,0.0853462157809984
c06_s01_cov100_seed00000094_tiered_nt2,tiered,fast_gate,6,1,,,2,4,36,406,0.0,0.0
c06_s01_cov100_seed00000094_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,125,,0.0
c06_s01_cov100_seed00000102_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2776,0,0.9384005763688761,0.9384005763688761
c06_s01_cov100_seed00000102_tiered_nt2,tiered,fast_gate,6,1,,,2,1,1942,965,0.7054582904222451,0.4712762297901617
c06_s01_cov100_seed00000102_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1125,1954,0.17777777777777778,0.06495615459564794
c06_s01_cov100_seed00000102_tiered_nt2,tiered,fast_gate,6,1,,,2,3,495,959,0.0,0.0
c06_s01_cov100_seed00000102_tiered_nt2,tiered,fast_gate,6,1,,,2,4,111,472,0.0,0.0
c06_s01_cov100_seed00000102_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,201,,0.0
c06_s01_cov100_seed00000104_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2776,0,0.9355187319884726,0.9355187319884726
c06_s01_cov100_seed00000104_tiered_nt2,tiered,fast_gate,6,1,,,2,1,1487,0,0.9616677874915938,0.9616677874915938
c06_s01_cov100_seed00000104_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1185,1709,0.1839662447257384,0.07532826537664132
c06_s01_cov100_seed00000104_tiered_nt2,tiered,fast_gate,6,1,,,2,3,824,1480,0.0,0.0
c06_s01_cov100_seed00000104_tiered_nt2,tiered,fast_gate,6,1,,,2,4,133,1046,0.0,0.0
c06_s01_cov100_seed00000104_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,360,,0.0
c06_s01_cov100_seed00000112_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4929,0,0.7810914992899168,0.7810914992899168
c06_s01_cov100_seed00000112_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2938,0,0.7471068754254595,0.7471068754254595
c06_s01_cov100_seed00000112_tiered_nt2,tiered,fast_gate,6,1,,,2,2,901,852,0.7491675915649278,0.3850541928123217
c06_s01_cov100_seed00000112_tiered_nt2,tiered,fast_gate,6,1,,,2,3,165,856,0.8,0.12928501469147893
c06_s01_cov100_seed00000112_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,330,,0.0
c06_s01_cov100_seed00000112_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,29,,0.0
c06_s01_cov100_seed00000116_tiered_nt2,tiered,fast_gate,6,1,,,2,0,3552,0,0.798704954954955,0.798704954954955
c06_s01_cov100_seed00000116_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2747,688,0.7571896614488532,0.6055312954876274
c06_s01_cov100_seed00000116_tiered_nt2,tiered,fast_gate,6,1,,,2,2,734,1658,0.7670299727520435,0.23536789297658864
c06_s01_cov100_seed00000116_tiered_nt2,tiered,fast_gate,6,1,,,2,3,0,1271,,0.0
c06_s01_cov100_seed00000116_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,350,,0.0
c06_s01_cov100_seed00000126_tiered_nt2,tiered,fast_gate,6,1,,,2,0,3553,0,0.8046721080776809,0.8046721080776809
c06_s01_cov100_seed00000126_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2694,703,0.7483296213808464,0.5934648219016779
c06_s01_cov100_seed00000126_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1065,935,0.7211267605633803,0.384
c06_s01_cov100_seed00000126_tiered_nt2,tiered,fast_gate,6,1,,,2,3,549,424,0.7795992714025501,0.4398766700924974
c06_s01_cov100_seed00000126_tiered_nt2,tiered,fast_gate,6,1,,,2,4,138,702,0.7608695652173914,0.125
c06_s01_cov100_seed00000126_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,237,,0.0
c06_s01_cov100_seed00000131_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2798,0,0.9324517512508935,0.9324517512508935
c06_s01_cov100_seed00000131_tiered_nt2,tiered,fast_gate,6,1,,,2,1,1412,0,0.9674220963172805,0.9674220963172805
c06_s01_cov100_seed00000131_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1210,1719,0.17603305785123968,0.07272106520996928
c06_s01_cov100_seed00000131_tiered_nt2,tiered,fast_gate,6,1,,,2,3,829,1458,0.0,0.0
c06_s01_cov100_seed00000131_tiered_nt2,tiered,fast_gate,6,1,,,2,4,153,1004,0.0,0.0
c06_s01_cov100_seed00000131_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,417,,0.0
c06_s01_cov100_seed00000141_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4997,0,0.7664598759255553,0.7664598759255553
c06_s01_cov100_seed00000141_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2583,0,0.7584204413472706,0.7584204413472706
c06_s01_cov100_seed00000141_tiered_nt2,tiered,fast_gate,6,1,,,2,2,740,1367,0.75,0.2634076886568581
c06_s01_cov100_seed00000141_tiered_nt2,tiered,fast_gate,6,1,,,2,3,129,967,0.6821705426356589,0.08029197080291971
c06_s01_cov100_seed00000141_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,217,,0.0
c06_s01_cov100_seed00000148_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2786,0,0.9300071787508973,0.9300071787508973
c06_s01_cov100_seed00000148_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2166,737,0.6375807940904894,0.47571477781605237
c06_s01_cov100_seed00000148_tiered_nt2,tiered,fast_gate,6,1,,,2,2,878,2059,0.2437357630979499,0.0728634661218931
c06_s01_cov100_seed00000148_tiered_nt2,tiered,fast_gate,6,1,,,2,3,121,1495,0.0,0.0
c06_s01_cov100_seed00000148_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,678,,0.0
c06_s01_cov100_seed00000148_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,80,,0.0
c06_s01_cov100_seed00000155_tiered_nt2,tiered,fast_gate,6,1,,,2,0,3532,0,0.8808040770101925,0.8808040770101925
c06_s01_cov100_seed00000155_tiered_nt2,tiered,fast_gate,6,1,,,2,1,3315,0,0.7363499245852188,0.7363499245852188
c06_s01_cov100_seed00000155_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1356,1058,0.5589970501474927,0.3140016570008285
c06_s01_cov100_seed00000155_tiered_nt2,tiered,fast_gate,6,1,,,2,3,182,757,0.45604395604395603,0.08839190628328009
c06_s01_cov100_seed00000155_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,800,,0.0
c06_s01_cov100_seed00000157_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4897,0,0.7729221972636308,0.7729221972636308
c06_s01_cov100_seed00000157_tiered_nt2,tiered,fast_gate,6,1,,,2,1,3321,0,0.7362240289069557,0.7362240289069557
c06_s01_cov100_seed00000157_tiered_nt2,tiered,fast_gate,6,1,,,2,2,582,1071,0.7474226804123711,0.2631578947368421
c06_s01_cov100_seed00000157_tiered_nt2,tiered,fast_gate,6,1,,,2,3,0,804,,0.0
c06_s01_cov100_seed00000157_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,298,,0.0
c06_s01_cov100_seed00000157_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,27,,0.0
c06_s01_cov100_seed00000158_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4938,0,0.7812879708383961,0.7812879708383961
