cpdag,n_nodes,k_undirected,space_size,upset_size,n_retractable,build_seconds,bfs_query_seconds,fast_seconds,bfs_single_query_seconds,speedup_single_query,speedup_amortised,crossover_queries,fast_elements_visited,fast_closures,fast_validity_checks,fast_peak_kib,r_bfs,r_fast,agree
V1->V2 V3->V2 V5->V2 V0-V3 V1-V5 V1-V6 V5-V6,7,4,57,2,1,0.007915666999963378,0.0001537499999813008,0.001012916000036057,0.008069416999944679,7.966521409137015,0.15178948696222364,9.213198612909377,1,1,2,10.5576171875,1,1,True
V0-V2 V0-V4 V1-V2 V1-V4 V2-V4 V2-V6 V4-V5,7,7,142,11,4,0.3165435419999767,9.904199998800323e-05,0.0014105419999737023,0.3166425839999647,224.48291791798334,0.07021556252125051,241.35992527901513,1,4,2,14.21875,1,1,True
V0-V2 V0-V4 V1-V2 V1-V4 V2-V4 V2-V6 V4-V5,7,7,142,11,4,0.3165435419999767,7.141699995827366e-05,0.0014175839999666096,0.31661495899993497,223.34828765518844,0.0503793778428339,235.1443335024678,1,4,2,13.77734375,1,1,True
V0->V6 V1->V6 V2->V6 V5->V6 V0-V2 V0-V3 V0-V5 V1-V2,7,4,17,2,1,0.00513104200001635,9.92079999946327e-05,0.0007400409999718249,0.005230250000010983,7.067513827220534,0.1340574373560516,8.006831733382906,1,1,2,9.8916015625,1,1,True
V0->V6 V1->V6 V2->V6 V5->V6 V0-V2 V0-V3 V0-V5 V1-V2,7,4,17,2,1,0.00513104200001635,9.629100003394342e-05,0.000805333000016617,0.005227333000050294,6.490896312385603,0.11956668860205229,7.236584010738058,1,1,2,9.8916015625,1,1,True
V1->V5 V2->V5 V0-V6 V1-V4 V2-V3,7,3,27,1,0,0.0017057090000207609,0.00048304199998483455,0.00022033300001567113,0.0021887510000055954,9.933831971833184,2.192327068348719,inf,1,0,1,3.890625,-1,-1,True
V1->V5 V2->V5 V0-V6 V1-V4 V2-V3,7,3,27,1,0,0.0017057090000207609,0.0004601249999609536,0.0002078750000009677,0.0021658339999817144,10.418924834499734,2.2134696329948844,inf,1,0,1,3.890625,-1,-1,True
V0->V6 V4->V6 V0-V2 V1-V2 V1-V5 V2-V3,7,4,17,1,0,0.004808874999980617,0.00037058399999523317,0.00016629099997089725,0.00517945899997585,31.146959251446635,2.2285271004449396,inf,1,0,1,4.671875,-1,-1,True
V0->V6 V4->V6 V0-V2 V1-V2 V1-V5 V2-V3,7,4,17,1,0,0.004808874999980617,0.00034283299999060546,0.00015495900004225405,0.005151707999971222,33.2456197998597,2.212411024187831,inf,1,0,1,4.921875,-1,-1,True
V0->V2 V0->V3 V0->V5 V1->V2 V2->V3 V4->V2 V4->V3 V4->V5 V0-V1 V0-V6 V1-V4 V1-V6,7,4,32,1,0,0.007102083000006587,0.0014874999999960892,0.00038004200001751087,0.008589583000002676,22.6016677093766,3.914041079479507,inf,1,0,1,5.734375,-1,-1,True
V0->V2 V0->V3 V0->V5 V1->V2 V2->V3 V4->V2 V4->V3 V4->V5 V0-V1 V0-V6 V1-V4 V1-V6,7,4,32,2,1,0.007102083000006587,0.001436417000036272,0.0011341250000214131,0.008538500000042859,7.528711561672343,1.2665420478423024,inf,2,1,2,12.2041015625,-1,-1,True
V0->V6 V4->V6 V0-V1 V1-V4 V1-V5 V4-V5,7,4,32,2,1,0.005397042000026886,6.341699997847172e-05,0.0007104169999934129,0.005460459000005358,7.686272991856878,0.08926728946387788,8.341641421796371,1,1,2,8.3876953125,1,1,True
V0->V6 V4->V6 V0-V1 V1-V4 V1-V5 V4-V5,7,4,32,2,1,0.005397042000026886,9.80840000011085e-05,0.0008020000000215077,0.0054951260000279945,6.851778054714,0.12229925186842659,7.667167673231581,1,1,2,8.3876953125,1,1,True
V0->V4 V1->V2 V4->V2 V6->V4 V0-V5 V1-V6 V3-V5,7,3,18,1,0,0.0015376669999795922,0.00045708400000421534,0.0002306250000287946,0.0019947509999838076,8.649326828118173,1.9819360431312576,inf,1,0,1,4.8828125,-1,-1,True
V0->V4 V1->V2 V4->V2 V6->V4 V0-V5 V1-V6 V3-V5,7,3,18,1,0,0.0015376669999795922,0.0003690000000347027,0.00019687499997189661,0.001906667000014295,9.684657779232847,1.874285714729531,inf,1,0,1,4.6171875,-1,-1,True
