stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,seed,degeneracy_note
flip_cov1.0_bw0.1,flip,r_val,separation,AUC_frac,ok,480,480,0,480,0.4181611899400737,0.4185249857281884,-0.0003637957881147402,-0.018711372563587802,0.0178124415070919,0.4907,10000,0,
flip_cov1.0_bw0.1,flip,r_val,neg_phi_1,AUC_frac,ok,480,480,0,480,0.4181611899400737,0.3042702663321648,0.11389092360790887,0.05505570192780152,0.1742370710980632,1.0,10000,0,
flip_cov1.0_bw0.1,flip,r_val,r_claim,AUC_frac,ok,480,212,268,212,0.32588768864906664,0.32588768864906664,0.0,0.0,0.0,0.0,10000,0,"r_val == r_claim on every uncensored row; a zero delta is an identity. 268 of 480 rows right-censored and dropped, not imputed."
flip_cov1.0_bw0.25,flip,r_val,shd_truth,AUC_frac,ok,334,334,0,334,0.27955168033772343,-0.10160716422851537,0.38115884456623883,0.2553282882297207,0.5076728081375004,1.0,10000,0,
flip_cov1.0_bw0.25,flip,r_val,n_k,AUC_frac,ok,334,334,0,334,0.27955168033772343,-0.11228217784009271,0.39183385817781613,0.2688424445762952,0.5123492989879206,1.0,10000,0,
flip_cov1.0_bw0.25,flip,r_val,k_g0,AUC_frac,ok,334,334,0,334,0.27955168033772343,-0.11228217784009271,0.39183385817781613,0.2688424445762952,0.5123492989879206,1.0,10000,0,"k_g0 == n_k on every row of this stratum; a relabelling, not an independent baseline."
flip_cov1.0_bw0.25,flip,r_val,separation,AUC_frac,ok,334,334,0,334,0.27955168033772343,0.3123484532966669,-0.032796772958943454,-0.08505124760399636,0.018099986015898545,0.1039,10000,0,
flip_cov1.0_bw0.25,flip,r_val,neg_phi_1,AUC_frac,ok,334,334,0,334,0.27955168033772343,0.2997962982487468,-0.020244617911023388,-0.09615283022679243,0.06034971835843348,0.3062,10000,0,
flip_cov1.0_bw0.25,flip,r_val,r_claim,AUC_frac,ok,334,196,138,196,0.2930756036344179,0.2930756036344179,0.0,0.0,0.0,0.0,10000,0,"r_val == r_claim on every uncensored row; a zero delta is an identity. 138 of 334 rows right-censored and dropped, not imputed."
tiered_nt2,tiered,r_val,shd_truth,AUC_frac,ok,414,414,0,414,0.8190088730682316,0.27613022938554505,0.5428786436826865,0.4828345559556764,0.6036301405230025,1.0,10000,0,
tiered_nt2,tiered,r_val,n_k,AUC_frac,ok,414,414,0,414,0.8190088730682316,-0.5682237999111347,1.3872326729793663,1.3395167878421064,1.430927899802688,1.0,10000,0,
tiered_nt2,tiered,r_val,k_g0,AUC_frac,ok,414,414,0,414,0.8190088730682316,0.24870975846694046,0.5702991146012911,0.5059128545904819,0.6359954425843554,1.0,10000,0,"k_g0 is definitionally shd_cpdag, but differs from n_k here."
tiered_nt2,tiered,r_val,separation,AUC_frac,ok,414,414,0,414,0.8190088730682316,0.7342737907844451,0.08473508228378646,0.05589974806965365,0.1154130246288705,1.0,10000,0,
tiered_nt2,tiered,r_val,neg_phi_1,AUC_frac,ok,414,414,0,414,0.8190088730682316,-0.5682237999111347,1.3872326729793663,1.3395167878421064,1.430927899802688,1.0,10000,0,
tiered_nt2,tiered,r_val,r_claim,AUC_frac,undefined (predictor or endpoint constant on matched sample),414,414,0,414,0.8190088730682316,,,,,,10000,0,"0 of 414 rows right-censored and dropped, not imputed."
tiered_nt3,tiered,r_val,shd_truth,AUC_frac,ok,480,480,0,480,0.8071605524071076,0.08039680748238814,0.7267637449247195,0.6641174430989671,0.7897941046052807,1.0,10000,0,
tiered_nt3,tiered,r_val,n_k,AUC_frac,ok,480,480,0,480,0.8071605524071076,-0.45560842440341587,1.2627689768105235,1.1961860168574696,1.3267207315438991,1.0,10000,0,
tiered_nt3,tiered,r_val,k_g0,AUC_frac,ok,480,480,0,480,0.8071605524071076,0.07381621972752202,0.7333443326795855,0.6701576850600569,0.7966166093500767,1.0,10000,0,"k_g0 is definitionally shd_cpdag, but differs from n_k here."
tiered_nt3,tiered,r_val,separation,AUC_frac,ok,480,480,0,480,0.8071605524071076,0.8203946510803914,-0.013234098673283845,-0.02507832133422797,-0.002158187382646338,0.0088,10000,0,
tiered_nt3,tiered,r_val,neg_phi_1,AUC_frac,ok,480,480,0,480,0.8071605524071076,0.5335676590408972,0.2735928933662104,0.23902717525404515,0.3091471984485132,1.0,10000,0,
tiered_nt3,tiered,r_val,r_claim,AUC_frac,ok,480,480,0,480,0.8071605524071076,0.6591644782638194,0.1479960741432882,0.12413803588054205,0.1734509242805334,1.0,10000,0,"0 of 480 rows right-censored and dropped, not imputed."
tiered_nt4,tiered,r_val,shd_truth,AUC_frac,ok,480,480,0,480,0.7479410041713067,0.13509700423511264,0.6128439999361941,0.5417745617484014,0.6843834293503237,1.0,10000,0,
tiered_nt4,tiered,r_val,n_k,AUC_frac,ok,480,480,0,480,0.7479410041713067,-0.42967505888143465,1.1776160630527412,1.1089766793660885,1.2447332623567908,1.0,10000,0,
tiered_nt4,tiered,r_val,k_g0,AUC_frac,ok,480,480,0,480,0.7479410041713067,0.05259328935063996,0.6953477148206667,0.6273450129577836,0.7633250012253885,1.0,10000,0,"k_g0 is definitionally shd_cpdag, but differs from n_k here."
tiered_nt4,tiered,r_val,separation,AUC_frac,ok,480,480,0,480,0.7479410041713067,0.7784736023707896,-0.03053259819948284,-0.04365957831410394,-0.01878458499039149,0.0,10000,0,
tiered_nt4,tiered,r_val,neg_phi_1,AUC_frac,ok,480,480,0,480,0.7479410041713067,0.6158804431086091,0.1320605610626976,0.10365470423237522,0.16133519839035923,1.0,10000,0,
tiered_nt4,tiered,r_val,r_claim,AUC_frac,ok,480,480,0,480,0.7479410041713067,0.7137820443686678,0.034158959802638944,0.0115485840460367,0.05811863732568921,0.9987,10000,0,"0 of 480 rows right-censored and dropped, not imputed."
