instance_id,generator,seed,true_dag,cpdag,corruption,corruption_rate,k_assumed_consistent,g0,treatment,outcome,space_size,n_covers,max_shell,r_val,r_opt,method,notes,z,k_true,k_assumed,desc_n_nodes,desc_n_edges,desc_n_compelled,desc_n_undirected,desc_n_components,desc_largest_component_nodes,desc_largest_component_edges,desc_knowledge_component_nodes,desc_knowledge_component_edges,desc_knowledge_component_density,desc_treatment_in_component,r_eps_0.02,r_eps_0.05,r_eps_0.1,r_eps_0.2,params_json,time_graph,time_gate,time_knowledge,time_g0_and_z,time_space,time_radius_val_opt,time_radius_eps
inst_000346,erdos_renyi,20261265,V0->V1 V0->V4 V0->V5 V1->V6 V2->V0 V2->V1 V2->V4 V2->V5 V2->V6 V3->V1 V3->V5 V5->V4 V5->V6 V6->V4,V0->V1 V0->V4 V0->V5 V1->V6 V2->V1 V2->V4 V2->V5 V2->V6 V3->V1 V3->V5 V5->V4 V5->V6 V6->V4 V0-V2,omit,0.5,True,V0->V1 V0->V4 V0->V5 V1->V6 V2->V0 V2->V1 V2->V4 V2->V5 V2->V6 V3->V1 V3->V5 V5->V4 V5->V6 V6->V4,V0,V5,3,2,2,1,1,bfs_exact,,V2|V3,V2->V0,V2->V0,7,14,13,1,1,2,1,2,1,1.0,True,1,1,1,1,"{""edge_prob"": 0.45}",0.0001430840000002931,0.00015566700000002598,1.545800000002373e-05,3.879200000023175e-05,0.00034195799999992005,5.999999999994898e-05,0.0033910839999999887
inst_000348,erdos_renyi,20261267,V0->V1 V1->V3 V1->V4 V1->V6 V2->V1 V2->V6 V5->V0 V5->V2 V5->V3,V0->V1 V1->V3 V1->V4 V1->V6 V2->V1 V2->V6 V5->V3 V0-V5 V2-V5,flip,0.25,True,V0->V1 V1->V3 V1->V4 V1->V6 V2->V1 V2->V6 V5->V0 V5->V2 V5->V3,V2,V1,6,6,2,1,1,bfs_exact,,V0,V5->V0|V5->V2,V5->V0|V5->V2,7,9,7,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.45}",0.00013408299999984052,0.00035145800000035976,1.4584000000095187e-05,4.2749999999980304e-05,0.0007977920000001859,5.9499999999879094e-05,0.0051003330000001235
inst_000354,erdos_renyi,20261273,V1->V0 V2->V3 V4->V2 V4->V6 V5->V0 V5->V4 V5->V6 V6->V0 V6->V1 V6->V3,V1->V0 V2->V3 V5->V0 V6->V0 V6->V3 V1-V6 V2-V4 V4-V5 V4-V6 V5-V6,flip,0.5,True,V1->V0 V1->V6 V2->V3 V4->V2 V5->V0 V5->V4 V6->V0 V6->V3 V6->V4 V6->V5,V6,V3,49,100,10,2,2,bfs_exact,,,V4->V2|V5->V4|V5->V6|V6->V1,V1->V6|V4->V2|V5->V4|V6->V5,7,10,5,5,1,5,5,5,5,0.5,True,2,2,2,4,"{""edge_prob"": 0.45}",0.00011158300000024823,0.000647499999999912,1.4959000000036582e-05,0.00012183400000020939,0.01989712499999996,0.0003067500000000223,0.08092195800000024
inst_000362,erdos_renyi,20261281,V0->V5 V1->V5 V2->V0 V3->V1 V3->V4 V4->V0 V6->V4,V0->V5 V1->V5 V2->V0 V3->V4 V4->V0 V6->V4 V1-V3,compound,0.25,True,V0->V5 V1->V5 V2->V0 V3->V1 V3->V4 V4->V0 V6->V4,V1,V5,3,2,2,1,1,bfs_exact,,V0,V3->V1,V3->V1,7,7,6,1,1,2,1,2,1,1.0,True,1,1,1,1,"{""edge_prob"": 0.45}",5.1125000000151744e-05,0.0005032499999999551,2.4290999999898588e-05,2.908299999981878e-05,0.00024254199999962367,3.462500000006585e-05,0.002272041999999974
inst_000375,erdos_renyi,20261294,V2->V1 V2->V6 V3->V1 V3->V4 V3->V5 V3->V6 V4->V6 V5->V2 V5->V6 V6->V1,V2->V1 V2->V6 V3->V1 V3->V6 V4->V6 V5->V6 V6->V1 V2-V5 V3-V4 V3-V5,tiered,0.25,True,V2->V1 V2->V6 V3->V1 V3->V5 V3->V6 V4->V3 V4->V6 V5->V2 V5->V6 V6->V1,V2,V6,10,12,6,3,3,bfs_exact,,V3|V4|V5,V3->V5|V5->V2,V4->V3,7,10,7,3,1,4,3,4,3,0.5,True,3,3,3,3,"{""edge_prob"": 0.45}",9.908300000027737e-05,0.000958208000000127,3.579199999981242e-05,6.362499999967852e-05,0.002254166999999807,0.00014962499999970902,0.009908583000000082
inst_000380,erdos_renyi,20261299,V0->V5 V1->V0 V1->V5 V2->V4 V2->V5 V3->V0 V3->V1 V3->V5 V6->V4 V6->V5,V0->V5 V1->V5 V2->V4 V2->V5 V3->V5 V6->V4 V6->V5 V0-V1 V0-V3 V1-V3,tiered,0.5,True,V0->V3 V0->V5 V1->V0 V1->V3 V1->V5 V2->V4 V2->V5 V3->V5 V6->V4 V6->V5,V1,V0,19,30,6,1,2,bfs_exact,,,V1->V0|V3->V1,V0->V3|V1->V0|V1->V3,7,10,7,3,1,3,3,3,3,1.0,True,1,1,1,1,"{""edge_prob"": 0.45}",7.183299999979909e-05,0.0004247500000000848,3.379199999997695e-05,0.00012858399999959857,0.0035311250000003014,9.862500000012986e-05,0.010645416000000019
inst_000384,erdos_renyi,20261303,V1->V0 V1->V3 V1->V4 V1->V5 V1->V6 V1->V7 V2->V5 V4->V3 V6->V0 V6->V3 V6->V4 V6->V5 V7->V4 V7->V5,V1->V3 V1->V4 V1->V5 V2->V5 V4->V3 V6->V3 V6->V4 V6->V5 V7->V4 V7->V5 V0-V1 V0-V6 V1-V6 V1-V7,omit,0.25,True,V1->V0 V1->V3 V1->V4 V1->V5 V1->V6 V2->V5 V4->V3 V6->V0 V6->V3 V6->V4 V6->V5 V7->V4 V7->V5 V1-V7,V6,V0,32,59,7,1,1,bfs_exact,,V1,V1->V0|V1->V6|V6->V0,V1->V6|V6->V0,8,14,10,4,1,4,4,4,4,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.45}",0.00026429199999977726,0.0008041249999997113,1.829200000003084e-05,0.00012724999999980113,0.01030941700000021,0.00010162499999966101,0.023086208000000052
inst_000395,erdos_renyi,20261314,V0->V1 V1->V5 V2->V1 V2->V3 V2->V4 V3->V1 V3->V5 V4->V1 V6->V0 V6->V4 V7->V2 V7->V3 V7->V4 V7->V5 V7->V6,V0->V1 V1->V5 V2->V1 V2->V4 V3->V1 V3->V5 V4->V1 V6->V4 V7->V4 V7->V5 V0-V6 V2-V3 V2-V7 V3-V7 V6-V7,omit,0.5,True,V0->V1 V1->V5 V2->V1 V2->V3 V2->V4 V3->V1 V3->V5 V4->V1 V6->V4 V7->V2 V7->V3 V7->V4 V7->V5 V0-V6 V6-V7,V2,V5,48,96,8,1,1,bfs_exact,,V0|V6|V7,V2->V3|V7->V2|V7->V3|V7->V6,V2->V3|V7->V2,8,15,10,5,1,5,5,5,5,0.5,True,1,1,1,1,"{""edge_prob"": 0.45}",0.00018087499999985823,0.0007687910000000464,1.4333999999838198e-05,0.00020033299999999699,0.0280224170000003,0.00027108300000033836,0.02819237500000016
inst_000398,erdos_renyi,20261317,V0->V1 V0->V4 V0->V5 V2->V0 V2->V4 V2->V5 V2->V7 V4->V1 V5->V1 V6->V2 V6->V3 V6->V4 V6->V5 V7->V5,V0->V1 V0->V4 V0->V5 V2->V4 V2->V5 V4->V1 V5->V1 V6->V4 V6->V5 V7->V5 V0-V2 V2-V6 V2-V7 V3-V6,flip,0.25,True,V0->V1 V0->V2 V0->V4 V0->V5 V2->V4 V2->V5 V2->V6 V2->V7 V4->V1 V5->V1 V6->V3 V6->V4 V6->V5 V7->V5,V0,V5,17,26,6,1,1,bfs_exact,,,V2->V0|V2->V7|V6->V3,V0->V2|V2->V7|V6->V3,8,14,10,4,1,5,4,5,4,0.4,True,1,1,1,1,"{""edge_prob"": 0.45}",0.00022929099999968727,0.000732082999999939,1.862500000004985e-05,0.00012079200000014723,0.00732287499999984,0.0002088749999997752,0.01824895900000012
inst_000399,erdos_renyi,20261318,V0->V1 V0->V2 V0->V4 V0->V5 V1->V4 V1->V5 V1->V7 V2->V4 V3->V0 V3->V4 V3->V5 V3->V6 V5->V2 V6->V2 V6->V5 V7->V2 V7->V4,V0->V2 V0->V4 V0->V5 V1->V4 V1->V5 V2->V4 V3->V4 V3->V5 V5->V2 V6->V2 V6->V5 V7->V2 V7->V4 V0-V1 V0-V3 V1-V7 V3-V6,flip,0.25,True,V0->V2 V0->V3 V0->V4 V0->V5 V1->V4 V1->V5 V1->V7 V2->V4 V3->V4 V3->V5 V3->V6 V5->V2 V6->V2 V6->V5 V7->V2 V7->V4 V0-V1,V6,V2,15,20,5,2,2,bfs_exact,,V0|V1|V3|V7,V1->V7|V3->V0|V3->V6,V0->V3|V1->V7|V3->V6,8,17,13,4,1,5,4,5,4,0.4,True,2,2,2,2,"{""edge_prob"": 0.45}",0.00011424999999976038,0.002802583000000247,1.704099999999542e-05,0.000143416999999868,0.008062666999999912,0.0004795830000001722,0.02585341699999999
