instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,200,1,200,0,0.0,0.75,0.75
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,200,2,72,128,0.64,0.0,0.0
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,1000,1,1000,0,0.0,0.759,0.759
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,1000,2,329,671,0.671,0.0,0.0
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000000_bw010,6,1,0.5,0.1,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000001_bw010,6,1,0.5,0.1,200,1,200,0,0.0,0.685,0.685
c06_s01_cov050_seed00000001_bw010,6,1,0.5,0.1,200,2,73,127,0.635,0.0,0.0
c06_s01_cov050_seed00000001_bw010,6,1,0.5,0.1,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000001_bw010,6,1,0.5,0.1,1000,1,1000,0,0.0,0.689,0.689
c06_s01_cov050_seed00000001_bw010,6,1,0.5,0.1,1000,2,330,670,0.67,0.0,0.0
c06_s01_cov050_seed00000001_bw010,6,1,0.5,0.1,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000002_bw010,6,1,0.5,0.1,200,1,200,0,0.0,0.665,0.665
c06_s01_cov050_seed00000002_bw010,6,1,0.5,0.1,200,2,53,147,0.735,0.0,0.0
c06_s01_cov050_seed00000002_bw010,6,1,0.5,0.1,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000002_bw010,6,1,0.5,0.1,1000,1,1000,0,0.0,0.647,0.647
c06_s01_cov050_seed00000002_bw010,6,1,0.5,0.1,1000,2,299,701,0.701,0.0,0.0
c06_s01_cov050_seed00000002_bw010,6,1,0.5,0.1,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,200,1,200,0,0.0,0.68,0.68
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,200,2,63,137,0.685,0.5873015873015873,0.185
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,1000,1,1000,0,0.0,0.77,0.77
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,1000,2,319,681,0.681,0.5611285266457681,0.179
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000003_bw010,6,1,0.5,0.1,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000004_bw010,6,1,0.5,0.1,200,1,200,0,0.0,0.525,0.525
c06_s01_cov050_seed00000004_bw010,6,1,0.5,0.1,200,2,0,200,1.0,,0.0
c06_s01_cov050_seed00000004_bw010,6,1,0.5,0.1,1000,1,1000,0,0.0,0.5,0.5
c06_s01_cov050_seed00000004_bw010,6,1,0.5,0.1,1000,2,0,1000,1.0,,0.0
c06_s01_cov050_seed00000005_bw010,6,1,0.5,0.1,200,1,144,56,0.28,0.5763888888888888,0.415
c06_s01_cov050_seed00000005_bw010,6,1,0.5,0.1,200,2,130,70,0.35,0.0,0.0
c06_s01_cov050_seed00000005_bw010,6,1,0.5,0.1,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000005_bw010,6,1,0.5,0.1,1000,1,684,316,0.316,0.5263157894736842,0.36
c06_s01_cov050_seed00000005_bw010,6,1,0.5,0.1,1000,2,704,296,0.296,0.0,0.0
c06_s01_cov050_seed00000005_bw010,6,1,0.5,0.1,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000006_bw010,6,1,0.5,0.1,200,1,200,0,0.0,0.555,0.555
c06_s01_cov050_seed00000006_bw010,6,1,0.5,0.1,200,2,0,200,1.0,,0.0
