check,endpoint,n_draws,n_total,n,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan
check1_n200_reproduction,AUC_frac (first 200 of 1000 draws),200,240,240,0,0,0.3797239792383254,1.7039568672395261e-13,0.26455229910406797,0.48814886020472675,0
check2_n1000_full,AUC_frac (full 1000 draws),1000,240,240,0,0,0.3951604671889129,1.7249038425012383e-14,0.28069338485325296,0.5023395550963888,0
check3_n1000_usable,"AUC_frac_usable, n_eval>=30 (1000 draws)",1000,240,240,0,0,0.39630331169913663,1.450640237082416e-14,0.2819324100764896,0.5033775380669677,0
