instance_id,generator,generator_params_json,n,seed,knows_fraction,corruption_name,corruption_rate,n_undirected_cpdag,n_k0,x,y,z_size,z,r_val,r_val_method,r_val_seconds,r_val_exact,theta_z,tau_true,beta_top,r0_d,staircase_json,traversal_limit_d,monotone_violation,k_false,realised_error_effect,beta_up_at_kfalse,beta_up_at_kfalse_is_lower_bound,certificate_holds,conservativeness_ratio,staircase_shape,staircase_n_distinct,staircase_total_rise,cost_incremental_seconds,cost_incremental_states,cost_incremental_shells,cost_incremental_radius,cost_bisection_seconds,cost_bisection_states,cost_bisection_shells,cost_bisection_radius,cost_disagreement,cost_greedy_seconds,cost_greedy_states,cost_greedy_radius,cost_greedy_tight,states_saved_subsample,states_saved_below_rval,old_reps_subsample,old_r_eps_json,old_new_disagree_count,old_new_disagree_direction,old_mean_abs_bias_monotone,status,notes,timing_total_seconds,r_eps_0.01,r_eps_0.02,r_eps_0.05,r_eps_0.1,r_eps_0.25,r_eps_0.5,r_eps_1
inst_000080,erdos_renyi,"{""edge_prob"": 0.35}",7,20260996,1.0,none,0.0,6,6,V5,V2,1,V6,1,local_up_fast,0.00010616701911203563,True,-0.31270492725575694,-0.31270492725575705,0.31270492725575694,1,"[[0, 0.0], [1, 0.31270492725575694], [2, 0.31270492725575694], [3, 0.31270492725575694], [4, 0.31270492725575694], [5, 0.31270492725575694], [6, 0.31270492725575694]]",6,False,0,1.1102230246251565e-16,0.0,False,True,nan,step,2,0.31270492725575694,0.00019608400180004537,1,1,-1,0.00022983300732448697,1,1,-1,False,nan,0,-1,False,False,-1,False,,-1,,,capped_timeout,hard wall-cap of 8s hit,8.008537832996808,1,1,1,1,1,1,-1
inst_000083,erdos_renyi,"{""edge_prob"": 0.35}",7,20260999,1.0,omit,0.3,3,3,V5,V2,1,V6,1,local_up_fast,0.00010025000665336847,True,0.31944955375403944,0.3194495537540396,0.7620548121152111,1,"[[0, 0.0], [1, 0.7620548121152111]]",1,False,0,1.6653345369377348e-16,0.0,False,True,nan,step,2,0.7620548121152111,0.0002960829879157245,3,1,1,0.0005321249773260206,7,3,1,False,0.00017625000327825546,3,1,True,False,-1,True,"{""0.0031945"": 1, ""0.00638899"": 1, ""0.0159725"": 1, ""0.031945"": 1, ""0.0798624"": 1, ""0.159725"": 1, ""0.31945"": 1}",0,equal,violated_6_12,ok,,0.02652566702454351,1,1,1,1,1,1,1
inst_000097,erdos_renyi,"{""edge_prob"": 0.35}",10,20261013,0.4,flip,0.15,4,2,V9,V3,1,V7,1,local_up_fast,0.0001499170030001551,True,-1.0900514233980405,-1.0900514233980405,0.5509962027084558,1,"[[0, 0.0], [1, 0.5509962027084558], [2, 0.5509962027084558]]",2,False,0,0.0,0.0,False,True,nan,step,2,0.5509962027084558,0.0001961250090971589,1,1,-1,0.00018754100892692804,1,1,-1,False,0.0005145419854670763,3,-1,True,False,-1,True,"{""0.0109005"": 1, ""0.021801"": 1, ""0.0545026"": 1, ""0.109005"": 1, ""0.272513"": 1, ""0.545026"": 2, ""1.09005"": -1}",1,old_larger,violated_18_59,ok,,0.3122360419947654,1,1,1,1,1,1,-1
inst_000111,erdos_renyi,"{""edge_prob"": 0.35}",12,20261027,0.4,omit,0.3,6,1,V06,V02,3,V05|V07|V09,1,local_up_fast,0.00024112500250339508,True,-0.5541649790419545,-0.5541649790419545,0.16740487581784252,1,"[[0, 0.0], [1, 0.16740487581784252]]",1,False,0,0.0,0.0,False,True,nan,step,2,0.16740487581784252,0.00012658300693146884,1,1,-1,0.00012550002429634333,1,1,-1,False,0.00012841602438129485,1,-1,True,False,-1,False,,-1,,,ok,,0.0012543750053737313,1,1,1,1,1,-1,-1
inst_000114,erdos_renyi,"{""edge_prob"": 0.35}",12,20261030,0.7,flip,0.3,7,7,V08,V09,4,V00|V01|V02|V06,1,local_up_fast,0.0003071249811910093,True,-1.2627147326064574,-1.9835527306305436,0.7208379980240867,1,"[[0, 0.0], [1, 0.7208379980240867], [2, 0.7208379980240867], [3, 0.7208379980240867], [4, 0.7208379980240867], [5, 0.7208379980240867], [6, 0.7208379980240867], [7, 0.7208379980240867]]",7,False,2,0.7208379980240862,0.7208379980240867,False,True,0.9999999999999993,step,2,0.7208379980240867,0.0005591670051217079,1,1,-1,0.0005603749887086451,1,1,-1,False,nan,0,-1,False,False,-1,False,,-1,,,capped_timeout,hard wall-cap of 8s hit,8.007968209014507,1,1,1,1,1,1,-1
inst_000129,erdos_renyi,"{""edge_prob"": 0.5}",6,20261045,1.0,flip,0.15,7,7,V3,V2,1,V4,1,local_up_fast,0.00016666698502376676,True,0.427723304552105,0.42772330455210517,0.9406564774060842,1,"[[0, 0.0], [1, 0.427723304552105], [2, 0.9406564774060842]]",2,False,1,1.6653345369377348e-16,0.427723304552105,False,True,3.893485623098343e-16,ramp,3,0.9406564774060842,0.006225624994840473,20,2,2,0.018191999988630414,56,4,2,False,0.00478158300393261,18,3,False,False,-1,False,,-1,,,ok,,0.036325791996205226,1,1,1,1,1,1,2
inst_000137,erdos_renyi,"{""edge_prob"": 0.5}",7,20261053,0.7,flip,0.15,7,5,V2,V4,3,V0|V1|V5,1,local_up_fast,0.00022812499082647264,True,-0.9668403718857321,-0.9668403718857325,0.9184886929090414,1,"[[0, 0.0], [1, 0.9184886929090414], [2, 0.9184886929090414], [3, 0.9184886929090414], [4, 0.9184886929090414], [5, 0.9184886929090414]]",5,False,1,3.3306690738754696e-16,0.9184886929090414,False,True,3.626249402512033e-16,step,2,0.9184886929090414,0.00010545802069827914,1,1,-1,0.00010383300832472742,1,1,-1,False,0.002797583001665771,15,-1,True,True,1,False,,-1,,,ok,,0.008798791997833177,1,1,1,1,1,1,-1
inst_000144,erdos_renyi,"{""edge_prob"": 0.5}",8,20261060,0.4,none,0.0,4,4,V5,V4,3,V0|V3|V6,1,local_up_fast,0.00012308298028074205,True,-0.7915953236556487,-0.791595323655649,0.39938719078926954,1,"[[0, 0.0], [1, 0.06631614778204564], [2, 0.39938719078926954], [3, 0.39938719078926954], [4, 0.39938719078926954]]",4,False,0,3.3306690738754696e-16,0.0,False,True,nan,ramp,3,0.39938719078926954,0.0001812080154195428,1,1,-1,0.0001785829954314977,1,1,-1,False,0.0017096670053433627,10,-1,True,False,-1,True,"{""0.00791595"": 1, ""0.0158319"": 1, ""0.0395798"": 1, ""0.0791595"": 1, ""0.197899"": 1, ""0.395798"": 1, ""0.791595"": 2}",4,new_larger,violated_23_59,ok,,0.19200262500089593,1,1,1,2,2,2,-1
inst_000153,erdos_renyi,"{""edge_prob"": 0.5}",8,20261069,1.0,flip,0.15,8,8,V3,V1,0,,1,local_up_fast,0.0002901249972637743,True,-0.9220598359093855,-0.7669201637135404,1.185041446707419,1,"[[0, 0.0], [1, 0.1551396721958458], [2, 0.9220598359093855], [3, 1.1738084714388874]]",3,False,1,0.155139672195845,0.1551396721958458,False,True,0.999999999999995,ramp,4,1.1738084714388874,0.024790875002508983,35,3,3,0.045913125009974465,69,4,3,False,nan,0,-1,False,False,-1,False,,-1,,,capped_timeout,hard wall-cap of 8s hit,8.009575790987583,1,1,1,1,2,2,3
inst_000163,erdos_renyi,"{""edge_prob"": 0.5}",10,20261079,0.7,omit,0.3,6,3,V3,V5,3,V1|V7|V8,1,local_up_fast,0.0002868330047931522,True,0.8257653373331366,0.8257653373331366,0.7764795264874959,1,"[[0, 0.0], [1, 0.3211963603863106], [2, 0.3494436796233449], [3, 0.7764795264874959]]",3,False,0,0.0,0.0,False,True,nan,ramp,4,0.7764795264874959,0.0009615829912945628,1,1,-1,0.0009585829975549132,1,1,-1,False,0.0026156250096391886,6,-1,True,False,-1,False,,-1,,,ok,,0.010058583982754499,1,1,1,1,1,3,-1
