instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,200,1,200,0,0.0,0.77,0.77
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,200,2,73,127,0.635,0.0,0.0
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,1000,1,1000,0,0.0,0.774,0.774
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,1000,2,323,677,0.677,0.0,0.0
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000000_bw000,6,1,0.5,0.0,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000001_bw000,6,1,0.5,0.0,200,1,200,0,0.0,0.65,0.65
c06_s01_cov050_seed00000001_bw000,6,1,0.5,0.0,200,2,65,135,0.675,0.0,0.0
c06_s01_cov050_seed00000001_bw000,6,1,0.5,0.0,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000001_bw000,6,1,0.5,0.0,1000,1,1000,0,0.0,0.68,0.68
c06_s01_cov050_seed00000001_bw000,6,1,0.5,0.0,1000,2,339,661,0.661,0.0,0.0
c06_s01_cov050_seed00000001_bw000,6,1,0.5,0.0,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000002_bw000,6,1,0.5,0.0,200,1,200,0,0.0,0.625,0.625
c06_s01_cov050_seed00000002_bw000,6,1,0.5,0.0,200,2,58,142,0.71,0.0,0.0
c06_s01_cov050_seed00000002_bw000,6,1,0.5,0.0,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000002_bw000,6,1,0.5,0.0,1000,1,1000,0,0.0,0.64,0.64
c06_s01_cov050_seed00000002_bw000,6,1,0.5,0.0,1000,2,325,675,0.675,0.0,0.0
c06_s01_cov050_seed00000002_bw000,6,1,0.5,0.0,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,200,1,200,0,0.0,0.715,0.715
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,200,2,70,130,0.65,0.6142857142857143,0.215
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,1000,1,1000,0,0.0,0.749,0.749
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,1000,2,330,670,0.67,0.5575757575757576,0.184
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000003_bw000,6,1,0.5,0.0,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000004_bw000,6,1,0.5,0.0,200,1,200,0,0.0,0.525,0.525
c06_s01_cov050_seed00000004_bw000,6,1,0.5,0.0,200,2,0,200,1.0,,0.0
c06_s01_cov050_seed00000004_bw000,6,1,0.5,0.0,1000,1,1000,0,0.0,0.508,0.508
c06_s01_cov050_seed00000004_bw000,6,1,0.5,0.0,1000,2,0,1000,1.0,,0.0
c06_s01_cov050_seed00000005_bw000,6,1,0.5,0.0,200,1,127,73,0.365,0.4881889763779528,0.31
c06_s01_cov050_seed00000005_bw000,6,1,0.5,0.0,200,2,135,65,0.325,0.0,0.0
