check,endpoint,n_draws,n_total,n,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan
check1_n200_reproduction,AUC_frac (first 200 of 1000 draws),200,240,240,0,0,0.713719703186941,1.0527098361644957e-44,0.6252858817808793,0.797965776992534,0
check2_n1000_full,AUC_frac (full 1000 draws),1000,240,240,0,0,0.7137049817013585,1.0527676816382236e-44,0.6244748096759576,0.796698286277227,0
check3_n1000_usable,"AUC_frac_usable, n_eval>=30 (1000 draws)",1000,240,240,0,0,0.7137049817013585,1.0527676816382236e-44,0.6244748096759576,0.796698286277227,0
