instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,200,1,111,89,0.445,0.6396396396396397,0.355
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,200,2,71,129,0.645,0.5774647887323944,0.205
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,200,3,31,169,0.845,0.25806451612903225,0.04
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,1000,1,517,483,0.483,0.6460348162475822,0.334
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,1000,2,343,657,0.657,0.6064139941690962,0.208
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,1000,3,128,872,0.872,0.3359375,0.043
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000001_bw025,6,1,1.0,0.25,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,200,1,161,39,0.195,0.8260869565217391,0.665
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,200,2,25,175,0.875,1.0,0.125
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,200,3,0,200,1.0,,0.0
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,1000,1,783,217,0.217,0.7624521072796935,0.597
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,1000,2,113,887,0.887,1.0,0.113
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,1000,3,0,1000,1.0,,0.0
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000007_bw025,6,1,1.0,0.25,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,200,1,75,125,0.625,0.4,0.15
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,200,2,38,162,0.81,0.4473684210526316,0.085
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,200,3,23,177,0.885,0.0,0.0
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,1000,1,378,622,0.622,0.46296296296296297,0.175
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,1000,2,211,789,0.789,0.4597156398104265,0.097
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,1000,3,128,872,0.872,0.0,0.0
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000008_bw025,6,1,1.0,0.25,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,200,1,113,87,0.435,0.6814159292035398,0.385
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,200,2,30,170,0.85,0.26666666666666666,0.04
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,200,3,13,187,0.935,0.5384615384615384,0.035
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,200,4,10,190,0.95,0.5,0.025
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,200,5,12,188,0.94,0.0,0.0
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,200,7,0,200,1.0,,0.0
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,1000,1,541,459,0.459,0.7634011090573013,0.413
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,1000,2,191,809,0.809,0.2774869109947644,0.053
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,1000,3,59,941,0.941,0.5423728813559322,0.032
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,1000,4,59,941,0.941,0.4406779661016949,0.026
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,1000,5,48,952,0.952,0.0,0.0
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000010_bw025,6,1,1.0,0.25,1000,7,0,1000,1.0,,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,200,1,115,85,0.425,0.7217391304347827,0.415
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,200,2,72,128,0.64,0.4027777777777778,0.145
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,200,3,36,164,0.82,0.08333333333333333,0.015
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,200,4,23,177,0.885,0.0,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,200,5,5,195,0.975,0.0,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,200,7,0,200,1.0,,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,1000,1,585,415,0.415,0.7435897435897436,0.435
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,1000,2,355,645,0.645,0.4197183098591549,0.149
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,1000,3,187,813,0.813,0.1497326203208556,0.028
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,1000,4,133,867,0.867,0.0,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,1000,5,52,948,0.948,0.0,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000012_bw025,6,1,1.0,0.25,1000,7,0,1000,1.0,,0.0
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,200,1,81,119,0.595,0.5679012345679012,0.23
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,200,2,37,163,0.815,0.0,0.0
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,200,3,23,177,0.885,0.0,0.0
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,1000,1,392,608,0.608,0.45663265306122447,0.179
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,1000,2,217,783,0.783,0.0,0.0
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,1000,3,99,901,0.901,0.0,0.0
c06_s01_cov100_seed00000021_bw025,6,1,1.0,0.25,1000,4,0,1000,1.0,,0.0
