n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,search_fast_top_s,search_fast_top_censored,search_fast_top_error,search_fast_top_method,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,speedup_space_vs_search_top,speedup_search_top_vs_hybrid,gate_exhausted,gate_error
8,0.3,0,0,0,V3,V1,1,6,6,5,0.05683854199924099,3.2750000173109584e-05,0.00025400000049558,False,False,0.05709254199973657,0.0568712919994141,0.00021825000294484198,False,False,0.00016008300008252263,False,False,0.0001870420019258745,False,False,local_up_fast_exact,0.00018766599532682449,False,False,local_up_fast,True,356.6433785617799,,0.8530208139398645,,304.22422506703276,,260.5786539841977,1.1629704282054656,303.0452688052062,305.23915169793025,0.9966749788641075,False,
8,0.3,1,0,1,V0,V3,2,2,2,3,0.0002774160002445569,8.241700015787501e-05,9.391699859406799e-05,False,False,0.0003713329988386249,0.00035983300040243194,0.00037808300112374127,False,False,0.00014808400010224432,False,False,2.562500594649464e-05,False,False,top_state,2.704199869185686e-05,False,False,top_state,True,2.507583524096045,,5.4760745235460995,,13.7317142519663,,0.9517301738849233,13.981326063653466,13.306449885702724,14.49104049435045,0.9476002953217759,False,
8,0.3,2,0,2,V3,V1,1,3,3,3,0.001190874998428626,6.483300057880115e-05,0.00012208299995108973,False,False,0.0013129579983797157,0.0012557079990074271,0.00020729200332425535,False,False,0.00011125000310130417,False,False,0.00014637600543210283,False,False,local_up_fast_exact,0.00014716698933625594,False,False,local_up_fast,True,11.801869319357566,,0.7559440034960117,,8.921552342011909,,6.057676991249841,1.4085495956611722,8.53253847667095,8.969762458702546,0.9946252627187622,False,
8,0.3,3,0,3,V2,V0,1,2,2,2,0.00032012500014388934,0.00011399999857530929,0.00017474999913247302,False,False,0.0004948749992763624,0.00043412499871919863,0.0003975829968112521,False,False,0.00018324999837204814,False,False,5.2541996410582215e-05,False,False,top_state,5.275000148685649e-05,False,False,top_state,True,2.70054572263422,,3.4739335205082,,9.381516309524056,,1.0919103739370788,7.537118210514483,8.229857563650834,9.418656181413999,0.9960567759163741,False,
8,0.3,4,0,4,V0,V4,1,2,2,3,0.00023141599922382738,5.2041999879293144e-05,7.570799971290398e-05,False,False,0.00030712399893673137,0.00028345799910312053,0.00020987500465707853,False,False,0.00011045800056308508,False,False,2.55839986493811e-05,False,False,top_state,2.4583001504652202e-05,False,False,top_state,True,2.7804595173830426,,4.493267453210768,,12.493348254427344,,1.350603896668265,8.537403563896003,11.530650520827475,12.004534675980409,1.0407190775520014,False,
8,0.3,5,0,5,V1,V0,1,3,3,4,0.00108258299951558,9.91669985523913e-05,0.00013824999950884376,False,False,0.0012208329990244238,0.0011817499980679713,0.00021979199664201587,False,False,0.00013575000048149377,False,False,0.00016445800429210067,False,False,local_up_fast_exact,0.0001638329995330423,False,False,local_up_fast,True,8.993244896458434,,0.8285876524778839,,7.451691676915203,,5.37667438361159,1.3415612072565857,7.2131377771035226,7.4233723331340675,1.0038148893131404,False,
8,0.3,6,0,6,V2,V0,2,3,3,4,0.001052457999321632,0.0001662499998928979,0.0002862499986804323,False,False,0.0013387079980020644,0.00121870799921453,0.0008933339995564893,False,False,0.0007188749950728379,False,False,8.404099935432896e-05,False,False,top_state,9.012500231619924e-05,False,False,top_state,True,1.8622264053939221,,7.976421376952641,,14.853902508709755,,1.3642243548544868,9.912166175843966,13.522418506451201,15.92922511972851,0.9324937275393919,False,
8,0.3,7,0,7,V0,V1,2,1,1,2,9.291700007452164e-05,4.787499892699998e-05,6.212500011315569e-05,False,False,0.00015504200018767733,0.00014079199900152162,0.0001403339992975816,False,False,8.295899897348136e-05,False,False,3.162500070175156e-05,False,False,top_state,3.2582996936980635e-05,False,False,top_state,True,1.86889912012123,,2.546082520706547,,4.758371382704509,,1.0032636403596593,4.306970275601233,4.321026677620538,4.902513731140891,0.9705982774671724,False,
8,0.5,0,0,0,V1,V7,2,6,6,5,0.06654604200048198,0.00038991699875623453,0.0006224579992704093,False,False,0.06716849999975238,0.06693595899923821,0.00033874999644467607,False,False,0.0002094590017804876,False,False,0.00030162499751895666,False,False,local_up_fast_exact,0.000345124994055368,False,False,local_up_fast,True,320.6761200463696,,0.60690765777133,,194.62079292054003,,197.59692900888354,0.9815284383324924,193.94700514938583,222.68877099793744,0.8739587184768406,False,
8,0.5,1,0,1,V0,V4,1,7,7,5,0.43847850000020117,7.13339995854767e-05,0.00040095799886330497,False,False,0.43887945799906447,0.43854983399978664,0.0003186250032740645,False,False,0.00022374999389285222,False,False,0.0002807499986374751,False,False,local_up_fast_exact,0.00028449999808799475,False,False,local_up_fast,True,1961.4724915220866,,0.7864674706382501,,1542.6343091338817,,1376.382360120587,1.1199472949575031,1541.4757010442752,1563.2393949386185,0.9868189825106437,False,
