check,endpoint,n_draws,n_total,n,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan
check1_n200_reproduction,AUC_frac (first 200 of 1000 draws),200,240,240,0,0,0.5192417521193154,1.742864149767065e-26,0.44150130458028386,0.5907248401092533,0
check2_n1000_full,AUC_frac (full 1000 draws),1000,240,240,0,0,0.5740826394174519,3.6953330933901843e-32,0.5018819861666565,0.6408218128216249,0
check3_n1000_usable,"AUC_frac_usable, n_eval>=30 (1000 draws)",1000,240,240,0,0,0.5373070973494831,8.1277528516424e-28,0.4837843143281156,0.5847078926291821,0
