instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000004_bw000,6,1,1.0,0.0,1000,2,87,913,0.913,0.0,0.0
c06_s01_cov100_seed00000004_bw000,6,1,1.0,0.0,1000,3,104,896,0.896,0.0,0.0
c06_s01_cov100_seed00000004_bw000,6,1,1.0,0.0,1000,4,191,809,0.809,0.0,0.0
c06_s01_cov100_seed00000004_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,200,1,64,136,0.68,0.484375,0.155
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,200,2,34,166,0.83,0.0,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,200,3,37,163,0.815,0.0,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,200,4,28,172,0.86,0.0,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,1000,1,334,666,0.666,0.47904191616766467,0.16
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,1000,2,207,793,0.793,0.0,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,1000,3,212,788,0.788,0.0,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,1000,4,127,873,0.873,0.0,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000005_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,200,1,81,119,0.595,0.43209876543209874,0.175
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,200,2,63,137,0.685,0.3333333333333333,0.105
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,200,3,0,200,1.0,,0.0
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,1000,1,387,613,0.613,0.4909560723514212,0.19
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,1000,2,299,701,0.701,0.3745819397993311,0.112
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,1000,3,0,1000,1.0,,0.0
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000006_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,200,1,35,165,0.825,0.0,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,200,2,56,144,0.72,0.0,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,200,3,21,179,0.895,0.0,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,1000,1,197,803,0.803,0.0,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,1000,2,294,706,0.706,0.0,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,1000,3,102,898,0.898,0.0,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000007_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,200,1,83,117,0.585,0.5301204819277109,0.22
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,200,2,40,160,0.8,0.575,0.115
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,200,3,14,186,0.93,0.0,0.0
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,1000,1,399,601,0.601,0.5288220551378446,0.211
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,1000,2,186,814,0.814,0.5698924731182796,0.106
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,1000,3,84,916,0.916,0.0,0.0
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000008_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,200,1,61,139,0.695,0.39344262295081966,0.12
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,200,2,28,172,0.86,0.32142857142857145,0.045
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,200,3,27,173,0.865,0.6296296296296297,0.085
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,200,4,37,163,0.815,0.4864864864864865,0.09
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,200,5,31,169,0.845,0.0,0.0
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,1000,1,328,672,0.672,0.4817073170731707,0.158
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,1000,2,138,862,0.862,0.4420289855072464,0.061
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,1000,3,134,866,0.866,0.664179104477612,0.089
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,1000,4,190,810,0.81,0.38421052631578945,0.073
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,1000,5,162,838,0.838,0.0,0.0
c06_s01_cov100_seed00000009_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,200,1,82,118,0.59,0.6341463414634146,0.26
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,200,2,33,167,0.835,0.3939393939393939,0.065
