k_undirected,space_size,build_seconds,bfs_query_seconds,fast_query_seconds,bfs_single_query_seconds,speedup_single_query,speedup_amortised,fast_elements_visited,fast_closures,agree,r
1,3,0.00025591699999982787,3.100000000011427e-05,2.1292000000006084e-05,0.00028691699999994213,13.475342851768747,1.4559458951768462,1,0,True,-1
1,3,0.00025591699999982787,3.3124999999856186e-05,1.945899999999945e-05,0.00028904199999968405,14.853897939241083,1.7022971375639613,1,0,True,-1
1,3,0.00025591699999982787,3.225000000006695e-05,1.8959000000151605e-05,0.0002881669999998948,15.199483094972862,1.7010390843298202,1,0,True,-1
1,3,0.00025591699999982787,2.304099999994591e-05,1.3916999999974422e-05,0.0002789579999997738,20.04440612202964,1.6556010634467384,1,0,True,-1
1,3,0.00025591699999982787,3.5707999999967655e-05,1.991699999992491e-05,0.0002916249999997955,14.642014359637242,1.7928402871969813,1,0,True,-1
1,3,0.00025591699999982787,3.879200000000971e-05,2.1249999999861657e-05,0.0002947089999998376,13.868658823612057,1.8255058823652826,1,0,True,-1
1,3,0.00022112499999993318,3.462500000006585e-05,2.1125000000177252e-05,0.00025574999999999903,12.106508875638019,1.6390532544272345,1,0,True,-1
1,3,0.00022112499999993318,3.970800000008268e-05,2.9124999999963208e-05,0.00026083300000001586,8.955639484990398,1.3633648068715138,1,0,True,-1
1,3,0.00022112499999993318,3.358399999986439e-05,1.9833000000080148e-05,0.00025470899999979757,12.84268643164263,1.6933393838415103,1,0,True,-1
1,3,0.00022112499999993318,2.6375000000022908e-05,1.6000000000016e-05,0.0002474999999999561,15.468749999981785,1.648437499999783,1,0,True,-1
1,3,0.00022112499999993318,2.795900000007734e-05,1.6457999999941464e-05,0.0002490840000000105,15.134524243583451,1.6988090898150918,1,0,True,-1
1,3,0.00022112499999993318,3.3250000000206725e-05,2.0125000000037474e-05,0.0002543750000001399,12.639751552778447,1.6521739130506738,1,0,True,-1
1,3,0.0002073749999997876,3.199999999980996e-05,1.8583999999988166e-05,0.00023937499999959755,12.880703831239238,1.7219113215578097,1,0,True,-1
1,3,0.0002073749999997876,3.362500000014812e-05,1.87499999999563e-05,0.0002409999999999357,12.85333333335986,1.7933333333454125,1,0,True,-1
1,3,0.0002073749999997876,3.07079999999349e-05,1.8375000000014907e-05,0.0002380829999997225,12.95689795915806,1.671183673464489,1,0,True,-1
1,3,0.0002073749999997876,2.3957999999879576e-05,1.4416999999822266e-05,0.00023133299999966717,16.045848651072973,1.6617881667597234,1,0,True,-1
1,3,0.0002073749999997876,3.858400000011919e-05,2.145900000005696e-05,0.0002459589999999068,11.46181089516072,1.7980334591554488,1,0,True,-1
1,3,0.0002073749999997876,2.5708000000124187e-05,1.587500000010955e-05,0.00023308299999991178,14.682393700680523,1.6194015747997972,1,0,True,-1
1,3,0.00022162500000000307,3.5334000000109e-05,2.0249999999943924e-05,0.00025695900000011207,12.689333333374007,1.7448888888991037,1,0,True,-1
1,3,0.00022162500000000307,3.354200000016405e-05,1.9458000000138753e-05,0.0002551670000001671,13.113732140936763,1.7238153972620447,1,0,True,-1
1,3,0.00022162500000000307,3.970800000008268e-05,2.2583000000020448e-05,0.00026133300000008575,11.572111765480633,1.7583137758511589,1,0,True,-1
1,3,0.00022162500000000307,2.5708000000124187e-05,1.5749999999981057e-05,0.00024733300000012726,15.703682539709506,1.6322539682638164,1,0,True,-1
1,3,0.00022162500000000307,2.799999999991698e-05,1.6792000000043217e-05,0.00024962499999992005,14.86570986179595,1.6674606955600833,1,0,True,-1
1,3,0.00022162500000000307,3.445900000009772e-05,2.0249999999943924e-05,0.0002560840000001008,12.64612345683012,1.7016790123552168,1,0,True,-1
1,3,0.00020466699999999172,3.22499999998449e-05,1.8499999999921357e-05,0.00023691699999983662,12.806324324369932,1.74324324324227,1,0,True,-1
1,3,0.00020466699999999172,3.112500000002072e-05,1.8375000000014907e-05,0.00023579200000001244,12.832217687065096,1.6938775510201616,1,0,True,-1
1,3,0.00020466699999999172,3.441699999995329e-05,1.9749999999874035e-05,0.000239083999999945,12.105518987416197,1.7426329114011545,1,0,True,-1
1,3,0.00020466699999999172,2.4750000000128836e-05,1.4666999999857211e-05,0.00022941700000012055,15.64171268850849,1.6874616486241076,1,0,True,-1
1,3,0.00020466699999999172,3.9083999999967034e-05,2.2083999999811255e-05,0.00024375099999995875,11.03744792619281,1.7697880818828597,1,0,True,-1
1,3,0.00020466699999999172,2.6417000000167334e-05,1.587500000010955e-05,0.00023108400000015905,14.55647244085445,1.6640629921250416,1,0,True,-1
1,3,0.00020816700000003685,3.5707999999967655e-05,2.062499999988532e-05,0.0002438750000000045,11.82424242430839,1.731296969705028,1,0,True,-1
1,3,0.00020816700000003685,2.9333999999936466e-05,1.7375000000097174e-05,0.00023750099999997332,13.66912230208029,1.6882877697710739,1,0,True,-1
1,3,0.00020816700000003685,3.5500000000077137e-05,2.2332999999985503e-05,0.000243667000000114,10.91062553173654,1.5895759638248412,1,0,True,-1
1,3,0.00020816700000003685,2.4417000000109823e-05,1.566599999991425e-05,0.00023258400000014667,14.846418996643672,1.5585982382384447,1,0,True,-1
1,3,0.00020816700000003685,3.83339999998622e-05,2.1666999999947478e-05,0.00024650099999989905,11.376794203189023,1.769234319469937,1,0,True,-1
1,3,0.00020816700000003685,3.8333000000001505e-05,2.470799999998441e-05,0.00024650000000003836,9.976525821604092,1.5514408288823738,1,0,True,-1
1,3,0.00022737499999991861,4.154199999995001e-05,2.3208999999857483e-05,0.0002689169999998686,11.58675513815847,1.7899090870009522,1,0,True,-1
1,3,0.00022737499999991861,3.4000000000089514e-05,1.9624999999967585e-05,0.00026137500000000813,13.31847133760203,1.7324840764405438,1,0,True,-1
1,3,0.00022737499999991861,3.345800000009724e-05,1.979099999993572e-05,0.00026083300000001586,13.179374463183418,1.6905664190897838,1,0,True,-1
1,3,0.00022737499999991861,2.6375000000022908e-05,1.587500000010955e-05,0.0002537499999999415,15.984251968389948,1.6614173228246234,1,0,True,-1
1,3,0.00022737499999991861,2.8291999999874307e-05,4.141600000018286e-05,0.0002556669999997929,6.173145644163224,0.6831176356902982,1,0,True,-1
1,3,0.00022737499999991861,4.5666000000110785e-05,2.5957999999937087e-05,0.0002730410000000294,10.518568456764433,1.7592264427236868,1,0,True,-1
1,3,0.00022316700000013512,3.6332999999943993e-05,2.879200000016624e-05,0.0002595000000000791,9.01292025557727,1.261913031388379,1,0,True,-1
