instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c10_s01_cov100_seed00000011_tiered_nt2,c10_s01_cov100_seed00000011,tiered,fast_gate,10,1,measured,,,2,11,X,Y,7,4,7,7,0.7857142857142857,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C06 C00->Y C02->C04 C03->C06 C05->C09 C07->C08 W->Y X->Y C00-C02 C00-C03 C00-C05 C00-C07 C00-X,0.0008729580000004233,0.0,0.0008729580000004233,,1,7,6,0,0.7401084490412374,4.423370524470908,8,2
c10_s01_cov100_seed00000112_tiered_nt2,c10_s01_cov100_seed00000112,tiered,fast_gate,10,1,measured,,,2,112,X,Y,6,4,8,8,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C08 C00->Y C02->C08 C03->C04 C03->C06 C04->C06 C06->C07 W->Y X->Y C00-C02 C00-C03 C00-C05 C00-C09 C00-X,0.001023917000001262,0.0,0.001023917000001262,,1,8,4,0,0.7236159853016623,5.133753868622044,10,3
c10_s01_cov100_seed00000157_tiered_nt2,c10_s01_cov100_seed00000157,tiered,fast_gate,10,1,measured,,,2,157,X,Y,7,4,7,7,0.7857142857142857,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->C08 C00->C09 C00->Y C02->C06 C05->C08 C05->C09 W->Y X->Y C00-C02 C00-C03 C00-C04 C00-C05 C00-X,0.001979124999998305,0.0,0.001979124999998305,,1,7,5,0,0.7868177046614399,4.576431445767005,10,4
c10_s01_cov100_seed00000185_tiered_nt2,c10_s01_cov100_seed00000185,tiered,fast_gate,10,1,measured,,,2,185,X,Y,5,6,5,5,0.7857142857142857,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->C08 C00->C09 C00->Y C03->C06 W->Y X->Y C00-C02 C00-C03 C00-C04 C00-C07 C00-X C05-X C08-X,0.0017724999999941815,0.0,0.0017724999999941815,,1,5,3,0,0.585056874278836,3.4709995253650066,10,3
c10_s01_cov100_seed00000216_tiered_nt2,c10_s01_cov100_seed00000216,tiered,fast_gate,10,1,measured,,,2,216,X,Y,1,5,5,5,0.7692307692307693,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C05 C02->C07 W->Y X->C02 X->Y C00-C04 C00-C06 C00-C08 C00-C09 C00-X C03-C07,0.0007157920000011586,0.0,0.0007157920000011586,,1,5,2,0,0.8932409030967872,2.509944713285465,10,3
c10_s01_cov100_seed00000259_tiered_nt2,c10_s01_cov100_seed00000259,tiered,fast_gate,10,1,measured,,,2,259,X,Y,1,4,5,5,0.75,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C05 C05->C06 C06->C08 W->Y X->C03 X->Y C00-C02 C00-C04 C00-C07 C00-C09 C00-X,0.0006455000000045175,0.0,0.0006455000000045175,,1,5,2,0,0.8757447206524397,2.6333705413687305,10,4
c10_s01_cov100_seed00000273_tiered_nt2,c10_s01_cov100_seed00000273,tiered,fast_gate,10,1,measured,,,2,273,X,Y,3,4,5,5,0.75,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C04->C05 C04->C08 C05->C07 C07->C09 W->Y X->Y C00-C02 C00-C03 C00-C04 C00-C06 C00-X,0.0012992919999987862,0.0,0.0012992919999987862,,1,5,4,0,0.7654394145314429,3.7787571514525276,9,4
c10_s01_cov100_seed00000311_tiered_nt2,c10_s01_cov100_seed00000311,tiered,fast_gate,10,1,measured,,,2,311,X,Y,7,5,8,8,0.8125,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C06 C00->C07 C00->C09 C00->Y C03->C04 C04->C06 C05->C09 W->Y X->Y C00-C02 C00-C03 C00-C05 C00-C08 C00-X C07-X,0.002250250000003007,0.0,0.002250250000003007,,1,8,4,0,0.6308830371634186,5.305905970176255,10,2
c10_s01_cov100_seed00000345_tiered_nt2,c10_s01_cov100_seed00000345,tiered,fast_gate,10,1,measured,,,2,345,X,Y,4,5,5,5,0.7692307692307693,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->Y C04->C08 C04->C09 W->Y X->C03 X->Y C00-C02 C00-C04 C00-C05 C00-C06 C00-X C08-C09,0.0006966250000033369,0.0,0.0006966250000033369,,1,5,4,0,0.5498854142729692,2.9476998128974783,9,3
c10_s01_cov100_seed00000348_tiered_nt2,c10_s01_cov100_seed00000348,tiered,fast_gate,10,1,measured,,,2,348,X,Y,4,4,7,7,0.7857142857142857,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C03->C05 C03->C08 C04->C07 C05->C08 W->Y X->C04 X->Y C00-C02 C00-C03 C00-C06 C00-C09 C00-X,0.0008795420000069498,0.0,0.0008795420000069498,,1,7,3,0,0.5440407220253904,3.598928705124009,10,2
c10_s01_cov100_seed00000356_tiered_nt2,c10_s01_cov100_seed00000356,tiered,fast_gate,10,1,measured,,,2,356,X,Y,2,5,5,5,0.7692307692307693,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C08 C05->C07 W->Y X->C05 X->C06 X->Y C00-C02 C00-C03 C00-C04 C00-C09 C00-X C05-C06,0.0007346250000068721,0.0,0.0007346250000068721,,1,5,3,0,0.8122599788350634,2.551501499738,9,1
c10_s01_cov100_seed00000443_tiered_nt2,c10_s01_cov100_seed00000443,tiered,fast_gate,10,1,measured,,,2,443,X,Y,6,4,6,6,0.7692307692307693,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C08 C00->Y C02->C08 C03->C06 C03->C07 C04->C05 W->Y X->Y C00-C02 C00-C03 C00-C04 C00-C09 C00-X,0.0013877079999957687,0.0,0.0013877079999957687,,1,6,6,0,0.8016726773486116,4.6654784872489445,8,2
c10_s01_cov100_seed00000001_tiered_nt3,c10_s01_cov100_seed00000001,tiered,fast_gate,10,1,measured,,,3,1,X,Y,4,3,7,7,0.7692307692307693,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C09 C00->Y C03->C04 C04->C05 C05->C07 W->Y X->C06 X->Y C00-C02 C00-C08 C00-X C03-X,0.0010223330000087572,0.0,0.0010223330000087572,,1,7,2,0,0.6922938397844282,3.7801123514429382,11,5
c10_s01_cov100_seed00000002_tiered_nt3,c10_s01_cov100_seed00000002,tiered,fast_gate,10,1,measured,,,3,2,X,Y,8,3,9,9,0.8,2,"C00,W",0.125,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C06 C00->C07 C00->Y C02->C09 C05->C06 C05->C08 W->Y X->C04 X->C07 X->Y C00-C03 C00-C05 C00-X C02-X,0.000981832999997323,0.0,0.000981832999997323,,1,9,5,0,0.36458497550151503,3.9861881221829947,11,4
c10_s01_cov100_seed00000004_tiered_nt3,c10_s01_cov100_seed00000004,tiered,fast_gate,10,1,measured,,,3,4,X,Y,3,3,7,7,0.7692307692307693,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C03->C04 C03->C06 C04->C07 C06->C08 W->Y X->C02 X->Y C00-C05 C00-C09 C00-X C04-C06,0.0005692080000017086,0.0,0.0005692080000017086,,1,7,2,0,0.8056405498638795,3.6464500745249544,11,4
c10_s01_cov100_seed00000007_tiered_nt3,c10_s01_cov100_seed00000007,tiered,fast_gate,10,1,measured,,,3,7,X,Y,4,3,7,7,0.7692307692307693,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 C03->C09 C05->C06 W->Y X->C02 X->C03 X->C05 X->Y C00-C07 C00-C08 C00-X C04-C09,0.0005539580000117894,0.0,0.0005539580000117894,,1,7,2,0,0.6324203596143674,3.320750661493325,10,2
c10_s01_cov100_seed00000010_tiered_nt3,c10_s01_cov100_seed00000010,tiered,fast_gate,10,1,measured,,,3,10,X,Y,5,4,7,7,0.7857142857142857,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->Y C02->C03 C02->C04 C03->C08 C04->C06 W->Y X->Y C00-C07 C00-C09 C00-X C02-X C05-X,0.0007402089999857253,0.0,0.0007402089999857253,,1,7,2,0,0.7023431179448661,4.212737436095015,12,5
c10_s01_cov100_seed00000011_tiered_nt3,c10_s01_cov100_seed00000011,tiered,fast_gate,10,1,measured,,,3,11,X,Y,9,2,9,9,0.7857142857142857,2,"C00,W",0.1111111111111111,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->C06 C00->C07 C00->Y C02->C04 C03->C06 C05->C09 C07->C08 W->Y X->Y C00-C02 C00-C03 C00-X,0.0006027499999845531,0.0,0.0006027499999845531,,1,9,4,0,0.9281514239664459,5.3531619525199865,10,4
c10_s01_cov100_seed00000014_tiered_nt3,c10_s01_cov100_seed00000014,tiered,fast_gate,10,1,measured,,,3,14,X,Y,5,3,7,7,0.7692307692307693,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C04->C05 C04->C09 C05->C07 C06->C08 W->Y X->C04 X->Y C00-C02 C00-C06 C00-X C05-C09,0.00064920799999868,0.0,0.00064920799999868,,1,7,4,0,0.6262051760715011,3.458069905514739,10,5
c10_s01_cov100_seed00000015_tiered_nt3,c10_s01_cov100_seed00000015,tiered,fast_gate,10,1,measured,,,3,15,X,Y,6,2,8,8,0.7692307692307693,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C08 C04->C05 C04->C06 C04->C07 W->Y X->C02 X->Y C00-C04 C00-C09 C00-X,0.000602125000000342,0.0,0.000602125000000342,,1,8,5,0,0.6066681024286362,3.53955211349955,10,5
c10_s01_cov100_seed00000019_tiered_nt3,c10_s01_cov100_seed00000019,tiered,fast_gate,10,1,measured,,,3,19,X,Y,7,2,8,8,0.7692307692307693,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C08 C04->C06 C05->C07 C06->C09 W->Y X->C02 X->C03 X->Y C00-C04 C00-C05 C00-X,0.000603374999997186,0.0,0.000603374999997186,,1,8,5,0,0.6065992716053967,3.2349575719459276,9,4
