instance_id,arm,z_star,stored_radius,gac_radius,gac_exact,equal,z_gac_valid_at_g0,backdoor_recheck,sanity_status
c06_s01_cov050_seed00000021_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000021_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000022_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000022_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000022_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000023_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000023_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000023_bw025,flip,"[""C00"", ""W""]",2,2,True,True,True,2,match
c06_s01_cov050_seed00000024_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000024_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000024_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000025_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000025_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000025_bw025,flip,"[""C00"", ""W""]",4,4,True,True,True,4,match
c06_s01_cov050_seed00000026_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000026_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000026_bw025,flip,"[""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000027_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000027_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000027_bw025,flip,"[""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000028_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000028_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000028_bw025,flip,"[""C00"", ""W""]",2,2,True,True,True,2,match
c06_s01_cov050_seed00000029_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000029_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000029_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000030_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000030_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000030_bw025,flip,"[""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000031_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000031_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000031_bw025,flip,"[""C00"", ""W""]",4,4,True,True,True,4,match
c06_s01_cov050_seed00000032_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000032_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000032_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000033_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000033_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000033_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000034_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000034_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000034_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000035_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000035_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000035_bw025,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov050_seed00000036_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000036_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000036_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000037_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000037_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000037_bw025,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov050_seed00000038_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000038_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000038_bw025,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov050_seed00000039_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000039_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000039_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov050_seed00000040_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000000_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000000_bw010,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000000_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000000_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000001_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000001_bw010,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000001_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000001_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000001_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000002_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000002_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000002_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000002_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000003_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000003_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000003_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000004_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000004_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000004_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000004_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000005_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000005_bw010,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000005_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000006_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000006_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000006_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000006_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000007_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000007_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000007_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000007_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000008_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000008_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000008_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000008_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000008_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000009_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000009_bw010,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000009_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000010_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000010_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000010_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000011_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000011_bw010,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000011_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000011_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000011_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000012_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000012_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000012_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000012_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000013_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000013_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000014_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000014_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000014_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000014_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000015_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000015_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000015_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000016_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000016_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000017_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000017_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000018_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000018_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000018_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000019_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000019_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000019_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000019_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000019_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000020_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000020_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000020_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000021_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000021_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000021_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000021_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000021_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000021_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000022_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000022_bw010,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000022_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000022_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000023_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000023_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000023_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000023_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000023_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000024_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000024_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000024_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000024_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000024_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000024_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000025_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000025_bw010,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000025_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000025_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000026_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000026_bw010,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000026_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000026_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000027_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000027_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000027_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000028_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000028_bw010,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000028_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000028_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000029_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000029_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000029_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
