network,treatment,outcome,n_claims,retraction_depth,retraction_set,retraction_sits,n_sets_at_depth,what_it_costs,free_rule_said,hop_radius_said,closure_size_said,claim_count_said,free_rule_unit_gap,hop_unit_gap,closure_unit_gap,z_valid_at_truth
Kampen_2014,AIS,SUS,3,1,AIS -> AFF,out of the treatment,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,ALN,APA,3,1,AIS -> AFF,elsewhere in the component,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,ALN,DET,3,1,AIS -> AFF,elsewhere in the component,1,identifiability,2,2,11,3,1,1,10,1
Kampen_2014,ALN,EGC,3,1,AIS -> AFF,elsewhere in the component,1,identifiability,2,2,11,3,1,1,10,1
Kampen_2014,ALN,FTW,3,1,AIS -> AFF,elsewhere in the component,1,identifiability,2,2,11,3,1,1,10,1
Kampen_2014,ALN,HOS,3,1,AIS -> AFF,elsewhere in the component,1,identifiability,2,2,11,3,1,1,10,1
Kampen_2014,ALN,SUS,3,1,AIS -> AFF,elsewhere in the component,1,identifiability,2,2,11,3,1,1,10,1
Kampen_2014,CDR,DET,3,1,AIS -> AFF,elsewhere in the component,1,identifiability,2,2,11,3,1,1,10,1
Kampen_2014,PER,DET,3,1,AIS -> AFF,elsewhere in the component,1,identifiability,1,4,11,3,0,3,10,1
Shrier_2008,ConnectiveTissueDisorder,Injury,2,1,Genetics -> ConnectiveTissueDisorder,into the treatment,1,identifiability,1,1,3,2,0,0,2,1
Shrier_2008,ConnectiveTissueDisorder,IntraGameProprioception,2,1,Genetics -> ConnectiveTissueDisorder,into the treatment,1,identifiability,1,1,3,2,0,0,2,1
Shrier_2008,ConnectiveTissueDisorder,NeuromuscularFatigue,2,1,Genetics -> ConnectiveTissueDisorder,into the treatment,1,identifiability,1,1,3,2,0,0,2,1
Shrier_2008,TeamMotivation,Injury,2,1,Coach -> TeamMotivation,into the treatment,1,identifiability,1,1,3,2,0,0,2,1
Shrier_2008,TeamMotivation,IntraGameProprioception,2,1,Coach -> TeamMotivation,into the treatment,1,identifiability,1,1,3,2,0,0,2,1
Shrier_2008,TeamMotivation,WarmUpExercises,2,1,Coach -> TeamMotivation,into the treatment,1,identifiability,1,1,3,2,0,0,2,1
Shrier_2008,TissueWeakness,Injury,2,1,Genetics -> ConnectiveTissueDisorder,elsewhere in the component,1,identifiability,1,2,3,2,0,1,2,1
Polzer_2012,Alcohol,Diabetes,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,Hypertension,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,Lipids,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,Mortality,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,Obesity,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,Periodontitis,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,Smoking,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,Sport,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Alcohol,ToothLoss,5,1,Alcohol -> Smoking,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Caries,Mortality,5,1,Psychosocial -> Caries,into the treatment,1,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Caries,ToothLoss,5,1,Psychosocial -> Caries,into the treatment,1,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Diabetes,Hypertension,5,1,Diabetes -> Hypertension,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Diabetes,Lipids,5,1,Obesity -> Diabetes,into the treatment,1,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Diabetes,Mortality,5,1,Diabetes -> Hypertension,out of the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Diabetes,Periodontitis,5,1,Obesity -> Diabetes,into the treatment,1,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Diabetes,ToothLoss,5,1,Obesity -> Diabetes,into the treatment,1,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Hypertension,Mortality,5,1,Diabetes -> Hypertension,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Obesity,Diabetes,5,1,Diabetes -> Hypertension,out of the outcome,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Obesity,Hypertension,5,1,Diabetes -> Hypertension,into the outcome,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Obesity,Lipids,5,1,Diabetes -> Hypertension,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Obesity,Mortality,5,1,Diabetes -> Hypertension,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Obesity,Periodontitis,5,1,Diabetes -> Hypertension,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Obesity,ToothLoss,5,1,Diabetes -> Hypertension,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Alcohol,5,1,Alcohol -> Smoking,out of the outcome,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Caries,5,1,Psychosocial -> Caries,out of the treatment,1,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Diabetes,5,1,Alcohol -> Smoking,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Hypertension,5,1,Alcohol -> Smoking,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Lipids,5,1,Alcohol -> Smoking,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Mortality,5,1,Alcohol -> Smoking,elsewhere in the component,3,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Obesity,5,1,Alcohol -> Smoking,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Periodontitis,5,1,Alcohol -> Smoking,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Smoking,5,1,Alcohol -> Smoking,into the outcome,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,Sport,5,1,Alcohol -> Smoking,elsewhere in the component,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Psychosocial,ToothLoss,5,1,Alcohol -> Smoking,elsewhere in the component,3,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Smoking,Diabetes,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Smoking,Hypertension,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Smoking,Lipids,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Smoking,Mortality,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Smoking,Obesity,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Smoking,Periodontitis,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Smoking,Sport,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,2,9,5,0,1,8,1
Polzer_2012,Smoking,ToothLoss,5,1,Alcohol -> Smoking,into the treatment,2,identifiability,1,1,9,5,0,0,8,1
Polzer_2012,Sport,Diabetes,5,1,Alcohol -> Smoking,elsewhere in the component,1,identifiability,1,2,9,5,0,1,8,1
Polzer_2012,Sport,Hypertension,5,1,Alcohol -> Smoking,elsewhere in the component,1,identifiability,1,2,9,5,0,1,8,1
Polzer_2012,Sport,Lipids,5,1,Alcohol -> Smoking,elsewhere in the component,1,identifiability,1,2,9,5,0,1,8,1
Polzer_2012,Sport,Mortality,5,1,Alcohol -> Smoking,elsewhere in the component,1,identifiability,1,2,9,5,0,1,8,1
Polzer_2012,Sport,Obesity,5,1,Alcohol -> Smoking,elsewhere in the component,1,identifiability,1,2,9,5,0,1,8,1
Polzer_2012,Sport,Periodontitis,5,1,Alcohol -> Smoking,elsewhere in the component,1,identifiability,1,2,9,5,0,1,8,1
Polzer_2012,Sport,ToothLoss,5,1,Alcohol -> Smoking,elsewhere in the component,1,identifiability,1,2,9,5,0,1,8,1
paths,1,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,6,14,14,1,5,13,13,1
paths,1,E,1,1,15 -> 14,elsewhere in the component,1,identifiability,6,14,14,1,5,13,13,1
paths,10,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,5,5,14,1,4,4,13,1
paths,11,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,4,4,14,1,3,3,13,1
