network,x,y,arm,coverage,rep,n_k,status,g0_undirected,z_size,separation,separation_status,k_g0,r_hop,hop_method,hop_exact,r_claim,r_claim_status,r_id,phi_1,n_wrong_claims,z_valid_at_truth
Acid_1996,x1,x17,A_TRUE,1.0,0,1,ok,0,2,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x17,D_RAND,1.0,0,1,ok,0,2,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x17,D_RAND,1.0,1,1,ok,0,2,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x17,D_DEGEN,1.0,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x17,A_TRUE,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x17,D_RAND,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x17,D_RAND,0.5,1,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x18,A_TRUE,1.0,0,1,ok,0,2,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x18,D_RAND,1.0,0,1,ok,0,2,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x18,D_RAND,1.0,1,1,ok,0,3,1,measured,1,1,local_up_fast,1,1,exact,1,1.0,1,0
Acid_1996,x1,x18,D_DEGEN,1.0,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x18,A_TRUE,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x18,D_RAND,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x18,D_RAND,0.5,1,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x3,A_TRUE,1.0,0,1,ok,0,1,,no_z_member_in_component,1,-1,local_up_fast,1,,gt_1,,0.0,0,1
Acid_1996,x1,x3,D_RAND,1.0,0,1,ok,0,1,,no_z_member_in_component,1,-1,local_up_fast,1,,gt_1,,0.0,0,1
Acid_1996,x1,x3,D_RAND,1.0,1,1,ok,0,1,,no_z_member_in_component,1,-1,local_up_fast,1,,gt_1,,0.0,1,1
Acid_1996,x1,x3,D_DEGEN,1.0,0,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x3,A_TRUE,0.5,0,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x3,D_RAND,0.5,0,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x3,D_RAND,0.5,1,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x4,A_TRUE,1.0,0,1,optimal_empty,0,,,,,,,,,,,,,
Acid_1996,x1,x4,D_RAND,1.0,0,1,optimal_empty,0,,,,,,,,,,,,,
Acid_1996,x1,x4,D_RAND,1.0,1,1,optimal_empty,0,,,,,,,,,,,,,
Acid_1996,x1,x4,D_DEGEN,1.0,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x4,A_TRUE,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x4,D_RAND,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x4,D_RAND,0.5,1,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x5,A_TRUE,1.0,0,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x5,D_RAND,1.0,0,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x5,D_RAND,1.0,1,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x5,D_DEGEN,1.0,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x5,A_TRUE,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x5,D_RAND,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x5,D_RAND,0.5,1,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x6,A_TRUE,1.0,0,1,ok,0,1,,no_z_member_in_component,1,-1,local_up_fast,1,,gt_1,,0.0,0,1
Acid_1996,x1,x6,D_RAND,1.0,0,1,ok,0,1,,no_z_member_in_component,1,-1,local_up_fast,1,,gt_1,,0.0,1,1
Acid_1996,x1,x6,D_RAND,1.0,1,1,ok,0,1,,no_z_member_in_component,1,-1,local_up_fast,1,,gt_1,,0.0,0,1
Acid_1996,x1,x6,D_DEGEN,1.0,0,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x6,A_TRUE,0.5,0,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x6,D_RAND,0.5,0,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x6,D_RAND,0.5,1,0,ok,1,1,,no_z_member_in_component,0,-1,local_up_fast,1,,gt_0,,,0,1
Acid_1996,x1,x7,A_TRUE,1.0,0,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
